domain,subtopic,sentence
health_fitness_wellbeing,common_illnesses_symptoms,"""Hey, I've been having this weird headache that won't go away since yesterday morning."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My stomach has been acting up all day, think I ate something bad for lunch."","
health_fitness_wellbeing,common_illnesses_symptoms,"""You won't believe how many times I sneezed today, must be the dust outside."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This cough is really getting on my nerves, especially when I'm trying to sleep."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My throat feels like I swallowed sandpaper, drinking tea isn't helping much either."","
health_fitness_wellbeing,common_illnesses_symptoms,"""I woke up with such bad body aches today, feels like I ran a marathon."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My nose won't stop running, I've gone through a whole pack of tissues already."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Fever hit me hard last night, spent the whole evening wrapped in blankets shivering."","
health_fitness_wellbeing,common_illnesses_symptoms,"""I keep getting these chills even though it's not cold in the room at all."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My energy levels are completely drained, can barely keep my eyes open during work."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This chest congestion is making it hard to breathe properly when I walk fast."","
health_fitness_wellbeing,common_illnesses_symptoms,"""I've been feeling nauseous since morning, couldn't even finish my breakfast properly."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My joints are so stiff today, getting out of bed was a real struggle."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep getting dizzy spells whenever I stand up too quickly from my chair."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My ears feel blocked and everything sounds like I'm underwater, it's so annoying."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This rash on my arm is getting worse and it's starting to itch like crazy."","
health_fitness_wellbeing,common_illnesses_symptoms,"""I think I'm coming down with flu, body feels weak and head is pounding."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Can't stop sweating even though the AC is on full blast in the office."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My back pain is acting up again, probably from sitting too long at work."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Lost my voice completely today, had to text my boss instead of calling."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep getting these sharp stomach cramps that come and go throughout the day."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My sinuses are so blocked I can't even taste my food properly anymore."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This persistent dry cough is making my chest hurt with every single breath."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Woke up with swollen glands in my neck, feels weird when I swallow."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My vision keeps getting blurry at random times, might need to see a doctor."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Can't shake off this general feeling of weakness, like my battery is dead."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep getting hot flashes even though everyone else says the room is fine."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This sore throat is killing me, talking feels like such a huge effort."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My appetite has completely disappeared, even my favorite foods don't interest me."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep waking up with a stiff neck, must be my pillow or sleeping position."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This constant runny nose is so embarrassing during meetings, always sniffing loudly."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My hands are shaking for no reason, hope it's just fatigue from work."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Can't concentrate on anything with this pounding headache distracting me all day."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My skin feels so sensitive today, even my clothes are irritating my body."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep getting these sudden muscle spasms in my legs while I'm sitting down."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This toothache is driving me insane, can't eat or drink anything properly."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My breathing sounds wheezy, especially when I try to climb the stairs quickly."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep feeling like I need to vomit but nothing actually comes out."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My face feels so hot but the thermometer says I don't have fever."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This constant fatigue is making it hard to get through my daily tasks."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My stomach keeps making weird gurgling noises during important meetings, so awkward."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Can't stop yawning even though I got enough sleep last night, so strange."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This eye strain is real from staring at screens all day without breaks."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My fingers are tingling and feeling numb, probably from typing too much."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep getting these sudden cravings for weird food combinations when I'm sick."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My sense of smell is gone completely, can't even smell my coffee brewing."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This lower back pain is making it impossible to find a comfortable position."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep forgetting simple things, must be this brain fog from being unwell."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My ankles are swollen for no apparent reason, looks so weird and puffy."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This constant thirst is unreal, drinking water like there's no tomorrow."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My jaw hurts from clenching it too much while sleeping or stressing out."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep getting these random shivers down my spine even when I'm not cold."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This stomach bloating is so uncomfortable, can't even button my pants properly."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My palms are unusually sweaty today, making it hard to hold my phone."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep hearing this ringing in my ears that comes and goes randomly."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This general body weakness makes even simple tasks feel like huge chores."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My period cramps are worse than usual this month, can barely move around."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep getting these painful canker sores inside my mouth when I'm stressed."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This post-nasal drip is making me clear my throat every five minutes."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My knees ache whenever it's about to rain, like a human weather forecast."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep feeling lightheaded when I stand up, have to hold onto something."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This acid reflux is acting up again, burning sensation in my chest."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My hair seems to be falling out more than usual when I shower."","
health_fitness_wellbeing,common_illnesses_symptoms,"""Keep getting these tension headaches from staring at computer screens too long."","
health_fitness_wellbeing,common_illnesses_symptoms,"""This itchy skin is driving me crazy, scratching until I draw blood."","
health_fitness_wellbeing,common_illnesses_symptoms,"""My feet are so cold even with socks on, circulation must be poor."","
