domain,subtopic,sentence
romance_flirting_sexuality,body_image,"""I think you have an amazing body and you should feel confident about it always."","
romance_flirting_sexuality,body_image,"""Why do people spend so much time worrying about what others think of their bodies?"","
romance_flirting_sexuality,body_image,"""Your smile makes your whole face light up in the most beautiful way possible."","
romance_flirting_sexuality,body_image,"""I saw you at the gym yesterday and wow, your dedication is really paying off."","
romance_flirting_sexuality,body_image,"""Can we stop with all the body shaming? Everyone is beautiful in their own way."","
romance_flirting_sexuality,body_image,"""The way you carry yourself shows how comfortable you are in your own skin."","
romance_flirting_sexuality,body_image,"""You know what's sexy? Confidence, and you've got plenty of that going on."","
romance_flirting_sexuality,body_image,"""I'm tired of seeing all these unrealistic body standards on social media every day."","
romance_flirting_sexuality,body_image,"""When you wear that dress, it highlights all your best features perfectly."","
romance_flirting_sexuality,body_image,"""We should focus more on being healthy rather than trying to look like models."","
romance_flirting_sexuality,body_image,"""Your laugh is infectious and makes your whole presence so much more attractive."","
romance_flirting_sexuality,body_image,"""Why do you keep criticizing your body when you look absolutely fantastic?"","
romance_flirting_sexuality,body_image,"""That outfit looks incredible on you, it really suits your body shape well."","
romance_flirting_sexuality,body_image,"""I wish people would understand that beauty comes in all shapes and sizes."","
romance_flirting_sexuality,body_image,"""The way you move when you dance shows how comfortable you are with yourself."","
romance_flirting_sexuality,body_image,"""You have this natural glow about you that makes you stand out in any crowd."","
romance_flirting_sexuality,body_image,"""Can we please stop comparing ourselves to edited photos online? It's not healthy."","
romance_flirting_sexuality,body_image,"""Your arms look really strong, you must be working hard at the gym lately."","
romance_flirting_sexuality,body_image,"""I love how you don't care about trends and just rock your own style."","
romance_flirting_sexuality,body_image,"""Why are you so obsessed with losing weight when you're already perfect?"","
romance_flirting_sexuality,body_image,"""The confidence you have in your own skin is honestly really inspiring to me."","
romance_flirting_sexuality,body_image,"""You should wear whatever makes you feel good, not what society says you should."","
romance_flirting_sexuality,body_image,"""I noticed you've been eating healthier and it shows in your energy levels."","
romance_flirting_sexuality,body_image,"""Your eyes are so captivating they make me forget what I was saying sometimes."","
romance_flirting_sexuality,body_image,"""We need to teach young people to love their bodies from an early age."","
romance_flirting_sexuality,body_image,"""That color looks amazing on you, it really brings out your beautiful features."","
romance_flirting_sexuality,body_image,"""I'm so tired of people making comments about other people's weight all the time."","
romance_flirting_sexuality,body_image,"""You have this natural elegance about you that makes everything you wear look good."","
romance_flirting_sexuality,body_image,"""Why do you keep hiding your body? You should show it off more often."","
romance_flirting_sexuality,body_image,"""The way you take care of yourself shows how much you value your health."","
romance_flirting_sexuality,body_image,"""Your skin looks so radiant today, whatever you're doing is definitely working."","
romance_flirting_sexuality,body_image,"""I wish we could all just accept our bodies instead of constantly criticizing them."","
romance_flirting_sexuality,body_image,"""You have this incredible energy that makes you attractive regardless of your appearance."","
romance_flirting_sexuality,body_image,"""Can we talk about how amazing you look without making it weird? Seriously though."","
romance_flirting_sexuality,body_image,"""Your posture has improved so much and it makes you look more confident."","
romance_flirting_sexuality,body_image,"""I love how you embrace your curves instead of trying to hide them away."","
romance_flirting_sexuality,body_image,"""Why are you always so hard on yourself? You're beautiful just as you are."","
romance_flirting_sexuality,body_image,"""The way you walk into a room shows how comfortable you are with yourself."","
romance_flirting_sexuality,body_image,"""You have this magnetic presence that has nothing to do with physical appearance."","
romance_flirting_sexuality,body_image,"""I'm getting really annoyed with all these unrealistic beauty standards being pushed on us."","
romance_flirting_sexuality,body_image,"""Your dedication to fitness is really impressive and it shows in your physique."","
romance_flirting_sexuality,body_image,"""Can we just appreciate our bodies for all the amazing things they can do?"","
romance_flirting_sexuality,body_image,"""You have this way of making simple clothes look incredibly stylish and attractive."","
romance_flirting_sexuality,body_image,"""Why do you keep comparing yourself to others when you're uniquely beautiful?"","
romance_flirting_sexuality,body_image,"""The confidence you have when you wear that outfit is seriously attractive."","
romance_flirting_sexuality,body_image,"""I love how you don't follow trends but still always look amazing anyway."","
romance_flirting_sexuality,body_image,"""Your smile is so genuine it makes your whole face light up beautifully."","
romance_flirting_sexuality,body_image,"""Can we stop pretending that everyone should look the same? Diversity is beautiful."","
romance_flirting_sexuality,body_image,"""You have this natural grace that makes everything about you seem effortless."","
romance_flirting_sexuality,body_image,"""Why are you so concerned about your weight when you're clearly healthy?"","
romance_flirting_sexuality,body_image,"""The way you carry yourself shows how much self-love you have for yourself."","
romance_flirting_sexuality,body_image,"""I'm tired of people thinking they have the right to comment on others' bodies."","
romance_flirting_sexuality,body_image,"""Your energy when you're confident is way more attractive than any physical feature."","
romance_flirting_sexuality,body_image,"""Can we talk about how amazing you look without you deflecting the compliment?"","
romance_flirting_sexuality,body_image,"""You have this incredible presence that makes people notice you in any room."","
romance_flirting_sexuality,body_image,"""Why do you keep focusing on flaws that nobody else even notices?"","
romance_flirting_sexuality,body_image,"""The way you take care of your body shows how much you respect yourself."","
romance_flirting_sexuality,body_image,"""I love how you're not afraid to wear what makes you feel comfortable."","
romance_flirting_sexuality,body_image,"""Your laugh lines are beautiful because they show how much joy you have."","
romance_flirting_sexuality,body_image,"""Can we please stop with all the negative self-talk about our bodies?"","
romance_flirting_sexuality,body_image,"""You have this magnetic quality that has nothing to do with physical perfection."","
romance_flirting_sexuality,body_image,"""Why are you always trying to change when you're already perfect as you are?"","
romance_flirting_sexuality,body_image,"""The confidence you have in your own skin is honestly really inspiring."","
romance_flirting_sexuality,body_image,"""I'm getting really fed up with all these unrealistic body expectations everywhere."","
romance_flirting_sexuality,body_image,"""Your dedication to being healthy is way more important than any number on a scale."","
romance_flirting_sexuality,body_image,"""Can we appreciate our bodies for keeping us alive instead of criticizing them?"","
romance_flirting_sexuality,body_image,"""You have this natural beauty that doesn't need any enhancement or alteration."","
