domain,subtopic,sentence
business_money_hustle,saving_budgeting,"""Hey, I finally managed to save 5k this month by cutting down on unnecessary spending."","
business_money_hustle,saving_budgeting,"""You know what's sexy? Watching your savings account grow instead of wasting money on nonsense."","
business_money_hustle,saving_budgeting,"""Imagine if we saved just 200 bob every day, we'd be millionaires in no time!"","
business_money_hustle,saving_budgeting,"""I saw you buying that expensive coffee again, maybe we should create a budget together?"","
business_money_hustle,saving_budgeting,"""It's crazy how small daily purchases add up without us even noticing the drain."","
business_money_hustle,saving_budgeting,"""I'm trying this new thing where I save before spending instead of saving what's left."","
business_money_hustle,saving_budgeting,"""Your financial discipline is actually really attractive, teach me your ways money master!"","
business_money_hustle,saving_budgeting,"""Let's challenge each other to save at least 10% of our income this coming month."","
business_money_hustle,saving_budgeting,"""Why is it so hard to resist buying things I don't really need or want?"","
business_money_hustle,saving_budgeting,"""I started using a budgeting app and it's showing me where all my money disappears."","
business_money_hustle,saving_budgeting,"""We should plan a money date where we review our finances and set savings goals."","
business_money_hustle,saving_budgeting,"""Seeing you manage your money well makes me think you'd be a great life partner."","
business_money_hustle,saving_budgeting,"""I'm genuinely worried about our spending habits, we need to have a serious talk."","
business_money_hustle,saving_budgeting,"""Just calculated how much I spend on transport weekly and the number shocked me!"","
business_money_hustle,saving_budgeting,"""Maybe we should start cooking at home more instead of eating out every day."","
business_money_hustle,saving_budgeting,"""Your financial freedom journey is inspiring me to take my own money seriously too."","
business_money_hustle,saving_budgeting,"""I can't believe I almost bought another pair of shoes I don't really need."","
business_money_hustle,saving_budgeting,"""Let's make a pact to save for that vacation instead of complaining we can't travel."","
business_money_hustle,saving_budgeting,"""The way you handle your finances shows how responsible and mature you really are."","
business_money_hustle,saving_budgeting,"""I'm getting really frustrated with myself for not sticking to my budget this month."","
business_money_hustle,saving_budgeting,"""We need to differentiate between our wants and needs when making purchasing decisions."","
business_money_hustle,saving_budgeting,"""I love how focused you are on building your future, it's really admirable honestly."","
business_money_hustle,saving_budgeting,"""Another month of barely making ends meet, I really need to change my money mindset."","
business_money_hustle,saving_budgeting,"""Let's start small by saving just 100 bob daily and watch it grow over time."","
business_money_hustle,saving_budgeting,"""Your money management skills are lowkey turning me on, no cap for real though."","
business_money_hustle,saving_budgeting,"""I'm annoyed that inflation is making it harder to save despite earning more now."","
business_money_hustle,saving_budgeting,"""We should research investment options instead of letting our money sleep in the bank."","
