domain,subtopic,sentence
health_fitness_wellbeing,reproductive_womens_health,"""You know taking folic acid before pregnancy is actually really important for baby's development."","
health_fitness_wellbeing,reproductive_womens_health,"""I read that tracking your basal body temperature can help you understand your fertility window."","
health_fitness_wellbeing,reproductive_womens_health,"""Seriously though, when was the last time you did a breast self-exam? We forget sometimes."","
health_fitness_wellbeing,reproductive_womens_health,"""My doctor said pelvic floor exercises aren't just for pregnant women, they help everyone."","
health_fitness_wellbeing,reproductive_womens_health,"""Can we stop pretending period pain is normal? Severe cramps might need medical attention."","
health_fitness_wellbeing,reproductive_womens_health,"""I'm trying this new period tracking app that predicts my fertile days pretty accurately."","
health_fitness_wellbeing,reproductive_womens_health,"""You'd look cute holding a heating pad while we watch movies during my cramps."","
health_fitness_wellbeing,reproductive_womens_health,"""It's frustrating how little we were taught about reproductive health in school growing up."","
health_fitness_wellbeing,reproductive_womens_health,"""I finally found a gynecologist who actually listens instead of rushing through appointments."","
health_fitness_wellbeing,reproductive_womens_health,"""My friend started prenatal vitamins three months before trying to conceive, smart move honestly."","
health_fitness_wellbeing,reproductive_womens_health,"""Why do men act so awkward when we mention anything about menstrual cycles? So childish."","
health_fitness_wellbeing,reproductive_womens_health,"""I'm taking notes on how my body changes throughout my cycle, it's quite fascinating."","
health_fitness_wellbeing,reproductive_womens_health,"""It's concerning how many women don't know the symptoms of endometriosis until it's advanced."","
health_fitness_wellbeing,reproductive_womens_health,"""I'm actually excited to start tracking my ovulation, feels like understanding my body better."","
health_fitness_wellbeing,reproductive_womens_health,"""Could you pick up some sanitary pads for me? I completely forgot to stock up."","
health_fitness_wellbeing,reproductive_womens_health,"""We need to normalize talking about perimenopause before we're actually going through it."","
health_fitness_wellbeing,reproductive_womens_health,"""My doctor explained how hormonal birth control affects different women so differently, it's complex."","
health_fitness_wellbeing,reproductive_womens_health,"""I'm annoyed at how expensive menstrual products are, like we have a choice about periods."","
health_fitness_wellbeing,reproductive_womens_health,"""Learning about the different phases of the menstrual cycle has been genuinely eye-opening for me."","
health_fitness_wellbeing,reproductive_womens_health,"""You know what's sexy? A man who understands how the menstrual cycle actually works."","
health_fitness_wellbeing,reproductive_womens_health,"""It's scary how many women ignore abnormal bleeding until it becomes a serious issue."","
health_fitness_wellbeing,reproductive_womens_health,"""I started doing kegel exercises and honestly I can feel the difference already."","
