domain,subtopic,sentence
sports_betting,sport_betting_tips,"""Seriously though, never bet more than you can afford to lose, that's the golden rule."","
sports_betting,sport_betting_tips,"""Ugh, that last tip was terrible, my guy totally messed up the analysis big time."","
sports_betting,sport_betting_tips,"""Bro, home team advantage is real today, their record at this stadium is insane."","
sports_betting,sport_betting_tips,"""If you're feeling risky, the double chance bet might save you from heartbreak tonight."","
sports_betting,sport_betting_tips,"""Your winning streak is impressive, maybe you should be giving me tips instead!"","
sports_betting,sport_betting_tips,"""I'm not joking, the odds on that underdog are too good to pass up."","
sports_betting,sport_betting_tips,"""Remember that time my 'sure bet' lost? Let's not repeat that disaster again."","
sports_betting,sport_betting_tips,"""For real though, check the weather before betting on outdoor sports, it matters."","
sports_betting,sport_betting_tips,"""You always get so excited when your bets win, it's actually kinda cute."","
sports_betting,sport_betting_tips,"""Can you believe the bookies actually got this one right for once? Miracle!"","
sports_betting,sport_betting_tips,"""My gut says go for the draw, both teams have been equally matched recently."","
sports_betting,sport_betting_tips,"""Stop chasing losses, that's how people end up in serious trouble with betting."","
sports_betting,sport_betting_tips,"""If this tip wins, you owe me a drink at that new spot in Westlands."","
sports_betting,sport_betting_tips,"""The stats don't lie, this team hasn't lost at home in ten games."","
sports_betting,sport_betting_tips,"""I'm feeling lucky today, might just put a small stake on that accumulator."","
sports_betting,sport_betting_tips,"""Your betting intuition is almost as good as your taste in music, almost."","
sports_betting,sport_betting_tips,"""Another last-minute goal ruined my bet, I'm officially done with football for today."","
sports_betting,sport_betting_tips,"""Early team news is crucial, always wait for confirmed lineups before placing bets."","
sports_betting,sport_betting_tips,"""That tip came straight from my cousin who works with a local team."","
sports_betting,sport_betting_tips,"""You're taking betting advice from me? That's either very brave or very stupid."","
sports_betting,sport_betting_tips,"""The way you analyze games is actually pretty impressive, not just saying that."","
sports_betting,sport_betting_tips,"""Bookies aren't stupid, if odds seem too good they probably know something."","
sports_betting,sport_betting_tips,"""Let's split a bet fifty-fifty, that way we share the risk and reward."","
sports_betting,sport_betting_tips,"""I've been tracking this player's form, he's due for a goal today."","
sports_betting,sport_betting_tips,"""Your confidence when placing bets is kinda hot, not gonna lie about that."","
sports_betting,sport_betting_tips,"""Another day, another bet lost to VAR decisions, I hate modern football."","
sports_betting,sport_betting_tips,"""Research is key, don't just bet based on team names or past glory."","
sports_betting,sport_betting_tips,"""That accumulator came so close, just one game away from big money."","
sports_betting,sport_betting_tips,"""The way you celebrate small wins is adorable, like you won the jackpot."","
sports_betting,sport_betting_tips,"""Seriously, set a budget and stick to it, no matter how tempted you get."","
sports_betting,sport_betting_tips,"""This tip feels different, I've got that winning sensation in my bones today."","
sports_betting,sport_betting_tips,"""You asking for my betting advice? I must be moving up in the world."","
sports_betting,sport_betting_tips,"""Injuries can change everything, always check who's actually playing before betting."","
