domain,subtopic,sentence
travel_transport_street,city_rural,"""Hey, have you ever taken that matatu to the rural areas outside Nairobi?"","
travel_transport_street,city_rural,"""The difference between city traffic and rural roads is like night and day honestly."","
travel_transport_street,city_rural,"""I miss the fresh air in the village whenever I'm stuck in city smog."","
travel_transport_street,city_rural,"""You should see how people navigate these rural roads during the rainy season."","
travel_transport_street,city_rural,"""City life has its perks but rural areas have that peaceful vibe man."","
travel_transport_street,city_rural,"""Getting from the city to the rural areas takes forever with these roads."","
travel_transport_street,city_rural,"""Have you noticed how matatus to rural areas are always packed with goods?"","
travel_transport_street,city_rural,"""The matatu fare to rural areas is surprisingly cheaper than some city routes."","
travel_transport_street,city_rural,"""I love how quiet the rural roads are compared to this noisy city."","
travel_transport_street,city_rural,"""These rural roads have more potholes than the entire city combined I swear."","
travel_transport_street,city_rural,"""You look cute even when you're complaining about the rural road dust."","
travel_transport_street,city_rural,"""We should take a road trip to the rural areas this weekend maybe."","
travel_transport_street,city_rural,"""City transport is organized but rural travel feels like a proper adventure babe."","
travel_transport_street,city_rural,"""I can't believe we got lost on that rural road last time."","
travel_transport_street,city_rural,"""The contrast between city skyscrapers and rural landscapes always blows my mind."","
travel_transport_street,city_rural,"""These rural matatu drivers are way more careful than city ones honestly."","
travel_transport_street,city_rural,"""I need to escape this city chaos and find some rural peace."","
travel_transport_street,city_rural,"""You'd look amazing against those rural landscapes with the mountains in background."","
travel_transport_street,city_rural,"""Rural travel teaches you patience unlike these rushed city matatu rides man."","
travel_transport_street,city_rural,"""The journey to rural areas shows you a different side of Kenya."","
travel_transport_street,city_rural,"""City streets never prepare you for rural road conditions during heavy rain."","
travel_transport_street,city_rural,"""I enjoy how people in rural areas help each other with transport."","
travel_transport_street,city_rural,"""These rural roads make me appreciate smooth city tarmac so much more."","
travel_transport_street,city_rural,"""We could have such a romantic time watching sunsets in rural areas."","
travel_transport_street,city_rural,"""The matatu from city to rural areas is always an experience."","
travel_transport_street,city_rural,"""Rural transport involves so much waiting compared to constant city matatus."","
travel_transport_street,city_rural,"""You handle these bumpy rural roads better than I expected honestly."","
travel_transport_street,city_rural,"""City transport is convenient but rural travel connects you with nature."","
travel_transport_street,city_rural,"""I hate how dusty I get traveling to rural areas sometimes."","
travel_transport_street,city_rural,"""The stars are so clear in rural areas unlike light-polluted city."","
travel_transport_street,city_rural,"""These rural roads remind me we need better infrastructure across Kenya."","
travel_transport_street,city_rural,"""You make even long rural journeys enjoyable with your company though."","
travel_transport_street,city_rural,"""City traffic jams versus rural road adventures - which do you prefer?"","
travel_transport_street,city_rural,"""Rural areas show you Kenya's beauty beyond the concrete jungle."","
travel_transport_street,city_rural,"""The matatu breakdown in rural area was an adventure I won't forget."","
travel_transport_street,city_rural,"""City transport is predictable but rural travel always has surprises waiting."","
travel_transport_street,city_rural,"""I appreciate rural simplicity after dealing with city transport stress daily."","
travel_transport_street,city_rural,"""You seem more relaxed when we travel to rural areas somehow."","
travel_transport_street,city_rural,"""Rural roads need serious government attention for better connectivity man."","
travel_transport_street,city_rural,"""The fresh rural air is worth the long journey from city."","
travel_transport_street,city_rural,"""City matatus are faster but rural ones have better scenery definitely."","
travel_transport_street,city_rural,"""I love how rural transport includes walking through beautiful landscapes sometimes."","
travel_transport_street,city_rural,"""These rural journeys make me realize how big Kenya actually is."","
