domain,subtopic,sentence
personal_relationships_life,emotions_wellbeing,"""I'm seriously worried about how much stress you've been carrying lately, my friend."","
personal_relationships_life,emotions_wellbeing,"""When you smile like that, it makes my whole day feel brighter instantly."","
personal_relationships_life,emotions_wellbeing,"""Ugh, I'm so tired of people pretending everything's fine when it's clearly not."","
personal_relationships_life,emotions_wellbeing,"""Let's make a pact to check on each other's mental health every week, deal?"","
personal_relationships_life,emotions_wellbeing,"""Your positive energy is seriously contagious - I always feel better after we chat."","
personal_relationships_life,emotions_wellbeing,"""I'm annoyed that everyone expects us to be happy robots all the damn time."","
personal_relationships_life,emotions_wellbeing,"""Remember it's okay not to be okay sometimes, we're only human after all."","
personal_relationships_life,emotions_wellbeing,"""That deep conversation we had last night really helped me process some things."","
personal_relationships_life,emotions_wellbeing,"""You have this magical way of making heavy topics feel light and manageable."","
personal_relationships_life,emotions_wellbeing,"""I'm getting really concerned about how you're avoiding talking about your feelings."","
personal_relationships_life,emotions_wellbeing,"""Your emotional intelligence is seriously attractive - you just get people, you know?"","
personal_relationships_life,emotions_wellbeing,"""Can we please stop pretending and actually talk about what's really bothering you?"","
personal_relationships_life,emotions_wellbeing,"""I appreciate how you create space for people to be vulnerable without judgment."","
personal_relationships_life,emotions_wellbeing,"""Let's do something fun this weekend to shake off all this negative energy."","
personal_relationships_life,emotions_wellbeing,"""It's frustrating when people don't understand that mental health is actual health."","
personal_relationships_life,emotions_wellbeing,"""Your resilience through tough times honestly inspires me to be stronger too."","
personal_relationships_life,emotions_wellbeing,"""I notice you've been quieter than usual - everything alright with you?"","
personal_relationships_life,emotions_wellbeing,"""That heartfelt message you sent me yesterday really touched me deeply, thank you."","
personal_relationships_life,emotions_wellbeing,"""We should normalize checking on our strong friends too, they need it most."","
personal_relationships_life,emotions_wellbeing,"""Your ability to find joy in small things is something I really admire about you."","
personal_relationships_life,emotions_wellbeing,"""I'm getting tired of carrying other people's emotional baggage all the time."","
personal_relationships_life,emotions_wellbeing,"""Let's promise to be each other's safe space when life gets overwhelming."","
personal_relationships_life,emotions_wellbeing,"""The way you handle difficult conversations with such grace is really impressive."","
personal_relationships_life,emotions_wellbeing,"""Can we please have one conversation that doesn't involve complaining about life?"","
personal_relationships_life,emotions_wellbeing,"""I love how we can sit in comfortable silence and still feel connected."","
personal_relationships_life,emotions_wellbeing,"""Your emotional support during my rough patch meant more than I can express."","
personal_relationships_life,emotions_wellbeing,"""It's annoying how society expects men to suppress their emotions constantly."","
personal_relationships_life,emotions_wellbeing,"""Let's start a gratitude practice together - share three good things daily."","
personal_relationships_life,emotions_wellbeing,"""Your empathy towards others shows what a beautiful soul you truly are."","
personal_relationships_life,emotions_wellbeing,"""I'm concerned you're taking on too much without considering your own wellbeing."","
personal_relationships_life,emotions_wellbeing,"""That vulnerable moment you shared with me made me trust you even more."","
personal_relationships_life,emotions_wellbeing,"""We need to stop glorifying busy culture and prioritize our mental health."","
personal_relationships_life,emotions_wellbeing,"""Your laughter is literally therapy for my soul, no exaggeration at all."","
personal_relationships_life,emotions_wellbeing,"""I'm frustrated that self-care is seen as selfish rather than necessary."","
personal_relationships_life,emotions_wellbeing,"""Let's create boundaries to protect our peace and emotional energy better."","
personal_relationships_life,emotions_wellbeing,"""Your emotional maturity in handling conflict is something I really look up to."","
personal_relationships_life,emotions_wellbeing,"""Can we talk about something positive for once? I need some light."","
personal_relationships_life,emotions_wellbeing,"""I value how you never dismiss my feelings, no matter how irrational they seem."","
personal_relationships_life,emotions_wellbeing,"""Your presence alone has this calming effect that eases my anxiety instantly."","
personal_relationships_life,emotions_wellbeing,"""It's exhausting constantly having to explain why mental health matters equally."","
personal_relationships_life,emotions_wellbeing,"""Let's make our friendship a judgment-free zone for all emotions, deal?"","
personal_relationships_life,emotions_wellbeing,"""Your ability to sit with uncomfortable emotions instead of running is admirable."","
personal_relationships_life,emotions_wellbeing,"""I'm tired of people using 'I'm fine' as a shield against real connection."","
personal_relationships_life,emotions_wellbeing,"""Remember that crying doesn't make you weak, it makes you human, okay?"","
personal_relationships_life,emotions_wellbeing,"""Your emotional honesty in our relationship makes me feel so secure with you."","
personal_relationships_life,emotions_wellbeing,"""We should normalize taking mental health days without feeling guilty about it."","
personal_relationships_life,emotions_wellbeing,"""The way you express affection makes me feel truly seen and understood."","
personal_relationships_life,emotions_wellbeing,"""I'm annoyed at how emotional labor always falls on the same people."","
personal_relationships_life,emotions_wellbeing,"""Let's practice being kinder to ourselves - we're doing our best, really."","
personal_relationships_life,emotions_wellbeing,"""Your emotional availability is one of the things I cherish most about you."","
personal_relationships_life,emotions_wellbeing,"""I'm worried we're not creating enough space for joy in our lives."","
