domain,subtopic,sentence
misc_general_chat,weather_daily,"""This morning's rain caught me completely off guard without my umbrella, typical Nairobi weather."","
misc_general_chat,weather_daily,"""The sun is absolutely perfect today, we should definitely plan to meet up outside somewhere."","
misc_general_chat,weather_daily,"""You wouldn't believe how cold it was this morning, I actually considered wearing a sweater."","
misc_general_chat,weather_daily,"""This weather is perfect for staying in bed with some hot chocolate and good company."","
misc_general_chat,weather_daily,"""The breeze today feels amazing, it's like Nairobi is finally giving us a break."","
misc_general_chat,weather_daily,"""I'm so tired of this unpredictable weather, can it just make up its mind already?"","
misc_general_chat,weather_daily,"""This sunshine is making me want to skip work and just enjoy the day outside."","
misc_general_chat,weather_daily,"""My clothes took forever to dry because of this damp weather, it's so frustrating."","
misc_general_chat,weather_daily,"""The temperature dropped so suddenly last night, I actually had to dig out my blanket."","
misc_general_chat,weather_daily,"""You look extra beautiful today, but maybe that's just the sunshine highlighting your features."","
misc_general_chat,weather_daily,"""This weather is perfect for cuddling up somewhere warm, just saying in case you're free."","
misc_general_chat,weather_daily,"""I love how the rain makes everything smell so fresh and clean in the morning."","
misc_general_chat,weather_daily,"""My entire schedule got ruined because of this sudden downpour, I'm honestly so annoyed."","
misc_general_chat,weather_daily,"""The forecast says it might storm later, so maybe we should reschedule our outdoor plans."","
misc_general_chat,weather_daily,"""I can't decide if I should wear layers or not, this weather is so confusing."","
misc_general_chat,weather_daily,"""The sunset tonight was absolutely stunning with all these clouds creating such dramatic colors."","
misc_general_chat,weather_daily,"""My plants are loving this weather, they've been growing like crazy with all this rain."","
misc_general_chat,weather_daily,"""You should have seen the lightning last night, it was both terrifying and beautiful."","
misc_general_chat,weather_daily,"""I'm really enjoying this cool breeze, it's such a nice change from the usual heat."","
misc_general_chat,weather_daily,"""This weather makes me want to cook some warm soup and just relax at home."","
misc_general_chat,weather_daily,"""I can't believe how strong the wind is today, it nearly blew my papers away."","
misc_general_chat,weather_daily,"""The morning mist made everything look so magical on my way to work today."","
misc_general_chat,weather_daily,"""I'm seriously considering moving somewhere with more predictable weather, this is getting ridiculous."","
misc_general_chat,weather_daily,"""This perfect weather is making me think we should grab lunch outside somewhere nice."","
misc_general_chat,weather_daily,"""The temperature is just right today, not too hot and not too cold either."","
misc_general_chat,weather_daily,"""You always brighten my day, but today the sunshine is giving you some competition."","
misc_general_chat,weather_daily,"""I love how quiet the city gets when it rains, it's actually quite peaceful."","
misc_general_chat,weather_daily,"""The weather app said it would be sunny but it's been cloudy all morning long."","
misc_general_chat,weather_daily,"""This heat is perfect for that ice cream date we've been talking about forever."","
misc_general_chat,weather_daily,"""I woke up to such beautiful sunshine, it really put me in a great mood."","
misc_general_chat,weather_daily,"""My shoes got completely ruined in that downpour yesterday, I'm still upset about it."","
misc_general_chat,weather_daily,"""This constant switching between hot and cold is going to make me sick eventually."","
misc_general_chat,weather_daily,"""The clouds are moving in really fast, we might want to head inside soon."","
misc_general_chat,weather_daily,"""Nothing beats sitting by the window with a book on a rainy day like this."","
misc_general_chat,weather_daily,"""You look particularly handsome today, but maybe it's just the perfect lighting."","
misc_general_chat,weather_daily,"""I can't believe how quickly the weather changed from sunny to pouring rain today."","
misc_general_chat,weather_daily,"""The morning dew made the grass look like it was covered in tiny diamonds."","
misc_general_chat,weather_daily,"""I'm actually enjoying this cooler weather, it's a nice break from the usual heat."","
misc_general_chat,weather_daily,"""This humidity is making my skin break out, I really don't need this right now."","
misc_general_chat,weather_daily,"""The breeze is just strong enough to be refreshing without being annoying today."","
misc_general_chat,weather_daily,"""We should take advantage of this beautiful weather and go for a walk later."","
misc_general_chat,weather_daily,"""I'm so over this unpredictable Nairobi weather, can we just have some consistency?"","
misc_general_chat,weather_daily,"""The sunset colors were absolutely breathtaking tonight, wish you could have seen them with me."","
misc_general_chat,weather_daily,"""This sudden cold snap caught me completely unprepared, I'm freezing in this thin jacket."","
misc_general_chat,weather_daily,"""The rain sounds so soothing right now, it's the perfect background noise for relaxing."","
misc_general_chat,weather_daily,"""I can't decide what to wear because the weather can't make up its mind."","
misc_general_chat,weather_daily,"""This perfect weather is making me wish I had someone special to spend it with."","
misc_general_chat,weather_daily,"""The heat is making me so thirsty, I've been drinking water non-stop all day."","
misc_general_chat,weather_daily,"""I love how the rain washes everything clean, it feels like a fresh start."","
misc_general_chat,weather_daily,"""My commute was a nightmare because of this sudden heavy rain during rush hour."","
misc_general_chat,weather_daily,"""The morning fog made driving quite challenging but it looked really beautiful though."","
misc_general_chat,weather_daily,"""This weather is perfect for staying in and watching movies with someone cute."","
misc_general_chat,weather_daily,"""I can't believe how quickly the sun came out after that heavy rain this morning."","
misc_general_chat,weather_daily,"""The air feels so heavy and humid today, it's making it hard to breathe properly."","
misc_general_chat,weather_daily,"""You always know how to brighten my day, even when the weather is gloomy."","
misc_general_chat,weather_daily,"""This constant back and forth between sun and rain is really testing my patience."","
misc_general_chat,weather_daily,"""The gentle rain is creating such a cozy atmosphere, perfect for staying in tonight."","
misc_general_chat,weather_daily,"""I should have checked the forecast before planning this outdoor activity, my bad."","
misc_general_chat,weather_daily,"""The cool evening breeze is so refreshing after such a hot and humid day."","
misc_general_chat,weather_daily,"""This weather is making me crave some warm tea and good conversation with you."","
misc_general_chat,weather_daily,"""I'm actually enjoying this overcast day, it's a nice break from the bright sun."","
misc_general_chat,weather_daily,"""The sudden temperature drop last night caught me by surprise, I was shivering."","
misc_general_chat,weather_daily,"""We should definitely take advantage of this sunshine before the rains come back again."","
misc_general_chat,weather_daily,"""This humidity is making my clothes stick to me in the most uncomfortable way."","
misc_general_chat,weather_daily,"""The morning chill was actually quite invigorating during my walk to work today."","
misc_general_chat,weather_daily,"""You look especially attractive today, but maybe it's just the perfect weather highlighting you."","
misc_general_chat,weather_daily,"""I'm getting really tired of this unpredictable weather messing with all my plans constantly."","
misc_general_chat,weather_daily,"""The light drizzle is actually quite romantic, perfect for a cozy evening indoors together."","
misc_general_chat,weather_daily,"""I can't believe how quickly the weather cleared up after that storm this afternoon."","
misc_general_chat,weather_daily,"""The heat is making me so lethargic, I haven't gotten anything done all day long."","
misc_general_chat,weather_daily,"""This perfect weather is making me wish we had planned something fun outdoors today."","
misc_general_chat,weather_daily,"""The sudden rain shower completely ruined my hairstyle, I look like a wet dog."","
misc_general_chat,weather_daily,"""I love how the city looks when it's slightly overcast, everything seems more peaceful."""
misc_general_chat,weather_daily,"""This Nairobi weather is so unpredictable, it was sunny just an hour ago."","
misc_general_chat,weather_daily,"""I can't believe how cold it is this morning, my hands are freezing."","
misc_general_chat,weather_daily,"""The rain caught me completely off guard, I didn't even bring an umbrella."","
misc_general_chat,weather_daily,"""This sunshine is absolutely perfect for hanging out laundry today."","
misc_general_chat,weather_daily,"""I hope it doesn't rain during the football match this afternoon."","
misc_general_chat,weather_daily,"""The weather app says it might storm later, better stay indoors."","
misc_general_chat,weather_daily,"""This heat is making me so lazy, I just want to nap."","
misc_general_chat,weather_daily,"""Can you believe how beautiful the sunset looks through these clouds?"","
misc_general_chat,weather_daily,"""My plants are loving all this rain we've been getting lately."","
misc_general_chat,weather_daily,"""I wish the weather would make up its mind already."","
misc_general_chat,weather_daily,"""This morning chill is perfect for cuddling up with some tea."","
misc_general_chat,weather_daily,"""The wind is so strong today, it almost blew my hat off."","
misc_general_chat,weather_daily,"""I'm so glad I wore layers today, this temperature keeps changing."","
misc_general_chat,weather_daily,"""This weather is perfect for that walk we've been planning."","
misc_general_chat,weather_daily,"""I can't stand how humid it gets after it rains here."","
misc_general_chat,weather_daily,"""The sky looks so clear tonight, we should stargaze later."","
misc_general_chat,weather_daily,"""My clothes on the line got soaked from that sudden downpour."","
misc_general_chat,weather_daily,"""This cool breeze is exactly what I needed after that heat."","
misc_general_chat,weather_daily,"""I hope the roads don't flood like they did last week."","
misc_general_chat,weather_daily,"""The morning mist makes everything look so magical and peaceful."","
misc_general_chat,weather_daily,"""I'm seriously considering moving somewhere with more predictable weather patterns."","
misc_general_chat,weather_daily,"""This perfect weather makes me want to skip work and adventure."","
misc_general_chat,weather_daily,"""The way the sun hits your face in this light is stunning."","
misc_general_chat,weather_daily,"""I can't believe I have to go out in this pouring rain."","
misc_general_chat,weather_daily,"""This evening weather is so romantic, perfect for a quiet date."","
misc_general_chat,weather_daily,"""My hair is going to be a mess in all this humidity."","
misc_general_chat,weather_daily,"""The weather today matches my mood perfectly - cloudy with chance of smiles."""
