domain,subtopic,sentence
religion_morality,prayer_faith,"""I really believe prayer changes things even when we can't see it immediately."","
religion_morality,prayer_faith,"""Sometimes I wonder if God is really listening to all my prayers."","
religion_morality,prayer_faith,"""You know that feeling when your prayer gets answered exactly how you wanted?"","
religion_morality,prayer_faith,"""My faith has been really tested this week with everything going on."","
religion_morality,prayer_faith,"""Can we pray together about that situation you mentioned earlier today?"","
religion_morality,prayer_faith,"""I love how peaceful I feel after spending time in prayer."","
religion_morality,prayer_faith,"""Do you ever feel like your prayers are just bouncing off the ceiling?"","
religion_morality,prayer_faith,"""Your faith is actually really inspiring to me when things get tough."","
religion_morality,prayer_faith,"""I'm trying to pray more consistently but I keep forgetting some days."","
religion_morality,prayer_faith,"""That testimony you shared about answered prayer really blessed me this morning."","
religion_morality,prayer_faith,"""Sometimes I pray just to vent because God is the best listener."","
religion_morality,prayer_faith,"""I think my faith grows stronger every time I go through challenges."","
religion_morality,prayer_faith,"""Can you believe how specific that prayer was answered last week?"","
religion_morality,prayer_faith,"""I'm getting annoyed with people who say prayer doesn't change anything."","
religion_morality,prayer_faith,"""Your prayer life must be amazing because you're always so peaceful."","
religion_morality,prayer_faith,"""I need to build my faith more because sometimes I doubt too much."","
religion_morality,prayer_faith,"""Let's make a prayer pact to pray for each other every day."","
religion_morality,prayer_faith,"""Sometimes I feel like my prayers are too selfish and small-minded."","
religion_morality,prayer_faith,"""That Bible verse about faith the size of a mustard seed gets me."","
religion_morality,prayer_faith,"""I'm seriously considering starting a prayer group for young professionals like us."","
religion_morality,prayer_faith,"""Your faith journey is actually really attractive to me, just saying."","
religion_morality,prayer_faith,"""I get so frustrated when I pray but don't see results quickly."","
religion_morality,prayer_faith,"""Prayer is like having a direct line to the CEO of the universe."","
religion_morality,prayer_faith,"""My faith was really shaken by what happened last month honestly."","
religion_morality,prayer_faith,"""Can we talk about how to make prayer more meaningful in our lives?"","
religion_morality,prayer_faith,"""I love how prayer connects me to something bigger than myself."","
religion_morality,prayer_faith,"""Sometimes I wonder if I'm praying for the right things in life."","
religion_morality,prayer_faith,"""Your commitment to prayer is actually really impressive and inspiring."","
religion_morality,prayer_faith,"""I need to stop treating prayer like a last resort emergency button."","
religion_morality,prayer_faith,"""That prayer meeting we had last night was actually really powerful."","
religion_morality,prayer_faith,"""Do you think God gets tired of hearing the same prayers?"","
religion_morality,prayer_faith,"""My faith tells me everything will work out even when it's hard."","
religion_morality,prayer_faith,"""I'm trying to develop a more consistent prayer routine these days."","
religion_morality,prayer_faith,"""Sometimes prayer feels like talking to myself but I know it's not."","
religion_morality,prayer_faith,"""Your prayer requests are always so thoughtful and considerate of others."","
religion_morality,prayer_faith,"""I get annoyed when people reduce prayer to just positive thinking."","
religion_morality,prayer_faith,"""Can we start our day with prayer together tomorrow morning?"","
religion_morality,prayer_faith,"""My faith has been my anchor through all the storms lately."","
religion_morality,prayer_faith,"""I love how prayer can change my perspective on difficult situations."","
religion_morality,prayer_faith,"""Do you ever feel like your faith isn't strong enough sometimes?"","
religion_morality,prayer_faith,"""That story about miraculous healing through prayer really strengthened my faith."","
religion_morality,prayer_faith,"""I'm seriously working on trusting God more with my future plans."","
religion_morality,prayer_faith,"""Prayer is like spiritual breathing - essential for staying connected to God."","
religion_morality,prayer_faith,"""Your faith during that trial was actually really beautiful to witness."","
religion_morality,prayer_faith,"""I need to stop doubting and just trust that God hears me."","
religion_morality,prayer_faith,"""Let's pray for each other's faith to grow stronger this month."","
religion_morality,prayer_faith,"""Sometimes I feel like my prayers are too routine and mechanical."","
religion_morality,prayer_faith,"""I love how prayer brings peace even when circumstances don't change."","
religion_morality,prayer_faith,"""Do you think our generation prays less than our parents did?"","
religion_morality,prayer_faith,"""My faith journey has had so many ups and downs this year."","
religion_morality,prayer_faith,"""I'm getting better at praying about small things not just crises."","
religion_morality,prayer_faith,"""That testimony about prayer changing someone's heart was really powerful."","
religion_morality,prayer_faith,"""I need to remember that prayer isn't about changing God's mind."","
religion_morality,prayer_faith,"""Let's challenge each other to pray more specifically this week."","
religion_morality,prayer_faith,"""Sometimes I wonder if unanswered prayers are actually protection in disguise."","
religion_morality,prayer_faith,"""Your consistent prayer life is something I really admire about you."","
religion_morality,prayer_faith,"""I'm learning to have faith even when I don't understand things."","
religion_morality,prayer_faith,"""Prayer has become my favorite way to start and end each day."","
religion_morality,prayer_faith,"""Do you ever feel like your faith is being tested on purpose?"","
religion_morality,prayer_faith,"""My prayer life has really deepened since I started journaling them."","
religion_morality,prayer_faith,"""I love how faith gives me hope when everything seems hopeless."","
religion_morality,prayer_faith,"""Can we share prayer requests and actually follow up on them?"","
religion_morality,prayer_faith,"""Sometimes I feel guilty for not praying as much as I should."","
religion_morality,prayer_faith,"""Your faith in difficult times makes me want to believe more."","
religion_morality,prayer_faith,"""I'm working on praying with more expectation and less doubt."","
religion_morality,prayer_faith,"""Let's not just pray but also look for how God answers."","
religion_morality,prayer_faith,"""Sometimes I think my lack of faith blocks answered prayers."","
religion_morality,prayer_faith,"""I need to remember that prayer is a conversation not a monologue."","
religion_morality,prayer_faith,"""That story about someone's prayer being answered after years gives me hope."","
religion_morality,prayer_faith,"""My faith helps me see purpose in things that don't make sense."","
religion_morality,prayer_faith,"""I'm learning to pray about everything not just the big stuff."","
religion_morality,prayer_faith,"""Do you think our prayers actually influence what happens in life?"","
religion_morality,prayer_faith,"""Your dedication to prayer is actually really attractive and admirable."","
religion_morality,prayer_faith,"""I get frustrated when people treat prayer like a magic formula."","
religion_morality,prayer_faith,"""Let's make faith declarations together and see what God does."","
religion_morality,prayer_faith,"""Sometimes I feel like my prayers are too focused on myself."","
religion_morality,prayer_faith,"""I love how prayer connects me to other believers around the world."","
religion_morality,prayer_faith,"""My faith has taught me that timing is everything with prayers."","
religion_morality,prayer_faith,"""I'm trying to pray more for others and not just myself."","
religion_morality,prayer_faith,"""That miracle we witnessed last week really strengthened my faith."","
religion_morality,prayer_faith,"""Can we start a prayer chain for that family in our church?"","
religion_morality,prayer_faith,"""Sometimes I wonder if I'm praying with the right motives."""
religion_morality,prayer_faith,"""Sometimes I pray and feel like my faith is really being tested, you know?"","
religion_morality,prayer_faith,"""I love how prayer gives me this peaceful feeling, like everything will be okay."","
religion_morality,prayer_faith,"""You better not be skipping your prayers, God is watching you always!"","
religion_morality,prayer_faith,"""When I see you praying, it makes me admire your strong faith so much."","
religion_morality,prayer_faith,"""Can we please stop talking about prayer and just watch the movie now?"","
religion_morality,prayer_faith,"""My faith has really grown since I started praying more consistently every day."","
religion_morality,prayer_faith,"""Prayer is like having a direct hotline to God, how cool is that?"","
religion_morality,prayer_faith,"""I was praying for you today, hope you felt the positive energy somehow."","
religion_morality,prayer_faith,"""Ugh, why do people act so holy after praying then gossip immediately after?"","
religion_morality,prayer_faith,"""Your dedication to prayer is actually really inspiring, makes me want to do better."","
religion_morality,prayer_faith,"""Sometimes I wonder if my prayers are even being heard up there, honestly."","
religion_morality,prayer_faith,"""Prayer works miracles, I've seen it happen in my own life for real."","
religion_morality,prayer_faith,"""Hey beautiful, I was just praying and your face popped into my mind."","
religion_morality,prayer_faith,"""Can we move this prayer meeting earlier? I have plans in the evening."","
religion_morality,prayer_faith,"""Faith isn't about seeing results immediately, it's about trusting God's timing always."","
religion_morality,prayer_faith,"""I love how we can pray together, it makes our bond even stronger."","
religion_morality,prayer_faith,"""Prayer should come from the heart, not just repeating words mechanically, you know?"","
religion_morality,prayer_faith,"""When things get tough, my faith is what keeps me going through prayer."""
