domain,subtopic,sentence
travel_transport_street,matatus_boda,"""Hey, that matatu took forever to fill up today, I was almost late for work."","
travel_transport_street,matatus_boda,"""You should have seen the boda guy swerving through traffic like a pro."","
travel_transport_street,matatus_boda,"""I love how these matatus play such good music, makes the ride enjoyable."","
travel_transport_street,matatus_boda,"""Be careful with those boda bodas at night, some don't have proper lights."","
travel_transport_street,matatus_boda,"""That matatu conductor was so funny, he had everyone laughing the whole trip."","
travel_transport_street,matatus_boda,"""I think I'm developing a crush on my regular boda boda guy, he's cute."","
travel_transport_street,matatus_boda,"""These matatu fares are getting ridiculous, soon we'll need loans to commute."","
travel_transport_street,matatus_boda,"""Nothing beats the thrill of a boda boda ride through Nairobi's backstreets."","
travel_transport_street,matatus_boda,"""The matatu was so packed today I could literally feel everyone's breathing."","
travel_transport_street,matatus_boda,"""My boda guy knows all the shortcuts, we avoid traffic like magic."","
travel_transport_street,matatus_boda,"""You wouldn't believe the drama that happened in my matatu this morning."","
travel_transport_street,matatus_boda,"""I saw the cutest boda boda decorated with flowers and ribbons today."","
travel_transport_street,matatus_boda,"""These matatus need to learn some road discipline, they're becoming dangerous."","
travel_transport_street,matatus_boda,"""Riding boda boda in the rain is an adventure I don't recommend."","
travel_transport_street,matatus_boda,"""The new matatus on this route are actually quite comfortable and clean."","
travel_transport_street,matatus_boda,"""My boda guy remembered my favorite route without me even telling him."","
travel_transport_street,matatus_boda,"""I hate when matatus stop right in the middle of the road suddenly."","
travel_transport_street,matatus_boda,"""That boda boda ride was so smooth, I almost fell asleep behind him."","
travel_transport_street,matatus_boda,"""We need to report that matatu, the driver was clearly over speeding."","
travel_transport_street,matatus_boda,"""I love how boda bodas can fit through spaces cars can't even dream of."","
travel_transport_street,matatus_boda,"""The matatu music was so loud today my ears are still ringing."","
travel_transport_street,matatus_boda,"""Be careful with your phone when on a boda, snatchers are everywhere."","
travel_transport_street,matatus_boda,"""I made three new friends in the matatu today, Kenyans are so social."","
travel_transport_street,matatus_boda,"""My regular boda guy always waits for me even when I'm running late."","
travel_transport_street,matatus_boda,"""These matatu conductors need to learn some patience with passengers."","
travel_transport_street,matatus_boda,"""Nothing beats the wind in your hair during a morning boda boda ride."","
travel_transport_street,matatus_boda,"""I saw a matatu with the most amazing graffiti art this morning."","
travel_transport_street,matatus_boda,"""Boda boda guys have the best stories about Nairobi life and politics."","
travel_transport_street,matatus_boda,"""The matatu breakdown made me two hours late for my appointment."","
travel_transport_street,matatus_boda,"""I think my boda guy was flirting with me today, was so sweet."","
travel_transport_street,matatus_boda,"""We should start a campaign for better matatu safety standards in the city."","
travel_transport_street,matatus_boda,"""Riding boda boda through the market areas requires serious balancing skills."","
travel_transport_street,matatus_boda,"""The matatu driver was so reckless today, I feared for my life."","
travel_transport_street,matatus_boda,"""I love how boda bodas can get you anywhere, even the narrowest alleys."","
travel_transport_street,matatus_boda,"""That matatu conductor shortchanged me and pretended it was an accident."","
travel_transport_street,matatus_boda,"""My boda guy knows all the potholes on our route and avoids them perfectly."","
travel_transport_street,matatus_boda,"""The new electric matatus are so quiet compared to the noisy old ones."","
travel_transport_street,matatus_boda,"""Boda boda rides are cheaper than Uber when you're in a real hurry."","
travel_transport_street,matatus_boda,"""I wish matatus would stick to their designated stops instead of anywhere."","
travel_transport_street,matatus_boda,"""That boda guy had such strong arms, I noticed when I held on."","
travel_transport_street,matatus_boda,"""The matatu smell today was something else, mix of sweat and perfume."","
travel_transport_street,matatus_boda,"""Boda boda guys have the best network for finding anything in the city."","
travel_transport_street,matatus_boda,"""I appreciate how matatus run until late, helping night shift workers get home."","
travel_transport_street,matatus_boda,"""My boda guy always warns me about police roadblocks ahead, so helpful."","
travel_transport_street,matatus_boda,"""These matatu seats need better padding, my back is killing me."","
travel_transport_street,matatus_boda,"""Nothing like a boda boda ride to clear your head after a long day."","
travel_transport_street,matatus_boda,"""The matatu was so clean today, I was genuinely surprised and impressed."","
travel_transport_street,matatus_boda,"""Boda boda guys should really invest in better helmets for their passengers."","
travel_transport_street,matatus_boda,"""I hate when matatus play the same song on repeat the entire journey."","
travel_transport_street,matatus_boda,"""That boda ride through the industrial area was dustier than I expected."","
travel_transport_street,matatus_boda,"""We need more women boda boda riders in this city for diversity."","
travel_transport_street,matatus_boda,"""The matatu made so many unnecessary stops, what should've taken 30 minutes took an hour."","
travel_transport_street,matatus_boda,"""I love how boda bodas can maneuver through the worst traffic jams."","
travel_transport_street,matatus_boda,"""That matatu conductor was so rude to the elderly woman, it was disgusting."","
travel_transport_street,matatus_boda,"""My boda guy always knows the latest gossip happening around our estate."","
travel_transport_street,matatus_boda,"""These matatu windows don't close properly, I was freezing this morning."","
travel_transport_street,matatus_boda,"""Boda boda rides at sunset are literally the most beautiful thing in Nairobi."","
travel_transport_street,matatus_boda,"""The matatu had such comfortable seats, I actually enjoyed the long ride."","
travel_transport_street,matatus_boda,"""I think my boda guy was trying to show off his riding skills today."","
travel_transport_street,matatus_boda,"""We should start a WhatsApp group for reporting reckless matatu drivers."","
travel_transport_street,matatus_boda,"""Boda boda is the fastest way to beat Nairobi's infamous traffic jams."","
travel_transport_street,matatus_boda,"""The matatu breakdown left us stranded in the middle of nowhere today."","
travel_transport_street,matatus_boda,"""I love how boda boda guys greet each other as they pass by."","
travel_transport_street,matatus_boda,"""These matatu routes are so confusing for visitors to understand properly."","
travel_transport_street,matatus_boda,"""My boda guy remembered my birthday and gave me a free ride today."","
travel_transport_street,matatus_boda,"""The matatu was playing such romantic music, it set the perfect mood."","
travel_transport_street,matatus_boda,"""Boda boda guys need to stop using their phones while riding, it's dangerous."","
travel_transport_street,matatus_boda,"""I appreciate how matatu conductors help passengers with their heavy luggage sometimes."","
travel_transport_street,matatus_boda,"""That boda ride through the rain was both scary and exhilarating honestly."","
travel_transport_street,matatus_boda,"""The matatu fare increase is really affecting my monthly budget significantly."","
travel_transport_street,matatus_boda,"""Boda boda is the best option when you're running late for meetings."","
travel_transport_street,matatus_boda,"""I hate when matatus block the pedestrian walkways while picking passengers."","
travel_transport_street,matatus_boda,"""My boda guy always has the most interesting perspectives on current affairs."","
travel_transport_street,matatus_boda,"""These matatus need to maintain better hygiene, especially during flu season."","
travel_transport_street,matatus_boda,"""Nothing beats the convenience of boda boda for last-mile connectivity."","
travel_transport_street,matatus_boda,"""The matatu driver was so skilled at navigating through the crowded streets."","
travel_transport_street,matatus_boda,"""Boda boda guys should have some basic first aid training for accidents."","
travel_transport_street,matatus_boda,"""I love how matatus have become such an integral part of Kenyan culture."","
travel_transport_street,matatus_boda,"""That boda guy had such a nice smile, made my morning better."","
travel_transport_street,matatus_boda,"""We need stricter regulations for both matatus and bodas regarding safety."","
travel_transport_street,matatus_boda,"""Boda boda is actually quite affordable compared to other transport options."","
travel_transport_street,matatus_boda,"""The matatu was so empty today, I had the whole row to myself."","
travel_transport_street,matatus_boda,"""I think my boda guy was going too fast, I was genuinely scared."","
travel_transport_street,matatus_boda,"""These matatu names and graffiti reflect so much about Kenyan youth culture."""
travel_transport_street,matatus_boda,"""Seriously, these boda guys are driving like they own the road today."","
travel_transport_street,matatus_boda,"""You look cute on that boda, wish I was the one giving you a ride."","
travel_transport_street,matatus_boda,"""Matatus are so packed this evening, I can barely breathe in here."","
travel_transport_street,matatus_boda,"""Let's share a boda to Westlands, it will be faster and more fun."","
travel_transport_street,matatus_boda,"""I hate when matatu conductors shout at passengers, it's so disrespectful."","
travel_transport_street,matatus_boda,"""Your boda skills are impressive, you should consider doing this professionally."","
travel_transport_street,matatus_boda,"""The matatu fare has increased again, this economy is really squeezing us."","
travel_transport_street,matatus_boda,"""Riding boda without a helmet is risky, please be careful on the road."","
travel_transport_street,matatus_boda,"""That matatu music is too loud, I can't even hear myself think."","
travel_transport_street,matatus_boda,"""I saw you on a boda earlier, you looked really cool cruising."","
travel_transport_street,matatus_boda,"""These boda guys know all the shortcuts, we'll beat the traffic jam."","
travel_transport_street,matatus_boda,"""Matatus need better maintenance, this one sounds like it will break down."","
travel_transport_street,matatus_boda,"""Your boda jacket looks nice on you, it suits your style perfectly."","
travel_transport_street,matatus_boda,"""I'm tired of matatu delays, they said five minutes thirty minutes ago."","
travel_transport_street,matatus_boda,"""We should take a boda ride through the city at night, it's beautiful."""
travel_transport_street,matatus_boda,"Haha, that matatu driver just tried to race a boda and lost, classic Nairobi traffic!"
travel_transport_street,matatus_boda,"You look good on that boda, maybe I should hop on for a ride sometime."
