domain,subtopic,sentence
personal_relationships_life,general_advice_etiquette,"""If you're running late, please just send a quick text - it's basic respect really."","
personal_relationships_life,general_advice_etiquette,"""When someone's sharing something personal, maybe don't immediately jump in with your own story."","
personal_relationships_life,general_advice_etiquette,"""I love how you always remember small details about people - it's really attractive actually."","
personal_relationships_life,general_advice_etiquette,"""Can we please not have phones at the dinner table? I miss actual conversations."","
personal_relationships_life,general_advice_etiquette,"""You're so cute when you get all proper about table manners, it's kinda sweet."","
personal_relationships_life,general_advice_etiquette,"""Please don't interrupt people when they're speaking - wait for your turn to talk."","
personal_relationships_life,general_advice_etiquette,"""Remember that everyone you meet is fighting battles you know nothing about, so be kind."","
personal_relationships_life,general_advice_etiquette,"""When you're wrong, just apologize properly - no buts, no excuses, just own it."","
personal_relationships_life,general_advice_etiquette,"""I noticed you always hold doors open for people - such a gentleman move."","
personal_relationships_life,general_advice_etiquette,"""Could you stop finishing my sentences? I know what I want to say myself."","
personal_relationships_life,general_advice_etiquette,"""Always ask before posting photos of other people online - privacy matters, you know."","
personal_relationships_life,general_advice_etiquette,"""When someone's upset, sometimes they just need you to listen, not to solve anything."","
personal_relationships_life,general_advice_etiquette,"""You look so handsome when you're being all respectful and proper - just saying."","
personal_relationships_life,general_advice_etiquette,"""Please don't gossip about people behind their backs - it always comes back around."","
personal_relationships_life,general_advice_etiquette,"""Remember to put your phone away when someone's talking to you - it's rude otherwise."","
personal_relationships_life,general_advice_etiquette,"""If you make plans with someone, actually show up or cancel properly in advance."","
personal_relationships_life,general_advice_etiquette,"""When you're angry, take a breath before responding - you'll avoid saying things you regret."","
personal_relationships_life,general_advice_etiquette,"""You're so thoughtful when you remember people's birthdays - it really makes them feel special."","
personal_relationships_life,general_advice_etiquette,"""Could you please not check your phone while I'm telling you something important?"","
personal_relationships_life,general_advice_etiquette,"""Always respect people's boundaries - if they say no, that's the final answer."","
personal_relationships_life,general_advice_etiquette,"""When you're a guest in someone's home, offer to help with cleaning up afterwards."","
personal_relationships_life,general_advice_etiquette,"""I really appreciate how you never make fun of people's dreams - that's rare."","
personal_relationships_life,general_advice_etiquette,"""Please don't give unsolicited advice - wait until someone actually asks for your opinion."","
personal_relationships_life,general_advice_etiquette,"""Can we agree to not talk about money all the time? It gets awkward."","
personal_relationships_life,general_advice_etiquette,"""Always give compliments when you genuinely mean them - people can tell when you're fake."","
personal_relationships_life,general_advice_etiquette,"""When you're in a group conversation, make sure everyone gets a chance to speak."","
personal_relationships_life,general_advice_etiquette,"""I love how you always remember to say please and thank you - it's refreshing."","
personal_relationships_life,general_advice_etiquette,"""Remember that sometimes the kindest thing you can do is just be present with someone."","
personal_relationships_life,general_advice_etiquette,"""You're so good at making eye contact when people talk - it shows real interest."","
personal_relationships_life,general_advice_etiquette,"""Could you stop making jokes at inappropriate times? Not everything needs to be funny."","
personal_relationships_life,general_advice_etiquette,"""Always respect people's personal space - not everyone is comfortable with hugs or touching."","
personal_relationships_life,general_advice_etiquette,"""I noticed how you always include quiet people in conversations - that's really thoughtful."","
personal_relationships_life,general_advice_etiquette,"""Please don't cancel plans at the last minute unless it's a genuine emergency."","
