domain,subtopic,sentence
travel_transport_street,street_vendors,"""I'm getting really tired of these street vendors blocking the entire pavement during rush hour."","
travel_transport_street,street_vendors,"""I wish the county council would do something about these illegal vendors on the roads."","
travel_transport_street,street_vendors,"""These guys selling phone covers literally appear out of nowhere when your screen cracks."","
travel_transport_street,street_vendors,"""That beautiful jewelry seller at the traffic lights always gives me special prices, wonder why?"","
travel_transport_street,street_vendors,"""The noise from all these street hawkers is making it impossible to have a conversation."","
travel_transport_street,street_vendors,"""You should try the fresh juice from the bicycle vendor - it's surprisingly really good."","
travel_transport_street,street_vendors,"""I just bought the cutest handmade basket from a street vendor near the market."","
travel_transport_street,street_vendors,"""These counterfeit perfume sellers are getting really bold with their fake designer brands."","
travel_transport_street,street_vendors,"""The way that chap balances all those watches on his arm is actually impressive."","
travel_transport_street,street_vendors,"""I'm getting really concerned about the hygiene standards of some of these food vendors."","
travel_transport_street,street_vendors,"""That guy selling roses knows exactly when couples are having arguments, he's strategic."","
travel_transport_street,street_vendors,"""The county askaris were chasing vendors again this morning, it was quite a scene."","
travel_transport_street,street_vendors,"""I love how creative these street artists are with their paintings and sculptures."","
travel_transport_street,street_vendors,"""These guys selling socks in traffic jams are becoming millionaires one car at a time."","
travel_transport_street,street_vendors,"""The chap selling sunglasses gave me his number after I bought two pairs yesterday."","
travel_transport_street,street_vendors,"""It's frustrating when vendors surround your car before you've even properly parked it."","
travel_transport_street,street_vendors,"""That mama selling vegetables has the freshest produce and the most beautiful smile too."","
travel_transport_street,street_vendors,"""I think we should support these small vendors instead of always going to supermarkets."","
travel_transport_street,street_vendors,"""The smell of roasted maize in the evening air always makes me feel nostalgic."","
travel_transport_street,street_vendors,"""These fake airpod sellers are getting really convincing with their packaging nowadays."","
travel_transport_street,street_vendors,"""I saw you talking to that handsome book vendor near the university yesterday."","
travel_transport_street,street_vendors,"""The constant honking from street vendors is giving me such a headache today."","
travel_transport_street,street_vendors,"""That old man who repairs shoes on the sidewalk does better work than proper shops."","
travel_transport_street,street_vendors,"""I bought the most amazing spices from a street vendor in Old Town yesterday."","
travel_transport_street,street_vendors,"""These guys selling phone chargers in traffic are lifesavers when your battery dies."","
travel_transport_street,street_vendors,"""The county government should provide proper trading spaces instead of harassing these vendors."","
travel_transport_street,street_vendors,"""That lady selling mitumba clothes always has the best deals and great fashion sense."","
travel_transport_street,street_vendors,"""I'm always amazed by how these vendors remember all their regular customers' names."","
travel_transport_street,street_vendors,"""The chap selling watches gave me a special discount when I called him handsome."","
travel_transport_street,street_vendors,"""These street food vendors need to be more careful about food safety standards."","
travel_transport_street,street_vendors,"""I love how the city comes alive with all these colorful street markets."","
travel_transport_street,street_vendors,"""That guy selling belts followed me for three blocks trying to make a sale."","
travel_transport_street,street_vendors,"""The aroma of fresh chapati from street vendors is the best part of evening walks."","
travel_transport_street,street_vendors,"""I think we take for granted how convenient these street vendors actually are."","
travel_transport_street,street_vendors,"""That beautiful art vendor near National Museum always gives me extra paintings for free."","
travel_transport_street,street_vendors,"""The noise pollution from these shouting vendors is becoming unbearable in the city center."","
travel_transport_street,street_vendors,"""I discovered a vendor who makes custom leather bags right there on the street."","
travel_transport_street,street_vendors,"""These guys selling water in traffic are actual heroes during Nairobi's hot afternoons."","
travel_transport_street,street_vendors,"""The county needs to find a balance between order and letting people earn."","
travel_transport_street,street_vendors,"""That chap selling phone accessories has the most captivating eyes and great products."","
travel_transport_street,street_vendors,"""I'm getting really tired of stepping on broken groundnuts from street vendors everywhere."","
travel_transport_street,street_vendors,"""The taste of freshly cut coconut from roadside vendors is pure refreshment."","
travel_transport_street,street_vendors,"""These vendors have amazing entrepreneurial spirit despite all the challenges they face daily."","
travel_transport_street,street_vendors,"""That mama selling fruits always slips me an extra banana when no one's looking."","
travel_transport_street,street_vendors,"""The way these vendors package things in newspaper is both creative and eco-friendly."","
