domain,subtopic,sentence
misc_general_chat,gossip_news,"""Did you hear about what happened at the office party last Friday night?"","
misc_general_chat,gossip_news,"""I can't believe Sarah and Mark have been secretly dating for three months."","
misc_general_chat,gossip_news,"""The new manager is apparently transferring to the Mombasa branch next month."","
misc_general_chat,gossip_news,"""Someone saw our boss having lunch with that consultant from the rival company."","
misc_general_chat,gossip_news,"""Rumour has it there's going to be major layoffs after the quarterly review."","
misc_general_chat,gossip_news,"""I heard the receptionist quit after having a huge argument with accounting."","
misc_general_chat,gossip_news,"""You won't believe who got caught using company funds for personal expenses."","
misc_general_chat,gossip_news,"""The IT guy apparently knows everyone's passwords and reads our emails."","
misc_general_chat,gossip_news,"""They say the director's son is getting promoted without any experience."","
misc_general_chat,gossip_news,"""Did you notice how Janet suddenly started wearing expensive jewelry lately?"","
misc_general_chat,gossip_news,"""I think David from marketing is having marriage problems with his wife."","
misc_general_chat,gossip_news,"""The security guard told me he saw someone sneaking in after hours."","
misc_general_chat,gossip_news,"""Apparently the coffee machine money has been disappearing since last month."","
misc_general_chat,gossip_news,"""Someone overheard the managers discussing cutting our lunch breaks by half."","
misc_general_chat,gossip_news,"""I heard the company Christmas party budget got slashed by sixty percent."","
misc_general_chat,gossip_news,"""The new intern is actually the CEO's niece from upcountry somewhere."","
misc_general_chat,gossip_news,"""They say Angela got the promotion because she's dating the department head."","
misc_general_chat,gossip_news,"""Did you see how Mike suddenly bought that fancy new car?"","
misc_general_chat,gossip_news,"""The cleaning staff found something suspicious in the executive bathroom yesterday."","
misc_general_chat,gossip_news,"""I heard we're getting monitored cameras installed in the break room."","
misc_general_chat,gossip_news,"""Someone said the company is being investigated for tax evasion issues."","
misc_general_chat,gossip_news,"""The printer repair guy told me he found love letters in tray two."","
misc_general_chat,gossip_news,"""Apparently there's going to be a surprise audit next week Tuesday."","
misc_general_chat,gossip_news,"""I think Lucy from HR is pregnant but hiding it for now."","
misc_general_chat,gossip_news,"""The delivery guy said he saw our supervisor at a casino."","
misc_general_chat,gossip_news,"""They're saying the Nairobi office might relocate to Westlands area."","
misc_general_chat,gossip_news,"""Did you notice how Peter suddenly became so friendly with management?"","
misc_general_chat,gossip_news,"""I heard the accounts department found some major discrepancies last week."","
misc_general_chat,gossip_news,"""Someone saw the director's wife yelling at him in the parking lot."","
