domain,subtopic,sentence
health_fitness_wellbeing,nutrition_diet,"""Hey, have you been eating properly lately? You need to balance your meals better."","
health_fitness_wellbeing,nutrition_diet,"""I swear if I eat one more chapati this week I'll turn into dough myself."","
health_fitness_wellbeing,nutrition_diet,"""You know what would look good on you? Some more vegetables in your diet."","
health_fitness_wellbeing,nutrition_diet,"""I'm so tired of people telling me to drink kale smoothies every morning."","
health_fitness_wellbeing,nutrition_diet,"""Let's try that new salad place tomorrow, I heard their portions are actually filling."","
health_fitness_wellbeing,nutrition_diet,"""You should see how much energy I have since I started eating more protein."","
health_fitness_wellbeing,nutrition_diet,"""Is it just me or does healthy food always cost twice as much as junk?"","
health_fitness_wellbeing,nutrition_diet,"""I'd cook you a healthy dinner sometime if you promise to actually eat it."","
health_fitness_wellbeing,nutrition_diet,"""Seriously though, we need to talk about your addiction to those mandazi with tea."","
health_fitness_wellbeing,nutrition_diet,"""I found this amazing recipe for avocado toast that won't make us broke."","
health_fitness_wellbeing,nutrition_diet,"""Why does everyone act like they're nutrition experts after watching one YouTube video?"","
health_fitness_wellbeing,nutrition_diet,"""Your body will thank you later if you start drinking more water today."","
health_fitness_wellbeing,nutrition_diet,"""I bet you can't go one week without ordering chips from that kibanda."","
health_fitness_wellbeing,nutrition_diet,"""We should meal prep together this weekend, it'll save us money and time."","
health_fitness_wellbeing,nutrition_diet,"""I'm so done with these fitness influencers pushing expensive supplements nobody needs."","
health_fitness_wellbeing,nutrition_diet,"""Have you noticed how much better you sleep when you eat light at night?"","
health_fitness_wellbeing,nutrition_diet,"""You look great, but imagine how much better you'd feel with proper nutrition."","
health_fitness_wellbeing,nutrition_diet,"""My wallet is crying from all the 'healthy' groceries I bought this month."","
health_fitness_wellbeing,nutrition_diet,"""Let's make a pact to actually eat our packed lunches instead of buying chips."","
health_fitness_wellbeing,nutrition_diet,"""I read that skipping breakfast makes you gain more weight in the long run."","
health_fitness_wellbeing,nutrition_diet,"""Are you seriously eating another sausage from that street vendor? Think about your heart."","
health_fitness_wellbeing,nutrition_diet,"""I could watch you eat fruit all day, it's actually kinda cute."","
health_fitness_wellbeing,nutrition_diet,"""This new diet trend is just another way to make people feel bad about themselves."","
health_fitness_wellbeing,nutrition_diet,"""We need to stop rewarding ourselves with junk food after every little workout."","
health_fitness_wellbeing,nutrition_diet,"""Your skin would glow so much if you cut down on sugar and oil."","
health_fitness_wellbeing,nutrition_diet,"""I'm not saying no to pizza, I'm just saying let's add a salad too."","
health_fitness_wellbeing,nutrition_diet,"""Why is it so hard to find affordable healthy food in this city?"","
health_fitness_wellbeing,nutrition_diet,"""I started adding spinach to my smoothies and honestly can't even taste it."","
health_fitness_wellbeing,nutrition_diet,"""You'd be surprised how much difference drinking enough water makes to your energy."","
health_fitness_wellbeing,nutrition_diet,"""Let's try cooking fish this weekend instead of always going for red meat."","
health_fitness_wellbeing,nutrition_diet,"""I'm annoyed at how every 'healthy' restaurant serves tiny portions at crazy prices."","
health_fitness_wellbeing,nutrition_diet,"""Your future self will thank you for eating those vegetables today, trust me."","
health_fitness_wellbeing,nutrition_diet,"""I dare you to go one day without adding sugar to your tea."","
health_fitness_wellbeing,nutrition_diet,"""We should learn to make our own yogurt instead of buying the sugary ones."","
health_fitness_wellbeing,nutrition_diet,"""People don't realize how much salt is in even the 'healthy' packaged foods."","
health_fitness_wellbeing,nutrition_diet,"""I love how you always remember to pack fruits for our road trips."","
health_fitness_wellbeing,nutrition_diet,"""Another day, another person telling me to try their miracle weight loss tea."","
health_fitness_wellbeing,nutrition_diet,"""Let's be real, no one actually enjoys eating plain boiled chicken and broccoli."","
health_fitness_wellbeing,nutrition_diet,"""Your body needs proper fuel if you want to keep up with our workouts."","
health_fitness_wellbeing,nutrition_diet,"""I saw you eyeing those samosas, but maybe have just one instead of three."","
health_fitness_wellbeing,nutrition_diet,"""Home-cooked meals always taste better and are healthier than takeout anyway."","
