domain,subtopic,sentence
law_government,legal_procedure,"""The Kenyan legal procedure commences with the filing of a plaint in civil matters or a charge sheet in criminal cases."
law_government,legal_procedure,These initiating documents must comply with the Civil Procedure Act and Criminal Procedure Code respectively.
law_government,legal_procedure,Proper filing requires payment of prescribed court fees and submission to the appropriate court registry based on jurisdictional limits.
law_government,legal_procedure,"""Service of process in Kenya follows strict procedural requirements outlined in the Civil Procedure Rules."
law_government,legal_procedure,Court process servers or licensed advocates must effect service personally or through substituted means when direct service proves impossible.
law_government,legal_procedure,Proof of service must be filed with the court through affidavits of service to establish proper notification.
law_government,legal_procedure,"""Case management conferences were introduced through the 2010 Constitution reforms to expedite dispute resolution."
law_government,legal_procedure,"Judges or magistrates conduct these sessions to identify issues, explore settlement possibilities, and set timelines for pre-trial procedures."
law_government,legal_procedure,This procedural innovation has significantly reduced case backlog in Kenyan courts.
law_government,legal_procedure,"""Pleadings in Kenyan civil procedure include the plaint, defense, counterclaim, and reply."
law_government,legal_procedure,"Each pleading must contain material facts, avoid evidence, and comply with formal requirements under Order 2 of the Civil Procedure Rules."
law_government,legal_procedure,Amendments to pleadings require court permission after the close of pleadings.
law_government,legal_procedure,"""Criminal procedure in Kenya mandates that arrests must comply with constitutional safeguards under Article 49."
law_government,legal_procedure,"Arresting officers must inform suspects of their rights, including the right to remain silent and legal representation."
law_government,legal_procedure,Violation of these procedural requirements may lead to exclusion of evidence.
law_government,legal_procedure,"""Bail applications in Kenya are governed by the Bail and Bond Policy Guidelines 2015."
law_government,legal_procedure,"Courts consider factors such as flight risk, interference with witnesses, and the seriousness of the offense."
law_government,legal_procedure,"The Constitution presumes innocence until proven guilty, making bail a right rather than a privilege."
law_government,legal_procedure,"""Pre-trial directions under Order 11 of Civil Procedure Rules require parties to file documents they intend to rely on."
law_government,legal_procedure,"This includes witness statements, expert reports, and documentary evidence."
law_government,legal_procedure,The procedural requirement aims to prevent trial by ambush and promote fair adjudication.
law_government,legal_procedure,"""Witness testimony in Kenyan courts follows the Evidence Act, which governs examination-in-chief, cross-examination, and re-examination."
law_government,legal_procedure,"Witnesses must take an oath or affirmation before testifying, and their credibility may be challenged through impeachment procedures."
