domain,subtopic,sentence
misc_general_chat,random_questions,"""What's the weirdest dream you've ever had that you still remember clearly?"","
misc_general_chat,random_questions,"""If you could instantly master any skill without practicing, what would you choose?"","
misc_general_chat,random_questions,"""Do you believe in parallel universes where different versions of us exist?"","
misc_general_chat,random_questions,"""What's one food you hated as a child but actually enjoy now?"","
misc_general_chat,random_questions,"""If animals could talk, which species do you think would be the rudest?"","
misc_general_chat,random_questions,"""What's the most ridiculous conspiracy theory you've ever heard someone actually believe?"","
misc_general_chat,random_questions,"""If you had to lose one of your five senses, which would you pick?"","
misc_general_chat,random_questions,"""What's something you're secretly proud of but never get to brag about?"","
misc_general_chat,random_questions,"""Do you think we'll ever discover life on other planets in our lifetime?"","
misc_general_chat,random_questions,"""What's the most unnecessary invention you've seen that people actually buy?"","
misc_general_chat,random_questions,"""If you could time travel but only to observe, where would you go?"","
misc_general_chat,random_questions,"""What's a social norm you think we should get rid of completely?"","
misc_general_chat,random_questions,"""Have you ever had a moment where deja vu felt way too real?"","
misc_general_chat,random_questions,"""What fictional character would be the most boring to meet in real life?"","
misc_general_chat,random_questions,"""If you had to describe your personality as a weather pattern, what would it be?"","
misc_general_chat,random_questions,"""What's the most interesting historical fact you know that sounds made up?"","
misc_general_chat,random_questions,"""Do you think aliens would find humans fascinating or completely disappointing?"","
misc_general_chat,random_questions,"""What's a common piece of advice that you think is actually terrible?"","
misc_general_chat,random_questions,"""If you could know the absolute truth about one mystery, what would it be?"","
misc_general_chat,random_questions,"""What everyday sound do you find unusually satisfying or annoying?"","
misc_general_chat,random_questions,"""Do you believe in fate or do you think we create our own destiny?"","
misc_general_chat,random_questions,"""What's the most overrated movie everyone loves but you don't understand why?"","
misc_general_chat,random_questions,"""If you could communicate with one type of animal, which would you choose?"","
misc_general_chat,random_questions,"""What's something everyone should try at least once in their lifetime?"","
misc_general_chat,random_questions,"""Do you think ghosts exist or is it all in our imagination?"","
misc_general_chat,random_questions,"""What's the strangest law you've heard of that actually exists somewhere?"","
misc_general_chat,random_questions,"""If you could erase one memory, would you and which one?"","
misc_general_chat,random_questions,"""What's a common fear you've never understood why people have it?"","
misc_general_chat,random_questions,"""Do you think we're living in a simulation like the Matrix?"","
misc_general_chat,random_questions,"""What's the most useless talent you have that serves no purpose?"","
misc_general_chat,random_questions,"""If you could only listen to one music artist forever, who would it be?"","
misc_general_chat,random_questions,"""What's something people assume about you that's completely wrong?"","
misc_general_chat,random_questions,"""Do you think money can truly buy happiness or is that a myth?"","
misc_general_chat,random_questions,"""What's the most embarrassing fashion trend you participated in growing up?"","
misc_general_chat,random_questions,"""If you could have any superpower but it had to be useless, what?"","
misc_general_chat,random_questions,"""What's a question you're tired of people asking you all the time?"","
misc_general_chat,random_questions,"""Do you believe in love at first sight or is that just lust?"","
misc_general_chat,random_questions,"""What's the most interesting conversation you've overheard in public?"","
misc_general_chat,random_questions,"""If you could swap lives with anyone for a week, who would it be?"","
misc_general_chat,random_questions,"""What's something you pretended to like to impress someone else?"","
misc_general_chat,random_questions,"""Do you think we'll ever achieve world peace or is it impossible?"","
misc_general_chat,random_questions,"""What's the most ridiculous thing you've ever cried about?"","
misc_general_chat,random_questions,"""If you had to eat the same meal every day, what would it be?"","
misc_general_chat,random_questions,"""What's a skill that looked easy but turned out to be really hard?"","
misc_general_chat,random_questions,"""Do you believe everything happens for a reason or is life random?"","
misc_general_chat,random_questions,"""What's the most spontaneous thing you've ever done on impulse?"","
misc_general_chat,random_questions,"""If you could invent a new holiday, what would it celebrate?"","
misc_general_chat,random_questions,"""What's something you're strangely competitive about that doesn't matter?"","
misc_general_chat,random_questions,"""Do you think we're born with our personalities or do we develop them?"","
misc_general_chat,random_questions,"""What's the most interesting fact you know about space?"","
misc_general_chat,random_questions,"""If you could live in any fictional universe, which would you choose?"","
misc_general_chat,random_questions,"""What's a common saying you think is complete nonsense?"","
misc_general_chat,random_questions,"""Do you believe in soulmates or do we just make relationships work?"","
misc_general_chat,random_questions,"""What's the most bizarre food combination you actually enjoy eating?"","
misc_general_chat,random_questions,"""If you could ask your future self one question, what would it be?"","
misc_general_chat,random_questions,"""What's something you thought would be important but turned out trivial?"","
misc_general_chat,random_questions,"""Do you think technology is making us more or less connected?"","
misc_general_chat,random_questions,"""What's the most underrated book you think everyone should read?"","
misc_general_chat,random_questions,"""If you could eliminate one emotion from existence, which would it be?"","
misc_general_chat,random_questions,"""What's a childhood belief you held onto for way too long?"","
misc_general_chat,random_questions,"""Do you think we have free will or is everything predetermined?"","
misc_general_chat,random_questions,"""What's the most interesting scientific discovery you've heard about recently?"","
misc_general_chat,random_questions,"""If you could change one thing about modern society, what would it be?"","
misc_general_chat,random_questions,"""What's something you find incredibly satisfying that others might find weird?"","
misc_general_chat,random_questions,"""Do you think humans are fundamentally good or fundamentally selfish?"","
misc_general_chat,random_questions,"""What's the most memorable compliment you've ever received?"","
misc_general_chat,random_questions,"""If you could know how you're going to die, would you want to?"","
misc_general_chat,random_questions,"""What's a common misconception about your generation that annoys you?"","
misc_general_chat,random_questions,"""Do you think art should have a deeper meaning or just be enjoyed?"","
misc_general_chat,random_questions,"""What's the most beautiful place you've ever seen in person?"","
misc_general_chat,random_questions,"""If you could solve one world problem instantly, which would you choose?"","
misc_general_chat,random_questions,"""What's something you used to worry about that seems silly now?"","
misc_general_chat,random_questions,"""Do you think we'll ever run out of new music to create?"","
misc_general_chat,random_questions,"""What's the most valuable lesson you learned from a mistake?"","
misc_general_chat,random_questions,"""If you could have dinner with any historical figure, who would it be?"","
misc_general_chat,random_questions,"""What's a small pleasure in life that you think people overlook?"","
misc_general_chat,random_questions,"""Do you think we're alone in the universe or teeming with life?"","
misc_general_chat,random_questions,"""What's something you wish you could experience again for the first time?"","
misc_general_chat,random_questions,"""If you could instantly become an expert in any field, what would it be?"""
misc_general_chat,random_questions,"""Hey, have you ever wondered what animals would say if they could talk to us?"","
misc_general_chat,random_questions,"""Seriously though, do you think we're alone in this massive universe or what?"","
misc_general_chat,random_questions,"""If you could instantly master any skill, what ridiculous thing would you choose?"","
misc_general_chat,random_questions,"""What's the most random thought that's popped into your head today, tell me everything."","
misc_general_chat,random_questions,"""Do you believe in parallel universes where we made different life choices?"","
misc_general_chat,random_questions,"""If you had to eat one food for the rest of your life, what?"","
