domain,subtopic,sentence
romance_flirting_sexuality,flirting_compliments,"""You have such a beautiful smile that lights up the whole room instantly."","
romance_flirting_sexuality,flirting_compliments,"""I can't help but notice how amazing you look in that outfit today."","
romance_flirting_sexuality,flirting_compliments,"""Your laugh is seriously the most contagious sound I've ever heard."","
romance_flirting_sexuality,flirting_compliments,"""You've got this confidence about you that's really attractive to be honest."","
romance_flirting_sexuality,flirting_compliments,"""That thing you said earlier was actually really clever and made me smile."","
romance_flirting_sexuality,flirting_compliments,"""I don't know what perfume you're wearing but it smells amazing on you."","
romance_flirting_sexuality,flirting_compliments,"""You're way more interesting than most people I meet around here honestly."","
romance_flirting_sexuality,flirting_compliments,"""Your eyes are so expressive they tell stories without you saying anything."","
romance_flirting_sexuality,flirting_compliments,"""You make even the most boring conversations feel exciting and fun somehow."","
romance_flirting_sexuality,flirting_compliments,"""I really admire how passionate you get when you talk about your interests."","
romance_flirting_sexuality,flirting_compliments,"""That was such a thoughtful thing to say, you're really considerate of others."","
romance_flirting_sexuality,flirting_compliments,"""You carry yourself with so much grace it's actually quite impressive to watch."","
romance_flirting_sexuality,flirting_compliments,"""Your sense of humor matches mine perfectly and I really appreciate that."","
romance_flirting_sexuality,flirting_compliments,"""You've got this magnetic personality that just draws people towards you naturally."","
romance_flirting_sexuality,flirting_compliments,"""I find myself wanting to know more about you every time we talk."","
romance_flirting_sexuality,flirting_compliments,"""You're genuinely one of the most beautiful people I've ever met seriously."","
romance_flirting_sexuality,flirting_compliments,"""Your intelligence is honestly as attractive as your physical appearance no joke."","
romance_flirting_sexuality,flirting_compliments,"""You have this way of making everyone around you feel comfortable instantly."","
romance_flirting_sexuality,flirting_compliments,"""I love how your mind works, you always have unique perspectives on things."","
romance_flirting_sexuality,flirting_compliments,"""You're the kind of person who makes ordinary moments feel special somehow."","
romance_flirting_sexuality,flirting_compliments,"""Your energy is so positive it actually brightens my day whenever we meet."","
romance_flirting_sexuality,flirting_compliments,"""You've got great taste in music, your playlist choices are always on point."","
romance_flirting_sexuality,flirting_compliments,"""I admire how driven you are about your goals and ambitions in life."","
romance_flirting_sexuality,flirting_compliments,"""You have this natural charm that makes conversations with you flow so easily."","
romance_flirting_sexuality,flirting_compliments,"""Your kindness towards others says a lot about your beautiful character honestly."","
romance_flirting_sexuality,flirting_compliments,"""You're surprisingly easy to talk to compared to most people I know."","
romance_flirting_sexuality,flirting_compliments,"""I find your ambition and determination really inspiring and attractive actually."","
romance_flirting_sexuality,flirting_compliments,"""You've got this cool vibe that makes people want to be around you."","
romance_flirting_sexuality,flirting_compliments,"""Your smile has been on my mind since the last time we met."","
