domain,subtopic,sentence
work_career_education,school_exams_teachers,"""Can you believe Mr. Otieno assigned another project right before midterms? So unfair!"","
work_career_education,school_exams_teachers,"""I actually enjoyed the biology practical today, the experiments were quite interesting."","
work_career_education,school_exams_teachers,"""You should have seen how red-faced I got when the teacher caught me cheating."","
work_career_education,school_exams_teachers,"""That new geography teacher is kinda cute, don't you think? Makes class more bearable."","
work_career_education,school_exams_teachers,"""I swear if Mrs. Wangari gives us one more surprise quiz I'll lose it."","
work_career_education,school_exams_teachers,"""Let's form a study group for the physics exam, we could help each other out."","
work_career_education,school_exams_teachers,"""My English teacher marked my essay so harshly, I thought I did pretty well."","
work_career_education,school_exams_teachers,"""The way Mr. Kamau explains calculus actually makes sense, which is a miracle."","
work_career_education,school_exams_teachers,"""I'm so tired of teachers acting like their subject is the only one that matters."","
work_career_education,school_exams_teachers,"""Did you notice how the chemistry teacher always wears the same lab coat? Funny."","
work_career_education,school_exams_teachers,"""I need to improve my grades this term or my parents will kill me."","
work_career_education,school_exams_teachers,"""That substitute teacher we had today was completely clueless about the syllabus content."","
work_career_education,school_exams_teachers,"""I think I might have a crush on our history teacher, is that weird?"","
work_career_education,school_exams_teachers,"""The exam timetable is absolutely brutal with three papers scheduled for the same day."","
work_career_education,school_exams_teachers,"""Can you share your notes from yesterday's business studies class? I missed it."","
work_career_education,school_exams_teachers,"""Our principal announced that teachers will be checking our phones during exams now."","
work_career_education,school_exams_teachers,"""I actually appreciate how strict Mrs. Adhiambo is, it pushes us to work harder."","
work_career_education,school_exams_teachers,"""The way some teachers play favorites in class really gets on my nerves."","
work_career_education,school_exams_teachers,"""I'm thinking of asking for extra lessons in mathematics, I'm really struggling."","
work_career_education,school_exams_teachers,"""That teacher's meeting took forever today, we had to wait outside for ages."","
work_career_education,school_exams_teachers,"""You know you're in trouble when the teacher says 'see me after class'."","
work_career_education,school_exams_teachers,"""I love how our literature teacher makes Shakespeare actually interesting and relevant."","
work_career_education,school_exams_teachers,"""The marking scheme for this exam seems completely arbitrary and unfair to me."","
work_career_education,school_exams_teachers,"""I can't believe we have to study all this for just one test."","
work_career_education,school_exams_teachers,"""Our teacher promised us a pizza party if we all pass the final exam."","
work_career_education,school_exams_teachers,"""I think I might want to become a teacher someday, it seems rewarding."","
work_career_education,school_exams_teachers,"""The way some students disrespect teachers during lessons is just unacceptable behavior."","
work_career_education,school_exams_teachers,"""I need to start revising early this time instead of cramming last minute."","
work_career_education,school_exams_teachers,"""That teacher always gives me extra attention during class, I wonder why."","
work_career_education,school_exams_teachers,"""The school hired three new teachers and they all seem really young and cool."","
work_career_education,school_exams_teachers,"""I wish teachers would understand we have other subjects to worry about too."","
work_career_education,school_exams_teachers,"""My favorite teacher always knows how to make difficult concepts easy to understand."","
work_career_education,school_exams_teachers,"""The exam invigilators were walking around like hawks watching for any movement."","
work_career_education,school_exams_teachers,"""I think I did pretty well on the oral presentation despite being nervous."","
work_career_education,school_exams_teachers,"""Teachers should really consider that we have lives outside of school too."","
work_career_education,school_exams_teachers,"""That teacher keeps mispronouncing my name even though I've corrected her multiple times."","
work_career_education,school_exams_teachers,"""I'm actually looking forward to the art exam because it's more practical."","
work_career_education,school_exams_teachers,"""The amount of homework we're getting during exam season is absolutely ridiculous."","
work_career_education,school_exams_teachers,"""Our teacher shared some really helpful exam tips that I think will work."","
work_career_education,school_exams_teachers,"""I can't stand how some teachers take forever to return our marked papers."","
work_career_education,school_exams_teachers,"""The way that teacher smiles at me makes me think there's something there."","
work_career_education,school_exams_teachers,"""I need to improve my relationship with teachers to get better recommendations."","
work_career_education,school_exams_teachers,"""Our physics teacher makes the most hilarious jokes during lessons, I love it."","
work_career_education,school_exams_teachers,"""The school is bringing in external examiners for our final practical assessments."","
work_career_education,school_exams_teachers,"""I wish teachers would stop comparing us to students from previous years."","
work_career_education,school_exams_teachers,"""That teacher's passion for their subject really makes me enjoy learning more."","
