domain,subtopic,sentence
technology_online_life,internet_wifi,"""Hey, is your WiFi working? Mine has been acting up all morning and it's frustrating."","
technology_online_life,internet_wifi,"""Can you believe my data finished just because I was updating apps on WiFi? Crazy."","
technology_online_life,internet_wifi,"""Your WiFi password is so basic, you need to change it to something more secure."","
technology_online_life,internet_wifi,"""I love how fast your internet is, it makes watching movies together so much better."","
technology_online_life,internet_wifi,"""This public WiFi keeps disconnecting every five minutes, I'm about to lose my mind."","
technology_online_life,internet_wifi,"""Did you get the new router installed? I heard it boosts signal throughout the house."","
technology_online_life,internet_wifi,"""My brother keeps downloading games and making the WiFi slow for everyone else, so annoying."","
technology_online_life,internet_wifi,"""I'm sitting right next to the router and still getting one bar, this is ridiculous."","
technology_online_life,internet_wifi,"""Let's have a movie night at your place, your internet never buffers during crucial scenes."","
technology_online_life,internet_wifi,"""Why do hotels always have WiFi that promises high speed but delivers dial-up speeds?"","
technology_online_life,internet_wifi,"""I just upgraded to 20Mbps and now I can actually video call without freezing."","
technology_online_life,internet_wifi,"""Your WiFi name is so creative, it always makes me smile when I see it."","
technology_online_life,internet_wifi,"""I think we should split the internet bill since we both use it equally often."","
technology_online_life,internet_wifi,"""The internet went down right as I was submitting my assignment, talk about bad timing."","
technology_online_life,internet_wifi,"""You look cute when you're frustrated with slow internet, want me to help fix it?"","
technology_online_life,internet_wifi,"""Mobile data is so expensive, I wish WiFi was available everywhere in Nairobi."","
technology_online_life,internet_wifi,"""My smart devices keep disconnecting from WiFi, I might need to reset the whole system."","
technology_online_life,internet_wifi,"""We should work from my place tomorrow, the office WiFi has been terrible lately."","
technology_online_life,internet_wifi,"""Nothing ruins a good gaming session like laggy WiFi at the worst possible moment."","
technology_online_life,internet_wifi,"""I love how reliable your internet connection is, it never lets us down during calls."","
technology_online_life,internet_wifi,"""Why does the WiFi always slow down right when I'm about to watch something important?"","
technology_online_life,internet_wifi,"""You should consider getting a WiFi extender if the signal doesn't reach your bedroom."","
technology_online_life,internet_wifi,"""I caught my neighbor using our WiFi again, time to change the password I guess."","
technology_online_life,internet_wifi,"""Streaming on this WiFi feels like watching a slideshow rather than actual video."","
technology_online_life,internet_wifi,"""I just realized I've been connected to the wrong WiFi network this whole time, oops."","
technology_online_life,internet_wifi,"""The internet provider said there's an outage in our area until evening, great timing."","
technology_online_life,internet_wifi,"""You always know how to fix WiFi issues, it's kinda attractive how tech-savvy you are."","
technology_online_life,internet_wifi,"""I'm trying to download this large file but the WiFi keeps dropping the connection."","
technology_online_life,internet_wifi,"""We need to talk about setting up a proper home network instead of this mess."","
technology_online_life,internet_wifi,"""Nothing beats having strong WiFi and unlimited data for binge-watching on weekends."","
technology_online_life,internet_wifi,"""Why does the WiFi work perfectly until I start an important Zoom meeting?"","
technology_online_life,internet_wifi,"""I think your devices might be hogging bandwidth, can you check what's running?"","
technology_online_life,internet_wifi,"""Your place has the best WiFi, it's become my go-to spot for uploading videos."","
technology_online_life,internet_wifi,"""The WiFi password hint you gave me doesn't work, did you change it recently?"","
technology_online_life,internet_wifi,"""I'm considering switching providers because this current one has too many downtimes."","
technology_online_life,internet_wifi,"""You get so focused when troubleshooting WiFi that it's actually cute to watch."","
technology_online_life,internet_wifi,"""My phone automatically connects to your WiFi whenever I'm nearby, it's so convenient."","
technology_online_life,internet_wifi,"""The internet speed test shows we're getting half what we're paying for, typical."","
technology_online_life,internet_wifi,"""Let's schedule the online gaming session for late night when the WiFi is faster."","
technology_online_life,internet_wifi,"""I keep forgetting the WiFi password, can you save it in my phone for me?"","
technology_online_life,internet_wifi,"""Your internet connection is more stable than my life decisions, and I appreciate that."","
technology_online_life,internet_wifi,"""The WiFi signal keeps disappearing in the kitchen, of course where I need it most."","
technology_online_life,internet_wifi,"""I just realized we've been paying for premium speed but getting basic service."","
technology_online_life,internet_wifi,"""You make dealing with WiFi issues seem easy, teach me your ways sometime."","
technology_online_life,internet_wifi,"""Public WiFi without password protection is basically inviting strangers to use your data."","
technology_online_life,internet_wifi,"""My laptop takes forever to connect to WiFi while my phone does it instantly."","
technology_online_life,internet_wifi,"""We should get mesh routers to eliminate dead spots around the house completely."","
technology_online_life,internet_wifi,"""The WiFi went out during our movie date night, worst timing ever honestly."","
technology_online_life,internet_wifi,"""You always remember my WiFi password when I forget, you're my tech hero."","
technology_online_life,internet_wifi,"""I'm tired of restarting the router every day just to get decent connection."","
technology_online_life,internet_wifi,"""Your fast internet makes working from home actually enjoyable instead of frustrating."","
technology_online_life,internet_wifi,"""Why does the WiFi work fine for everyone else but not on my device?"","
technology_online_life,internet_wifi,"""The internet provider's customer service is worse than their actual internet connection."","
technology_online_life,internet_wifi,"""You look really good when you're concentrating on fixing the WiFi settings."","
technology_online_life,internet_wifi,"""Nothing kills the mood faster than buffering when you're watching something romantic."","
technology_online_life,internet_wifi,"""Your WiFi is so much better than mine, can I move in just for that?"","
technology_online_life,internet_wifi,"""I keep getting kicked off the network randomly, it's driving me insane."","
technology_online_life,internet_wifi,"""We should run speed tests at different times to see when it's fastest."","
technology_online_life,internet_wifi,"""You always know the perfect spot for the router, it's impressively thoughtful."","
technology_online_life,internet_wifi,"""The WiFi signal is strong but the actual internet speed is painfully slow."","
technology_online_life,internet_wifi,"""I'm considering getting a backup internet connection for when the main one fails."","
technology_online_life,internet_wifi,"""Your reliable WiFi makes long distance feel shorter during our video calls."","
technology_online_life,internet_wifi,"""Why does the internet always choose to slow down during peak usage hours?"","
technology_online_life,internet_wifi,"""I caught the kids streaming 4K videos on all devices simultaneously, no wonder it's slow."","
technology_online_life,internet_wifi,"""You have that look you get when the WiFi is down, want me to help?"","
technology_online_life,internet_wifi,"""The new WiFi standards are supposed to be faster but I don't see difference."","
technology_online_life,internet_wifi,"""Nothing makes me happier than seeing full WiFi bars when I really need it."","
technology_online_life,internet_wifi,"""Your internet is so fast it makes me want to download everything at once."","
technology_online_life,internet_wifi,"""I think someone might be stealing our WiFi, the speed has been terrible lately."","
technology_online_life,internet_wifi,"""We need to set up guest WiFi instead of giving everyone the main password."","
technology_online_life,internet_wifi,"""You get this determined look when fixing WiFi that's actually kind of hot."","
technology_online_life,internet_wifi,"""The WiFi keeps disconnecting during important work calls, it's so unprofessional."","
technology_online_life,internet_wifi,"""I love how we can stream music simultaneously without any lag on your network."","
