domain,subtopic,sentence
romance_flirting_sexuality,crushes_attraction,"""I've had this massive crush on my classmate for like three months now."","
romance_flirting_sexuality,crushes_attraction,"""Sometimes I catch myself smiling when I think about that person."","
romance_flirting_sexuality,crushes_attraction,"""Do you think they'd ever notice if I started sitting closer to them?"","
romance_flirting_sexuality,crushes_attraction,"""I can't believe how nervous I get whenever they're around me."","
romance_flirting_sexuality,crushes_attraction,"""There's just something about their smile that makes my heart race."","
romance_flirting_sexuality,crushes_attraction,"""Honestly, I don't even know if they're single or taken right now."","
romance_flirting_sexuality,crushes_attraction,"""Maybe I should just be direct and ask them out properly."","
romance_flirting_sexuality,crushes_attraction,"""But what if they reject me and things become super awkward?"","
romance_flirting_sexuality,crushes_attraction,"""I keep replaying our conversations in my head over and over."","
romance_flirting_sexuality,crushes_attraction,"""Have you noticed if they ever look my way during lectures?"","
romance_flirting_sexuality,crushes_attraction,"""Sometimes I wonder if attraction is just chemical or something deeper."","
romance_flirting_sexuality,crushes_attraction,"""They have this way of talking that just draws me in completely."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to play it cool but it's getting really difficult."","
romance_flirting_sexuality,crushes_attraction,"""Do crushes ever actually lead to anything meaningful in reality?"","
romance_flirting_sexuality,crushes_attraction,"""I saw them laughing with someone else and felt strangely jealous."","
romance_flirting_sexuality,crushes_attraction,"""Maybe I should just focus on myself and forget about this."","
romance_flirting_sexuality,crushes_attraction,"""But then they smile at me and I'm right back where I started."","
romance_flirting_sexuality,crushes_attraction,"""Have you ever had a crush that made you feel this crazy?"","
romance_flirting_sexuality,crushes_attraction,"""I think I'm going to try talking to them tomorrow for sure."","
romance_flirting_sexuality,crushes_attraction,"""What's the worst that could happen if I shoot my shot?"","
romance_flirting_sexuality,crushes_attraction,"""Sometimes I wonder if they can tell how I feel about them."","
romance_flirting_sexuality,crushes_attraction,"""Do you think they'd be interested in someone like me honestly?"","
romance_flirting_sexuality,crushes_attraction,"""I keep finding excuses to walk past where they usually sit."","
romance_flirting_sexuality,crushes_attraction,"""This whole situation is making me feel both excited and anxious."","
romance_flirting_sexuality,crushes_attraction,"""Maybe I should just be patient and see what develops naturally."","
romance_flirting_sexuality,crushes_attraction,"""But what if someone else asks them out before I do?"","
romance_flirting_sexuality,crushes_attraction,"""I noticed they wear that blue shirt that looks really good on them."","
romance_flirting_sexuality,crushes_attraction,"""Sometimes I catch them looking at me during group discussions."","
romance_flirting_sexuality,crushes_attraction,"""Do you think I'm reading too much into small interactions?"","
romance_flirting_sexuality,crushes_attraction,"""I wish I had the confidence to just be straightforward about it."","
romance_flirting_sexuality,crushes_attraction,"""There's something about the way they carry themselves that's attractive."","
romance_flirting_sexuality,crushes_attraction,"""Maybe I should try to become friends with them first."","
romance_flirting_sexuality,crushes_attraction,"""But then I worry about getting stuck in the friend zone."","
romance_flirting_sexuality,crushes_attraction,"""I saw them in town yesterday and my heart literally skipped."","
romance_flirting_sexuality,crushes_attraction,"""Do you think they have any idea how I feel about them?"","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to figure out if they're sending any signals back."","
romance_flirting_sexuality,crushes_attraction,"""Sometimes I think I should just move on from this crush."","
romance_flirting_sexuality,crushes_attraction,"""But then they do something cute and I'm completely captivated again."","
romance_flirting_sexuality,crushes_attraction,"""Have you noticed if they act differently when I'm around?"","
romance_flirting_sexuality,crushes_attraction,"""I think I'm going to try to start a conversation today."","
romance_flirting_sexuality,crushes_attraction,"""What if I mess it up and say something stupid though?"","
romance_flirting_sexuality,crushes_attraction,"""There's just this magnetic pull whenever they're in the same room."","
romance_flirting_sexuality,crushes_attraction,"""Do you think attraction can develop over time or is it instant?"","
romance_flirting_sexuality,crushes_attraction,"""Sometimes I wonder if I'm idealizing them in my head."","
romance_flirting_sexuality,crushes_attraction,"""But every time we talk, they seem even more interesting."","
romance_flirting_sexuality,crushes_attraction,"""I noticed they remembered something small I mentioned weeks ago."","
romance_flirting_sexuality,crushes_attraction,"""Maybe that means they pay attention to what I say."","
romance_flirting_sexuality,crushes_attraction,"""Or maybe I'm just overthinking every little detail as usual."","
romance_flirting_sexuality,crushes_attraction,"""This whole crush thing is taking up too much mental space."","
romance_flirting_sexuality,crushes_attraction,"""I should probably just ask them out and get it over with."","
romance_flirting_sexuality,crushes_attraction,"""But the thought of rejection is honestly kind of terrifying."","
romance_flirting_sexuality,crushes_attraction,"""Do you think they'd say yes if I asked them for coffee?"","
romance_flirting_sexuality,crushes_attraction,"""I saw them helping someone yesterday and it made me like them more."","
romance_flirting_sexuality,crushes_attraction,"""There's just something genuine about them that I really admire."","
romance_flirting_sexuality,crushes_attraction,"""Maybe I should wait until we have more in common to talk about."","
romance_flirting_sexuality,crushes_attraction,"""But what if I wait too long and miss my chance?"","
romance_flirting_sexuality,crushes_attraction,"""I keep practicing what I would say in different scenarios."","
romance_flirting_sexuality,crushes_attraction,"""Do you think they can sense how nervous I get around them?"","
romance_flirting_sexuality,crushes_attraction,"""Sometimes I catch their scent when they walk by and it's nice."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to figure out if we have any shared interests."","
romance_flirting_sexuality,crushes_attraction,"""Maybe I should ask mutual friends about what they're into."","
romance_flirting_sexuality,crushes_attraction,"""But I don't want anyone to know about my crush yet."","
romance_flirting_sexuality,crushes_attraction,"""There's just this energy between us that feels different somehow."","
romance_flirting_sexuality,crushes_attraction,"""Do you think they feel the same way I do about them?"","
romance_flirting_sexuality,crushes_attraction,"""I noticed they started sitting closer to me in class recently."","
romance_flirting_sexuality,crushes_attraction,"""Maybe that's a sign they're interested in getting to know me."","
romance_flirting_sexuality,crushes_attraction,"""Or maybe I'm just imagining things because I want it to be true."","
romance_flirting_sexuality,crushes_attraction,"""This whole situation is making me overanalyze everything they do."","
romance_flirting_sexuality,crushes_attraction,"""I should probably just be myself and see what happens naturally."","
romance_flirting_sexuality,crushes_attraction,"""But being myself hasn't gotten me very far in the past."","
romance_flirting_sexuality,crushes_attraction,"""Do you think they'd be open to hanging out outside of class?"","
romance_flirting_sexuality,crushes_attraction,"""I saw their social media and we actually have similar tastes."","
romance_flirting_sexuality,crushes_attraction,"""Maybe I should comment on one of their posts to start talking."","
romance_flirting_sexuality,crushes_attraction,"""But what if I come across as trying too hard or creepy?"","
romance_flirting_sexuality,crushes_attraction,"""There's just something about their laugh that makes me happy."","
romance_flirting_sexuality,crushes_attraction,"""I think I'm going to take a chance and talk to them tomorrow."","
romance_flirting_sexuality,crushes_attraction,"""Wish me luck because I'm probably going to need it."","
romance_flirting_sexuality,crushes_attraction,"""Either way, at least I'll know where I stand with them."","
romance_flirting_sexuality,crushes_attraction,"""This constant wondering is honestly driving me a bit crazy."""
romance_flirting_sexuality,crushes_attraction,"""I can't stop thinking about that cute guy from the coffee shop near Muthaiga."","
romance_flirting_sexuality,crushes_attraction,"""When someone gives you butterflies just by smiling, that's special you know."","
romance_flirting_sexuality,crushes_attraction,"""Why do we always develop crushes on people who are totally unavailable?"","
romance_flirting_sexuality,crushes_attraction,"""That new intern at work has me feeling some type of way honestly."","
romance_flirting_sexuality,crushes_attraction,"""You know that feeling when you catch someone looking at you? Yeah."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to play it cool but I'm definitely crushing hard right now."","
romance_flirting_sexuality,crushes_attraction,"""Why do attractive people always make me forget how to form sentences?"","
romance_flirting_sexuality,crushes_attraction,"""There's something about his confidence that just makes him incredibly attractive to me."","
romance_flirting_sexuality,crushes_attraction,"""I think I'm falling for my best friend and it's terrifying me honestly."","
romance_flirting_sexuality,crushes_attraction,"""When you like someone, do you tell them or just keep quiet?"","
romance_flirting_sexuality,crushes_attraction,"""That girl from the gym keeps stealing glances at me during workouts."","
romance_flirting_sexuality,crushes_attraction,"""Physical attraction is one thing but emotional connection is what really matters."","
romance_flirting_sexuality,crushes_attraction,"""I'm so annoyed at myself for catching feelings for the wrong person."","
romance_flirting_sexuality,crushes_attraction,"""His sense of humor makes him ten times more attractive than he already is."","
romance_flirting_sexuality,crushes_attraction,"""Why do we get nervous around people we're attracted to anyway?"","
romance_flirting_sexuality,crushes_attraction,"""I can't decide if I should shoot my shot or just wait."","
romance_flirting_sexuality,crushes_attraction,"""There's a fine line between having a crush and being obsessed honestly."","
romance_flirting_sexuality,crushes_attraction,"""When someone remembers small details about you, that's genuinely attractive behavior."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to figure out if she's flirting or just being nice."","
romance_flirting_sexuality,crushes_attraction,"""That moment when your eyes meet across the room? Absolutely electric."","
romance_flirting_sexuality,crushes_attraction,"""Why does attraction have to be so complicated and confusing sometimes?"","
romance_flirting_sexuality,crushes_attraction,"""I think I'm developing feelings for someone I barely even know properly."","
romance_flirting_sexuality,crushes_attraction,"""His voice does something to me that I can't even explain properly."","
romance_flirting_sexuality,crushes_attraction,"""When you're attracted to someone, do you believe in making the first move?"","
romance_flirting_sexuality,crushes_attraction,"""I'm getting mixed signals and it's honestly driving me crazy right now."","
romance_flirting_sexuality,crushes_attraction,"""There's something about the way she carries herself that's just captivating."","
romance_flirting_sexuality,crushes_attraction,"""Why do we always want what we can't have when it comes to attraction?"","
romance_flirting_sexuality,crushes_attraction,"""I'm trying not to read too much into every little interaction we have."","
romance_flirting_sexuality,crushes_attraction,"""That feeling when you're talking and everything else just fades away? Magical."","
romance_flirting_sexuality,crushes_attraction,"""I think I'm falling for someone who sees me as just a friend."","
romance_flirting_sexuality,crushes_attraction,"""Why does time seem to slow down when you're around someone you like?"","
romance_flirting_sexuality,crushes_attraction,"""I'm getting serious vibes from that guy in my economics class lately."","
romance_flirting_sexuality,crushes_attraction,"""When someone makes you laugh until your stomach hurts, that's real attraction."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to play it cool but my heart races every time."","
romance_flirting_sexuality,crushes_attraction,"""Why do we analyze every text message from someone we're attracted to?"","
romance_flirting_sexuality,crushes_attraction,"""There's something incredibly attractive about someone who's passionate about their work."","
romance_flirting_sexuality,crushes_attraction,"""I think I need to stop overthinking and just see what happens."","
romance_flirting_sexuality,crushes_attraction,"""That moment when you accidentally touch hands? My heart literally skipped a beat."","
romance_flirting_sexuality,crushes_attraction,"""Why does attraction make us do things we normally wouldn't consider doing?"","
romance_flirting_sexuality,crushes_attraction,"""I'm getting strong signals but I'm too scared to make a move."","
romance_flirting_sexuality,crushes_attraction,"""When someone's intelligence turns you on more than their appearance, that's special."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to figure out if this is just lust or something more."","
romance_flirting_sexuality,crushes_attraction,"""That feeling when you catch yourself smiling just thinking about someone? Yeah."","
romance_flirting_sexuality,crushes_attraction,"""Why do we get jealous when we see our crush with other people?"","
romance_flirting_sexuality,crushes_attraction,"""I think I'm developing real feelings beyond just physical attraction now."","
romance_flirting_sexuality,crushes_attraction,"""There's something about the way he looks at me that's different."","
romance_flirting_sexuality,crushes_attraction,"""I'm annoyed at how much mental space this crush is taking up honestly."","
romance_flirting_sexuality,crushes_attraction,"""When someone challenges you intellectually, that's seriously attractive in my opinion."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to maintain my composure but it's getting harder each day."","
romance_flirting_sexuality,crushes_attraction,"""That moment of tension before someone makes a move? Absolutely electric."","
romance_flirting_sexuality,crushes_attraction,"""Why does attraction have to come with so much anxiety and doubt?"","
romance_flirting_sexuality,crushes_attraction,"""I think I'm falling for someone who's completely wrong for me realistically."","
romance_flirting_sexuality,crushes_attraction,"""There's something incredibly sexy about someone who knows what they want."","
romance_flirting_sexuality,crushes_attraction,"""I'm getting tired of playing these dating games and mixed signals honestly."","
romance_flirting_sexuality,crushes_attraction,"""When someone remembers your coffee order, that's lowkey attractive behavior right there."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to figure out if this attraction is mutual or one-sided."","
romance_flirting_sexuality,crushes_attraction,"""That feeling when your phone lights up with their name? Instant happiness."","
romance_flirting_sexuality,crushes_attraction,"""Why do we imagine entire futures with people we barely know properly?"","
romance_flirting_sexuality,crushes_attraction,"""I think I need to be honest about my feelings before it's too late."","
romance_flirting_sexuality,crushes_attraction,"""There's something about late night conversations that makes attraction grow faster."","
romance_flirting_sexuality,crushes_attraction,"""I'm getting frustrated with how slowly things are progressing between us honestly."","
romance_flirting_sexuality,crushes_attraction,"""When someone's kindness makes them more attractive than any physical feature could."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to balance being interested without coming on too strong you know."","
romance_flirting_sexuality,crushes_attraction,"""That moment when you realize you're actually compatible beyond just attraction? Amazing."","
romance_flirting_sexuality,crushes_attraction,"""Why does attraction make us overlook red flags we would normally notice?"","
romance_flirting_sexuality,crushes_attraction,"""I think I'm developing real feelings that scare me a little bit."","
romance_flirting_sexuality,crushes_attraction,"""There's something incredibly attractive about someone who's comfortable in their own skin."","
romance_flirting_sexuality,crushes_attraction,"""I'm getting impatient waiting for them to make the first move honestly."","
romance_flirting_sexuality,crushes_attraction,"""When someone's ambition turns you on more than their appearance, that's real."","
romance_flirting_sexuality,crushes_attraction,"""I'm trying to figure out if this is worth pursuing or not."""
romance_flirting_sexuality,crushes_attraction,Attraction is a serious matter that requires emotional maturity and clear communication between both parties.
romance_flirting_sexuality,crushes_attraction,"You're so obvious when you have a crush, your eyes light up like Christmas decorations!"
