domain,subtopic,sentence
religion_morality,church_fellowship,"""Hey, are you coming for fellowship this evening? We're meeting at 5 PM sharp."","
religion_morality,church_fellowship,"""I really missed seeing your smiling face at last week's Bible study session."","
religion_morality,church_fellowship,"""You know fellowship isn't just about singing - it's about genuine connection."","
religion_morality,church_fellowship,"""That testimony you shared last Sunday really touched my heart deeply."","
religion_morality,church_fellowship,"""If you skip fellowship again, I might have to pray for you extra hard."","
religion_morality,church_fellowship,"""The worship team needs more voices - your singing would be such a blessing."","
religion_morality,church_fellowship,"""Remember when we used to sit together during fellowship? Those were good times."","
religion_morality,church_fellowship,"""I noticed you weren't there yesterday - hope everything is okay with you."","
religion_morality,church_fellowship,"""Fellowship without genuine relationships is just people gathering in a building."","
religion_morality,church_fellowship,"""You always make the Bible study more interesting with your thoughtful questions."","
religion_morality,church_fellowship,"""Is it just me or does fellowship feel different when certain people are missing?"","
religion_morality,church_fellowship,"""We're planning a picnic after service next Sunday - you should definitely come."","
religion_morality,church_fellowship,"""Your commitment to Wednesday fellowship is really inspiring to the younger members."","
religion_morality,church_fellowship,"""I saved you a seat near the front - don't make me sit alone."","
religion_morality,church_fellowship,"""Sometimes I wonder if people come to fellowship for the right reasons."","
religion_morality,church_fellowship,"""That outfit you wore to church last week was absolutely stunning on you."","
religion_morality,church_fellowship,"""We need to have a serious talk about your inconsistent fellowship attendance."","
religion_morality,church_fellowship,"""The way you explain scripture makes even complex topics easy to understand."","
religion_morality,church_fellowship,"""Fellowship should be about building each other up, not just social gatherings."","
religion_morality,church_fellowship,"""I look forward to fellowship days mostly because I get to see you."","
religion_morality,church_fellowship,"""Your absence from fellowship is noticeable - the energy just isn't the same."","
religion_morality,church_fellowship,"""Can we meet for coffee before fellowship and walk there together?"","
religion_morality,church_fellowship,"""Some people treat fellowship like a checkbox instead of a spiritual necessity."","
religion_morality,church_fellowship,"""Your prayer during small group moved me to tears - such powerful words."","
religion_morality,church_fellowship,"""If you keep skipping fellowship, people will start talking behind your back."","
religion_morality,church_fellowship,"""There's something special about how our fellowship group supports each other."","
religion_morality,church_fellowship,"""I was hoping we could sit together during fellowship - save me a spot?"","
religion_morality,church_fellowship,"""Genuine fellowship requires vulnerability that many people aren't willing to show."","
religion_morality,church_fellowship,"""Your laughter during fellowship makes even the serious moments feel lighter."","
religion_morality,church_fellowship,"""We need to address the cliques that are forming within our fellowship."","
religion_morality,church_fellowship,"""That lesson you taught about community really changed my perspective completely."","
religion_morality,church_fellowship,"""I notice you always sit in the same corner during fellowship - why?"","
religion_morality,church_fellowship,"""True fellowship means being there for people even when it's inconvenient."","
religion_morality,church_fellowship,"""Your presence makes fellowship feel more like family than just church."","
religion_morality,church_fellowship,"""People who only come for special events miss the point of fellowship."","
religion_morality,church_fellowship,"""The way you welcome newcomers to our fellowship is truly Christ-like."","
religion_morality,church_fellowship,"""I saved you some of the good snacks from fellowship - come get them."","
religion_morality,church_fellowship,"""Fellowship without accountability is just a social club with religious language."","
religion_morality,church_fellowship,"""Your insights during Bible study always leave me thinking for days."","
religion_morality,church_fellowship,"""If you're not coming to fellowship, at least let someone know why."","
religion_morality,church_fellowship,"""There's a difference between attending fellowship and actively participating in it."","
religion_morality,church_fellowship,"""I love how our fellowship group feels like a safe space to share."","
religion_morality,church_fellowship,"""You make even the early morning fellowship sessions feel worth waking up for."","
religion_morality,church_fellowship,"""We can't claim to have fellowship while ignoring people who are struggling."","
religion_morality,church_fellowship,"""Your dedication to serving during fellowship events doesn't go unnoticed."","
religion_morality,church_fellowship,"""Maybe if fellowship was more engaging, people wouldn't keep making excuses."","
religion_morality,church_fellowship,"""The friendships I've made through fellowship have been my greatest blessing."","
religion_morality,church_fellowship,"""I always look for you first when I walk into fellowship - habit I guess."","
religion_morality,church_fellowship,"""Fellowship should challenge us to grow, not just make us feel comfortable."","
religion_morality,church_fellowship,"""Your positive energy during fellowship is contagious - everyone feels it."","
religion_morality,church_fellowship,"""If we want stronger fellowship, we need to be the change first."","
religion_morality,church_fellowship,"""I was hoping we could partner for the fellowship outreach program together."","
religion_morality,church_fellowship,"""Sometimes fellowship feels superficial - we need more depth in our conversations."","
religion_morality,church_fellowship,"""Your commitment to prayer during fellowship sets such a good example."","
religion_morality,church_fellowship,"""People who arrive late to fellowship miss the most important moments."","
religion_morality,church_fellowship,"""The community we build in fellowship should extend beyond church walls."","
religion_morality,church_fellowship,"""I notice you take notes during fellowship - can I borrow them sometime?"","
religion_morality,church_fellowship,"""Fellowship without spiritual growth is just people gathering without purpose."","
religion_morality,church_fellowship,"""Your smile during worship makes even the toughest weeks feel bearable."","
religion_morality,church_fellowship,"""We need to stop treating fellowship as optional if we're serious about faith."","
religion_morality,church_fellowship,"""The way you remember everyone's names in fellowship is really impressive."","
religion_morality,church_fellowship,"""I was thinking about you during fellowship today - wish you were there."","
religion_morality,church_fellowship,"""Genuine fellowship means being real about our struggles, not just victories."","
