domain,subtopic,sentence
hobby_leisure_entertainment,tiktok_trends_kenya,"""Have you seen that new dance challenge that's going viral on TikTok Kenya?"","
hobby_leisure_entertainment,tiktok_trends_kenya,"""I spent three hours last night trying to learn that trending shaku shaku move."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Seriously though, some of these trends are getting dangerously close to copyright infringement."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""You would look so cute doing that couple dance trend with me, just saying."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Another day, another TikTok trend that makes me question Kenyan creativity honestly."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""The way these influencers are monetizing these trends is actually pretty impressive business-wise."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""If I see one more 'Silaha' challenge video, I might delete the app."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""That cooking trend where they make mukimo with a twist is actually helpful."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Your dance moves in that TikTok were giving me all kinds of ideas, beautiful."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""We should definitely try that duet trend where we roast each other playfully."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Have you noticed how every trend eventually gets a gospel version here in Kenya?"","
hobby_leisure_entertainment,tiktok_trends_kenya,"""I'm loving how Kenyan TikTok is creating its own unique trends instead of copying."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""That new audio everyone is using is stuck in my head and I hate it."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""You know we'd kill that couple's challenge trend if we tried it together."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""The amount of data I waste watching these TikTok trends is concerning actually."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Why do all the dance trends require flexibility I clearly don't possess at all?"","
hobby_leisure_entertainment,tiktok_trends_kenya,"""That transition trend is actually harder than it looks, I've tried five times already."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Kenyan TikTok trends are becoming more creative than what I see from other countries."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""If one more person tags me in that 'put a finger down' challenge..."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""The way you move in your TikTok videos has me watching on repeat, honestly."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""We need to start a trend ourselves, I have some pretty cool ideas actually."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""These makeup transformation trends are making me want to learn how to do makeup."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Another week, another trend that makes me feel old and out of touch."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""The comedy skits trending right now are actually helping me get through my week."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Your latest TikTok has me wondering when you became such a good dancer."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""I can't decide if these trends are creative or just plain ridiculous sometimes."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""The way Kenyan creators adapt international trends to our culture is pretty brilliant actually."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""If I hear 'wewe ni msupa u' one more time, I might scream."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""That cooking challenge trend actually taught me how to make a decent chapati."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""You in that TikTok trend has me thinking we should hang out more often."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""These transition trends require more coordination than I have at eight in the morning."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""The speed at which Kenyans jump on new trends is both impressive and scary."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""That dance you did in your last video was giving me serious butterflies, ngl."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""I'm actually learning some useful life hacks from these TikTok trends surprisingly enough."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Another day of pretending I'm too cool for these trends while secretly enjoying them."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""The way these trends spread across Kenya in just hours is fascinating to watch."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Your smile in that trending duet video is literally all I can think about."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""I swear these trends are designed to make people look awkward on purpose."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""That new audio trend is actually pretty catchy, I've been humming it all day."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""Kenyan TikTok trends have their own unique flavor that I'm really starting to appreciate."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""If one more person does that lip-sync trend wrong, I might lose my mind."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""The confidence you have in your TikTok videos is seriously attractive, just saying."","
hobby_leisure_entertainment,tiktok_trends_kenya,"""These DIY trends are giving me ideas for things I'll probably never actually make."","
