domain,subtopic,sentence
personal_relationships_life,family_friends,"""My cousin is coming to visit next weekend and I'm so excited to see her."","
personal_relationships_life,family_friends,"""I wish my brother would stop borrowing my clothes without asking first."","
personal_relationships_life,family_friends,"""You know my friend Lisa? She just got engaged last night at the beach."","
personal_relationships_life,family_friends,"""My parents are driving me crazy with all their questions about my job search."","
personal_relationships_life,family_friends,"""That smile of yours could convince me to do just about anything for you."","
personal_relationships_life,family_friends,"""We should plan a game night soon with the whole crew from campus."","
personal_relationships_life,family_friends,"""My mum keeps calling me every single day to check if I'm eating well."","
personal_relationships_life,family_friends,"""Remember how we used to sneak out to go dancing in Westlands?"","
personal_relationships_life,family_friends,"""I can't believe my best friend forgot my birthday for the third year."","
personal_relationships_life,family_friends,"""You look really nice today, that color suits you perfectly if I'm honest."","
personal_relationships_life,family_friends,"""My uncle said he might help me get an internship at his company."","
personal_relationships_life,family_friends,"""Sometimes I wonder if my friends actually listen when I'm talking to them."","
personal_relationships_life,family_friends,"""We should totally crash your cousin's party this weekend for old times' sake."","
personal_relationships_life,family_friends,"""My sister and I had the biggest fight over who gets the car tomorrow."","
personal_relationships_life,family_friends,"""I love how your eyes light up when you talk about your family."","
personal_relationships_life,family_friends,"""Let's meet up with the guys for some nyama choma this Friday evening."","
personal_relationships_life,family_friends,"""My dad keeps giving me lectures about saving money and being responsible."","
personal_relationships_life,family_friends,"""You always know how to make me laugh even when I'm feeling down."","
personal_relationships_life,family_friends,"""I'm getting tired of my friends always being late when we plan to meet."","
personal_relationships_life,family_friends,"""My grandma makes the best chapati in the whole of Nairobi, no competition."","
personal_relationships_life,family_friends,"""We should visit your parents this Sunday, I really like talking to your mum."","
personal_relationships_life,family_friends,"""My friend from high school just moved back to Kenya after five years."","
personal_relationships_life,family_friends,"""I wish my siblings would help more with cleaning the house on weekends."","
personal_relationships_life,family_friends,"""That joke you told at dinner had my whole family laughing for minutes."","
personal_relationships_life,family_friends,"""Let's organize a surprise birthday party for Mark at his place next week."","
personal_relationships_life,family_friends,"""My aunt is always comparing me to my more successful cousins and it's annoying."","
