domain,subtopic,sentence
hobby_leisure_entertainment,cooking_recipes,"""Hey, I tried that chicken curry recipe you shared last week and it was amazing!"","
hobby_leisure_entertainment,cooking_recipes,"""You should never skip resting your dough if you want perfect chapati every single time."","
hobby_leisure_entertainment,cooking_recipes,"""I'm convinced my mandazi could solve world peace if people just tasted them."","
hobby_leisure_entertainment,cooking_recipes,"""Watching you cook makes me wish I was that spoon you're stirring with."","
hobby_leisure_entertainment,cooking_recipes,"""Why does everyone keep asking for my pilau recipe but never invite me over?"","
hobby_leisure_entertainment,cooking_recipes,"""Just discovered the secret to perfect rice is adding a teaspoon of oil while cooking."","
hobby_leisure_entertainment,cooking_recipes,"""My kitchen looks like a flour bomb exploded but these cookies will be worth it."","
hobby_leisure_entertainment,cooking_recipes,"""If you keep looking at me like that, I might burn this entire meal."","
hobby_leisure_entertainment,cooking_recipes,"""Can someone explain why my ugali always turns out lumpy no matter what I do?"","
hobby_leisure_entertainment,cooking_recipes,"""I'm experimenting with adding coconut milk to my beef stew tonight, wish me luck!"","
hobby_leisure_entertainment,cooking_recipes,"""Your samosa recipe changed my life, I've made three batches this week already."","
hobby_leisure_entertainment,cooking_recipes,"""Seriously, if you don't taste as you cook, you're basically cooking blind."","
hobby_leisure_entertainment,cooking_recipes,"""I bet my cabbage stir-fry could make a vegetarian forget about meat entirely."","
hobby_leisure_entertainment,cooking_recipes,"""The way you handle those kitchen knives is honestly making me a bit nervous."","
hobby_leisure_entertainment,cooking_recipes,"""Another failed attempt at baking bread, my house now smells like disappointment."","
hobby_leisure_entertainment,cooking_recipes,"""Fresh ginger and garlic are non-negotiable if you want authentic Kenyan flavors."","
hobby_leisure_entertainment,cooking_recipes,"""I'm convinced my kitchen is haunted because my food keeps disappearing mysteriously."","
hobby_leisure_entertainment,cooking_recipes,"""Watching you cook is better than any cooking show on television, no joke."","
hobby_leisure_entertainment,cooking_recipes,"""Can we please stop pretending that store-bought chapati is anywhere near homemade?"","
hobby_leisure_entertainment,cooking_recipes,"""Just learned the perfect ratio for chai masala and my mornings are transformed."","
hobby_leisure_entertainment,cooking_recipes,"""My spaghetti bolognese could make an Italian grandmother weep with joy, I swear."","
hobby_leisure_entertainment,cooking_recipes,"""If you keep distracting me, this entire meal is going to be ruined."","
hobby_leisure_entertainment,cooking_recipes,"""Why does everyone assume because I'm Kenyan I automatically know how to cook?"","
hobby_leisure_entertainment,cooking_recipes,"""Properly caramelizing onions takes patience but makes all the difference in stews."","
hobby_leisure_entertainment,cooking_recipes,"""I'm pretty sure my cooking skills peaked with perfectly boiled eggs today."","
hobby_leisure_entertainment,cooking_recipes,"""The secret to my sukuma wiki is a pinch of sugar at the end."","
hobby_leisure_entertainment,cooking_recipes,"""You look so focused when you're cooking, it's actually kind of attractive."","
