domain,subtopic,sentence
travel_transport_street,traffic_directions,"""Seriously, you need to avoid Thika Road completely during this evening rush hour traffic."","
travel_transport_street,traffic_directions,"""Haha, I got so lost yesterday I ended up in Industrial Area instead of Karen!"","
travel_transport_street,traffic_directions,"""If you're coming to see me, take the bypass instead of the main road, darling."","
travel_transport_street,traffic_directions,"""This traffic is absolutely insane today - I've been stuck near Globe for forty minutes!"","
travel_transport_street,traffic_directions,"""You should definitely use Waze because the usual shortcuts are all jammed up too."","
travel_transport_street,traffic_directions,"""I'm not joking, the roundabout near the museum has been closed for construction work."","
travel_transport_street,traffic_directions,"""Remember that cute little route we discovered last time? It's actually much faster!"","
travel_transport_street,traffic_directions,"""Why do people keep blocking intersections when they know they can't clear them?"","
travel_transport_street,traffic_directions,"""Let me know when you're leaving so I can guide you through the back roads."","
travel_transport_street,traffic_directions,"""The matatus are being particularly chaotic today, so maybe avoid the bus lanes entirely."","
travel_transport_street,traffic_directions,"""I swear if one more person cuts me off on Mombasa Road, I'll lose it."","
travel_transport_street,traffic_directions,"""You have such a great sense of direction - can you help me navigate?"","
travel_transport_street,traffic_directions,"""There's a police roadblock near the highway exit, so have your documents ready."","
travel_transport_street,traffic_directions,"""Don't even think about using Langata Road right now unless you enjoy sitting still."","
travel_transport_street,traffic_directions,"""I found this amazing alternative route that saves at least twenty minutes, trust me."","
travel_transport_street,traffic_directions,"""The traffic lights at ABC Place are completely out, causing total chaos as usual."","
travel_transport_street,traffic_directions,"""Maybe we could get lost together sometime - I know all the interesting detours."","
travel_transport_street,traffic_directions,"""Please be careful driving through that area, there have been several accidents recently."","
travel_transport_street,traffic_directions,"""I'm starting to think walking would be faster than dealing with this gridlock."","
travel_transport_street,traffic_directions,"""Take the second left after the petrol station, not the first one like last time."","
travel_transport_street,traffic_directions,"""Your navigation skills are almost as impressive as your smile, just saying."","
travel_transport_street,traffic_directions,"""The city council really needs to do something about these permanent traffic jams."","
travel_transport_street,traffic_directions,"""I'll meet you at the junction where we can avoid the worst congestion."","
travel_transport_street,traffic_directions,"""Why does everyone forget how to drive whenever there's a little bit of rain?"","
travel_transport_street,traffic_directions,"""There's actually free parking behind the mall if you know which entrance to use."","
travel_transport_street,traffic_directions,"""You make getting lost sound so much more fun than it actually is!"","
travel_transport_street,traffic_directions,"""The detour signs are completely confusing - they're pointing in three different directions."","
travel_transport_street,traffic_directions,"""Let's take the scenic route home tonight and avoid all the main arteries."","
travel_transport_street,traffic_directions,"""I'm about five cars away from the roundabout, so I'll see you soon."","
travel_transport_street,traffic_directions,"""Your directions were perfect except for that one-way street you forgot about."","
travel_transport_street,traffic_directions,"""The traffic flow is much better if you stick to the middle lanes here."","
travel_transport_street,traffic_directions,"""I'd drive through any traffic just to see you, even during rush hour."","
travel_transport_street,traffic_directions,"""Another day, another matatu driver thinking he owns the entire road, typical Nairobi."","
travel_transport_street,traffic_directions,"""There's road construction starting tomorrow that will affect all routes to the airport."","
travel_transport_street,traffic_directions,"""You have such a calm way of giving directions even when I'm stressed."","
travel_transport_street,traffic_directions,"""The shortcut through the residential area is actually slower during school hours."","
travel_transport_street,traffic_directions,"""I'm sending you my location so you can see exactly where I'm stuck."","
travel_transport_street,traffic_directions,"""Maybe we should just abandon the car and walk the rest of the way."","
travel_transport_street,traffic_directions,"""The U-turn spot is just past the supermarket, not before it like I thought."","
travel_transport_street,traffic_directions,"""Your voice would make even the worst traffic jam feel bearable, honestly."","
travel_transport_street,traffic_directions,"""Why do they schedule all road works during the busiest times of the day?"","
travel_transport_street,traffic_directions,"""There's a much smoother route if you're willing to go slightly out of your way."","
travel_transport_street,traffic_directions,"""I'm literally crawling at two kilometers per hour near the interchange, this is ridiculous."","
travel_transport_street,traffic_directions,"""The left lane moves faster here because everyone merges right for the exit."","
travel_transport_street,traffic_directions,"""We could turn this traffic delay into some quality time together, just saying."","
travel_transport_street,traffic_directions,"""Be extra careful at that intersection - people run the red light constantly."","
travel_transport_street,traffic_directions,"""I think I've memorized every pothole on this road from sitting here so long."","
travel_transport_street,traffic_directions,"""The GPS is completely wrong about the traffic conditions on Ngong Road today."","
travel_transport_street,traffic_directions,"""You always know the perfect time to travel to avoid the worst congestion."","
travel_transport_street,traffic_directions,"""There's a new road that just opened up that bypasses all the trouble spots."","
