domain,subtopic,sentence
romance_flirting_sexuality,dating_relationships,"""I'm getting tired of you canceling our plans last minute without a proper explanation."","
romance_flirting_sexuality,dating_relationships,"""I think we need to have a serious conversation about where this relationship is going."","
romance_flirting_sexuality,dating_relationships,"""I'm not mad, just disappointed that you forgot our six-month anniversary yesterday."","
romance_flirting_sexuality,dating_relationships,"""Your laugh is my favorite sound, especially when I'm the one who made you laugh."","
romance_flirting_sexuality,dating_relationships,"""Can we please talk about why you've been so distant these past few weeks?"","
romance_flirting_sexuality,dating_relationships,"""I was just thinking about you and it made me smile during my boring meeting."","
romance_flirting_sexuality,dating_relationships,"""Do you want to come over and watch a movie? I'll make us some chai."","
romance_flirting_sexuality,dating_relationships,"""I love how your eyes light up when you talk about your passion projects."","
romance_flirting_sexuality,dating_relationships,"""It really bothers me when you check your phone while we're having dinner together."","
romance_flirting_sexuality,dating_relationships,"""You make even the most ordinary days feel special just by being in them."","
romance_flirting_sexuality,dating_relationships,"""I need you to be honest with me about your feelings, no matter what."","
romance_flirting_sexuality,dating_relationships,"""If I could rearrange the alphabet, I'd put U and I together forever."","
romance_flirting_sexuality,dating_relationships,"""Why do you always have to make jokes when I'm trying to be serious?"","
romance_flirting_sexuality,dating_relationships,"""We should probably discuss our expectations about communication when we're both busy with work."","
romance_flirting_sexuality,dating_relationships,"""Is it hot in here or is it just you making my temperature rise?"","
romance_flirting_sexuality,dating_relationships,"""Hearing your voice after a long day always makes everything feel better instantly."","
romance_flirting_sexuality,dating_relationships,"""Can we establish some boundaries about how often we see each other during weekdays?"","
romance_flirting_sexuality,dating_relationships,"""You're like chapati and tea - you just make everything in my life better."","
romance_flirting_sexuality,dating_relationships,"""I'm starting to feel like I'm the only one putting effort into this relationship."","
romance_flirting_sexuality,dating_relationships,"""That shirt looks really good on you, it brings out the color in your eyes."","
romance_flirting_sexuality,dating_relationships,"""Let's plan a proper date night instead of just hanging out at each other's places."","
romance_flirting_sexuality,dating_relationships,"""I feel like I can truly be myself when I'm with you, no pretenses."","
romance_flirting_sexuality,dating_relationships,"""It's frustrating when you make plans without checking with me first about my schedule."","
