domain,subtopic,sentence
sports_betting,online_gambling_kenya,"""Hey man, did you see that new betting site with the crazy welcome bonus?"","
sports_betting,online_gambling_kenya,"""I'm actually getting worried about how much time you spend on those betting apps."","
sports_betting,online_gambling_kenya,"""If you keep betting like this, you'll be broke before the weekend even starts."","
sports_betting,online_gambling_kenya,"""Ooh someone's feeling lucky today, maybe we should place a bet together?"","
sports_betting,online_gambling_kenya,"""Seriously though, have you ever actually won anything substantial from all this betting?"","
sports_betting,online_gambling_kenya,"""The way these betting companies advertise during football matches is getting ridiculous."","
sports_betting,online_gambling_kenya,"""I just lost my fifth bet this week and I'm starting to feel stupid."","
sports_betting,online_gambling_kenya,"""You know you can set deposit limits on most of these betting platforms, right?"","
sports_betting,online_gambling_kenya,"""That new betting app keeps sending me notifications even though I never signed up."","
sports_betting,online_gambling_kenya,"""I think we should take a break from betting and just watch the game pure."","
sports_betting,online_gambling_kenya,"""My mom found my betting history and now she thinks I have a gambling problem."","
sports_betting,online_gambling_kenya,"""These betting companies are making millions while most of us are just losing money."","
sports_betting,online_gambling_kenya,"""Hey beautiful, if I win this bet, can I take you out for dinner?"","
sports_betting,online_gambling_kenya,"""I placed a multi-bet on three matches and now I'm sweating bullets waiting."","
sports_betting,online_gambling_kenya,"""Remember when betting was just for fun and not this serious addiction thing?"","
sports_betting,online_gambling_kenya,"""The government should really do more to regulate these online betting companies properly."","
sports_betting,online_gambling_kenya,"""I saw your bet slip on WhatsApp status, that was some risky business there."","
sports_betting,online_gambling_kenya,"""My account got suspended because I was trying to use multiple promo codes."","
sports_betting,online_gambling_kenya,"""Let's just watch the game without betting for once, it's more enjoyable."","
sports_betting,online_gambling_kenya,"""These betting ads make it seem so easy to become a millionaire overnight."","
sports_betting,online_gambling_kenya,"""I calculated how much I've lost this year and the number scared me."","
sports_betting,online_gambling_kenya,"""Hey, want to split a bet on the Arsenal match this weekend?"","
sports_betting,online_gambling_kenya,"""The odds on that game look too good to be true, be careful."","
sports_betting,online_gambling_kenya,"""I'm starting to think these betting sites know something we don't about matches."","
sports_betting,online_gambling_kenya,"""My friend won 50k last week and now he thinks he's a pro."","
sports_betting,online_gambling_kenya,"""These betting companies are worse than loan sharks with their constant promotions."","
sports_betting,online_gambling_kenya,"""I set a daily limit but I always find ways to bypass it."","
sports_betting,online_gambling_kenya,"""Maybe we should try fantasy sports instead of straight betting for variety."","
sports_betting,online_gambling_kenya,"""The way you analyze teams before betting is actually quite impressive, ngl."","
sports_betting,online_gambling_kenya,"""I lost my entire salary on betting and now I'm too ashamed to tell anyone."","
sports_betting,online_gambling_kenya,"""These live betting features make it too easy to lose money quickly."","
sports_betting,online_gambling_kenya,"""Hey, if my bet wins tonight, drinks are on me at Brew Bistro."","
sports_betting,online_gambling_kenya,"""I read that most people who bet regularly end up losing money overall."","
sports_betting,online_gambling_kenya,"""The excitement of waiting for a bet to settle is better than the win sometimes."","
sports_betting,online_gambling_kenya,"""My bank called me asking about all these transactions to betting sites."","
sports_betting,online_gambling_kenya,"""We should start a betting pool at work for the Premier League games."","
sports_betting,online_gambling_kenya,"""I'm deleting all my betting apps, this has gone too far for me."","
sports_betting,online_gambling_kenya,"""The cashout feature is a trap, they always offer less than you'd win."","
sports_betting,online_gambling_kenya,"""You have that look like you just placed a crazy accumulator bet again."","
sports_betting,online_gambling_kenya,"""I think betting is affecting my sleep with all the late night games."","
sports_betting,online_gambling_kenya,"""My girlfriend threatened to leave me if I don't stop betting so much."","
sports_betting,online_gambling_kenya,"""These betting sites make it too easy to deposit but hard to withdraw."","
sports_betting,online_gambling_kenya,"""I'm just doing small bets for fun, nothing serious like some people."","
sports_betting,online_gambling_kenya,"""The mathematics of betting means the house always wins in the long run."","
sports_betting,online_gambling_kenya,"""Hey, want to come watch the match at my place and place some bets?"","
sports_betting,online_gambling_kenya,"""I saw your last bet, that was either very brave or very stupid."","
sports_betting,online_gambling_kenya,"""My phone storage is full of betting apps, I need to delete some."","
sports_betting,online_gambling_kenya,"""The thrill of betting is addictive, I understand why people get hooked."","
sports_betting,online_gambling_kenya,"""I'm only betting with money I can afford to lose, that's my rule."","
sports_betting,online_gambling_kenya,"""These betting companies target young people with their flashy ads and promises."","
sports_betting,online_gambling_kenya,"""I placed a bet against my favorite team and now I feel guilty."","
sports_betting,online_gambling_kenya,"""The in-play betting feature is dangerous when you're emotional during a game."","
sports_betting,online_gambling_kenya,"""Hey handsome, if you win your bet tonight, maybe we can celebrate together."","
sports_betting,online_gambling_kenya,"""I'm keeping a betting diary to track my wins and losses properly."","
sports_betting,online_gambling_kenya,"""These welcome bonuses have too many terms and conditions to be useful."","
sports_betting,online_gambling_kenya,"""I think I have a problem because I can't watch sports without betting."","
