domain,subtopic,sentence
work_career_education,job_applications_interviews,"""I just submitted my application for that marketing position, fingers crossed it goes well."","
work_career_education,job_applications_interviews,"""Do you think wearing a suit to the interview is too formal for a startup?"","
work_career_education,job_applications_interviews,"""I practiced my interview answers in the mirror and ended up laughing at myself."","
work_career_education,job_applications_interviews,"""Your professional experience section on LinkedIn looks really impressive by the way."","
work_career_education,job_applications_interviews,"""Another company ghosted me after three rounds of interviews, so frustrating honestly."","
work_career_education,job_applications_interviews,"""Should I mention my volunteer work during the interview or keep it strictly professional?"","
work_career_education,job_applications_interviews,"""I researched the company so much I feel like I already work there."","
work_career_education,job_applications_interviews,"""You'd definitely get hired if they could see how smart you are."","
work_career_education,job_applications_interviews,"""My interview is in two hours and I'm trying not to panic right now."","
work_career_education,job_applications_interviews,"""They asked about my salary expectations and I totally blanked for a moment."","
work_career_education,job_applications_interviews,"""I love how confident you sound when you talk about your career goals."","
work_career_education,job_applications_interviews,"""Why do interviewers always ask where you see yourself in five years?"","
work_career_education,job_applications_interviews,"""I sent follow-up emails to all my interviewers, hope that wasn't too eager."","
work_career_education,job_applications_interviews,"""Your CV template is so clean, could you share it with me please?"","
work_career_education,job_applications_interviews,"""I almost called the interviewer by the wrong name but caught myself just in time."","
work_career_education,job_applications_interviews,"""That recruiter keeps rescheduling our call and it's starting to get annoying."","
work_career_education,job_applications_interviews,"""I prepared so many questions but they answered most during the presentation already."","
work_career_education,job_applications_interviews,"""You have such a warm smile, it would definitely win over any hiring manager."","
work_career_education,job_applications_interviews,"""They want me to do a second interview with the team lead next week."","
work_career_education,job_applications_interviews,"""I updated my portfolio website and added some recent projects I'm proud of."","
work_career_education,job_applications_interviews,"""My palms were so sweaty during the handshake, hope they didn't notice."","
work_career_education,job_applications_interviews,"""Do you think it's better to be honest about my current salary?"","
work_career_education,job_applications_interviews,"""I found the hiring manager on LinkedIn but don't want to seem creepy."","
work_career_education,job_applications_interviews,"""Your career advice has been really helpful, thanks for looking out for me."","
work_career_education,job_applications_interviews,"""Another rejection email, at least this one was more polite than the last."","
work_career_education,job_applications_interviews,"""I need to practice not saying 'like' and 'um' so much during interviews."","
work_career_education,job_applications_interviews,"""The job description mentioned casual dress code but I'm still wearing a blazer."","
work_career_education,job_applications_interviews,"""You always know the right things to say in professional situations, it's impressive."","
work_career_education,job_applications_interviews,"""They asked about a time I failed and I shared that project story."","
work_career_education,job_applications_interviews,"""I connected with the interviewer on LinkedIn after, hope that was appropriate."","
work_career_education,job_applications_interviews,"""My references said they haven't been contacted yet, is that a bad sign?"","
work_career_education,job_applications_interviews,"""Should I bring printed copies of my CV or is digital enough now?"","
work_career_education,job_applications_interviews,"""I got so nervous I drank three glasses of water in thirty minutes."","
work_career_education,job_applications_interviews,"""Your confidence during presentations is seriously attractive, just saying."","
work_career_education,job_applications_interviews,"""The technical test was harder than I expected but I think I managed."","
work_career_education,job_applications_interviews,"""Why do companies take weeks to get back after final interviews anyway?"","
work_career_education,job_applications_interviews,"""I tailored my cover letter specifically to their company values and mission."","
work_career_education,job_applications_interviews,"""You give such thoughtful answers in interviews, I should take notes from you."","
work_career_education,job_applications_interviews,"""They mentioned flexible working hours during the interview which sounds perfect for me."","
work_career_education,job_applications_interviews,"""I rehearsed my introduction so many times it started sounding weird to me."","
work_career_education,job_applications_interviews,"""Do you think I should negotiate the salary if they make an offer?"","
work_career_education,job_applications_interviews,"""The interviewer kept checking their phone which felt a bit disrespectful honestly."","
work_career_education,job_applications_interviews,"""Your professional journey is really inspiring, how did you plan it all out?"","
work_career_education,job_applications_interviews,"""I arrived thirty minutes early and had to wait at the coffee shop nearby."","
