domain,subtopic,sentence
world_news_international,politics_governance,"""Kenya operates as a presidential representative democratic republic with a multi-party system."
world_news_international,politics_governance,The President serves as both head of state and head of government.
world_news_international,politics_governance,Executive power is exercised by the government while legislative power is vested in both the government and the National Assembly.
world_news_international,politics_governance,The judiciary functions independently of the executive and legislature.
world_news_international,politics_governance,"""The Kenyan Parliament consists of two houses: the National Assembly and the Senate."
world_news_international,politics_governance,The National Assembly has 349 members while the Senate comprises 67 members.
world_news_international,politics_governance,Both houses play crucial roles in legislation and oversight of government operations.
world_news_international,politics_governance,This bicameral system ensures representation at both national and county levels.
world_news_international,politics_governance,"""Devolution remains a key feature of Kenya's governance structure since the 2010 Constitution."
world_news_international,politics_governance,The country is divided into 47 counties each with its own government.
world_news_international,politics_governance,"County governments handle functions like healthcare, agriculture, and local infrastructure."
world_news_international,politics_governance,This system aims to bring services closer to citizens.
world_news_international,politics_governance,"""The Independent Electoral and Boundaries Commission manages elections in Kenya."
world_news_international,politics_governance,"It oversees voter registration, election planning, and boundary review processes."
world_news_international,politics_governance,The commission ensures electoral integrity through transparent procedures.
world_news_international,politics_governance,Its independence is constitutionally protected.
world_news_international,politics_governance,"""Kenya's judiciary is headed by the Supreme Court."
world_news_international,politics_governance,"The court system includes the Court of Appeal, High Court, and subordinate courts."
world_news_international,politics_governance,Judicial reforms have strengthened the institution's capacity to handle disputes.
world_news_international,politics_governance,The judiciary plays a vital role in interpreting the constitution.
world_news_international,politics_governance,"""The Office of the Director of Public Prosecutions handles criminal prosecutions in Kenya."
world_news_international,politics_governance,It operates independently from the executive branch.
world_news_international,politics_governance,Recent reforms have enhanced its operational autonomy.
world_news_international,politics_governance,The office collaborates with various law enforcement agencies.
world_news_international,politics_governance,"""County Assemblies serve as legislative bodies at the devolved level."
world_news_international,politics_governance,They pass county legislation and oversee county executive committees.
world_news_international,politics_governance,Members include elected ward representatives and nominated members.
world_news_international,politics_governance,These assemblies ensure grassroots representation in governance.
world_news_international,politics_governance,"""The Public Service Commission manages human resources in Kenya's civil service."
world_news_international,politics_governance,It recruits and disciplines public officers according to established regulations.
world_news_international,politics_governance,The commission ensures merit-based appointments and promotions.
world_news_international,politics_governance,Its mandate covers both national and county governments.
world_news_international,politics_governance,"""Kenya's Senate represents county interests at the national level."
world_news_international,politics_governance,It considers bills concerning counties and protects devolution.
world_news_international,politics_governance,Senators also oversee national revenue allocation to counties.
world_news_international,politics_governance,The house plays a mediation role during intergovernmental disputes.
world_news_international,politics_governance,"""The National Police Service maintains law and order across Kenya."
world_news_international,politics_governance,It comprises the Kenya Police Service and Administration Police Service.
world_news_international,politics_governance,Recent reforms have focused on professionalizing the service.
world_news_international,politics_governance,Community policing initiatives have strengthened public trust.
world_news_international,politics_governance,"""The Ethics and Anti-Corruption Commission investigates corruption cases in Kenya."
world_news_international,politics_governance,It promotes ethical standards among public officers.
world_news_international,politics_governance,The commission collaborates with other agencies to recover stolen assets.
world_news_international,politics_governance,Its work supports governance reforms.
world_news_international,politics_governance,"""Kenya's National Treasury manages fiscal policy and public finances."
world_news_international,politics_governance,It prepares the national budget and oversees its implementation.
world_news_international,politics_governance,The treasury also coordinates donor funding and public debt management.
world_news_international,politics_governance,"Its policies aim to achieve macroeconomic stability."","
world_news_international,politics_governance,"""The Central Bank of Kenya implements monetary policy and regulates financial institutions."
world_news_international,politics_governance,It maintains price stability and fosters liquidity in the banking system.
world_news_international,politics_governance,The bank also issues currency and manages foreign exchange reserves.
world_news_international,politics_governance,Its independence is legally established.
world_news_international,politics_governance,"""County Governors serve as chief executives of devolved units."
world_news_international,politics_governance,They implement county legislation and manage county administrations.
world_news_international,politics_governance,Governors work with county assemblies to deliver services.
