domain,subtopic,sentence
health_fitness_wellbeing,medication_hospitals,"""I need to pick up my prescription from the pharmacy before they close today."","
health_fitness_wellbeing,medication_hospitals,"""The hospital waiting time was crazy long, I spent three hours there."","
health_fitness_wellbeing,medication_hospitals,"""Don't forget to take your antibiotics with food, it helps with absorption."","
health_fitness_wellbeing,medication_hospitals,"""My doctor changed my medication and now I'm feeling much better actually."","
health_fitness_wellbeing,medication_hospitals,"""You should always finish your full course of antibiotics even if you feel better."","
health_fitness_wellbeing,medication_hospitals,"""I hate how expensive medication is becoming these days, it's really worrying."","
health_fitness_wellbeing,medication_hospitals,"""The new hospital in Westlands has such amazing facilities and friendly staff."","
health_fitness_wellbeing,medication_hospitals,"""Remember to drink plenty of water when you're taking those painkillers okay."","
health_fitness_wellbeing,medication_hospitals,"""I saw you at the pharmacy yesterday, were you feeling unwell or something?"","
health_fitness_wellbeing,medication_hospitals,"""These hospital bills are going to finish me, healthcare should be more affordable."","
health_fitness_wellbeing,medication_hospitals,"""Make sure you store your insulin properly, the heat can ruin it quickly."","
health_fitness_wellbeing,medication_hospitals,"""I can come with you to your doctor's appointment if you need company."","
health_fitness_wellbeing,medication_hospitals,"""The pharmacist explained everything so clearly, I actually understand my treatment now."","
health_fitness_wellbeing,medication_hospitals,"""You look cute even when you're sick, want me to bring you soup?"","
health_fitness_wellbeing,medication_hospitals,"""I keep forgetting to take my vitamins, maybe I should set an alarm."","
health_fitness_wellbeing,medication_hospitals,"""Emergency rooms are always so chaotic, I prefer booking appointments in advance."","
health_fitness_wellbeing,medication_hospitals,"""Your health is the most important thing, please don't ignore those symptoms."","
health_fitness_wellbeing,medication_hospitals,"""I'm so tired of this cough medicine, it tastes absolutely terrible honestly."","
health_fitness_wellbeing,medication_hospitals,"""Let me know if you need a ride to the hospital for your checkup."","
health_fitness_wellbeing,medication_hospitals,"""The doctor said I need to reduce my salt intake for my blood pressure."","
health_fitness_wellbeing,medication_hospitals,"""I wish hospitals had better parking, it's always such a struggle to find space."","
health_fitness_wellbeing,medication_hospitals,"""You better be taking care of yourself, I don't like seeing you sick."","
health_fitness_wellbeing,medication_hospitals,"""My medical insurance doesn't cover this particular medication, it's so frustrating."","
health_fitness_wellbeing,medication_hospitals,"""The nurses at Aga Khan were so kind and patient with my grandmother."","
health_fitness_wellbeing,medication_hospitals,"""Always read the leaflet that comes with your medication for side effects."","
health_fitness_wellbeing,medication_hospitals,"""I'm bringing you some ginger tea, it might help with your nausea."","
health_fitness_wellbeing,medication_hospitals,"""These hospital visits are becoming too frequent, I'm starting to get worried."","
health_fitness_wellbeing,medication_hospitals,"""You should consider getting a second opinion before starting that new treatment."","
health_fitness_wellbeing,medication_hospitals,"""The pharmacy near my house has much better prices than the hospital one."","
health_fitness_wellbeing,medication_hospitals,"""I hope you're following the doctor's instructions and not skipping doses."","
health_fitness_wellbeing,medication_hospitals,"""Medical tests always make me so anxious, I hate waiting for results."","
health_fitness_wellbeing,medication_hospitals,"""Your health is sexy, take good care of that beautiful body of yours."","
health_fitness_wellbeing,medication_hospitals,"""I mixed up my medication times today and now I feel completely off."","
health_fitness_wellbeing,medication_hospitals,"""The new digital system at the hospital made registration so much faster."","
health_fitness_wellbeing,medication_hospitals,"""Don't self-medicate with antibiotics, it can lead to resistance you know."","
health_fitness_wellbeing,medication_hospitals,"""I'm really impressed with how you're managing your chronic condition so well."","
health_fitness_wellbeing,medication_hospitals,"""Hospital food hasn't improved at all, it's still as bland as ever."","
health_fitness_wellbeing,medication_hospitals,"""You should ask your doctor about generic alternatives to save some money."","
health_fitness_wellbeing,medication_hospitals,"""I can help you organize your medication if you're having trouble remembering."","
health_fitness_wellbeing,medication_hospitals,"""The specialist I saw was worth every shilling, such thorough examination and advice."","
health_fitness_wellbeing,medication_hospitals,"""Please don't ignore your follow-up appointments, they're important for your recovery."","
health_fitness_wellbeing,medication_hospitals,"""I found a great app that reminds me when to take my pills."","
health_fitness_wellbeing,medication_hospitals,"""You look tired, have you been getting enough rest since your hospital visit?"","
health_fitness_wellbeing,medication_hospitals,"""Medical jargon is so confusing, I wish doctors would explain things simply."","
health_fitness_wellbeing,medication_hospitals,"""The children's ward at Nairobi Hospital has such a cheerful atmosphere actually."","
health_fitness_wellbeing,medication_hospitals,"""I'm annoyed that I have to wait two weeks for my test results."","
health_fitness_wellbeing,medication_hospitals,"""Your dedication to your health routine is actually really attractive and inspiring."","
health_fitness_wellbeing,medication_hospitals,"""Always check the expiration date on your medication before you take it."","
health_fitness_wellbeing,medication_hospitals,"""I prefer private hospitals because the queues are shorter and service is better."","
health_fitness_wellbeing,medication_hospitals,"""Don't share your prescription medication with anyone, it can be dangerous."","
health_fitness_wellbeing,medication_hospitals,"""The physiotherapy sessions are helping my recovery much more than I expected."","
health_fitness_wellbeing,medication_hospitals,"""You should keep a list of all your medications in your wallet."","
health_fitness_wellbeing,medication_hospitals,"""I'm so done with these monthly hospital visits, I just want to be well."","
health_fitness_wellbeing,medication_hospitals,"""Your doctor called to remind you about your appointment tomorrow morning at ten."","
health_fitness_wellbeing,medication_hospitals,"""I love how you always remember to ask about my health and checkups."","
health_fitness_wellbeing,medication_hospitals,"""The hospital pharmacy was out of stock, now I have to go elsewhere."","
