domain,subtopic,sentence
technology_online_life,phones,"""My phone battery dies so fast these days, I think I need a replacement soon."","
technology_online_life,phones,"""You should definitely enable two-factor authentication, it makes your accounts so much more secure."","
technology_online_life,phones,"""I saw you viewed my story but didn't reply, are you ignoring me on purpose?"","
technology_online_life,phones,"""Your WhatsApp profile picture is really cute, it made me smile when I saw it."","
technology_online_life,phones,"""I dropped my phone in water yesterday and now the screen is acting all weird."","
technology_online_life,phones,"""Let's video call later so I can show you what I'm cooking for dinner."","
technology_online_life,phones,"""Mobile data prices have become ridiculous, I can't even browse properly without worrying."","
technology_online_life,phones,"""You always take forever to reply to my texts, what are you so busy with?"","
technology_online_life,phones,"""My storage is always full because of all these photos, I need to cloud backup."","
technology_online_life,phones,"""That meme you sent in the group had me laughing for like five minutes straight."","
technology_online_life,phones,"""Please stop sending me those chain messages, they're annoying and I don't forward them."","
technology_online_life,phones,"""I love how your voice sounds on phone calls, it's so calming to listen to."","
technology_online_life,phones,"""We should start a TikTok channel together, I think we'd make great content."","
technology_online_life,phones,"""My phone screen cracked again, this is the third time this year, I'm so done."","
technology_online_life,phones,"""Make sure you update your phone's software, there are important security patches this time."","
technology_online_life,phones,"""I miss the days when phones were just for calling and texting, simpler times."","
technology_online_life,phones,"""Your last message was kind of cryptic, are you trying to tell me something?"","
technology_online_life,phones,"""I just organized all my apps into folders and my home screen looks so clean."","
technology_online_life,phones,"""This new phone case I bought has better grip, no more dropping accidents hopefully."","
technology_online_life,phones,"""Can you believe some people still don't use smartphones in this day and age?"","
technology_online_life,phones,"""I saw you online but you didn't message me, everything okay between us?"","
technology_online_life,phones,"""My phone overheats whenever I play games for too long, is that normal?"","
technology_online_life,phones,"""Let's create a shared album for our trip photos so we can all access them."","
technology_online_life,phones,"""I hate when people have conversations on speakerphone in public, it's so rude."","
technology_online_life,phones,"""Your texting style is actually really cute, I can tell you put thought into it."","
technology_online_life,phones,"""I need to reduce my screen time, I've been spending too much on social media."","
technology_online_life,phones,"""Remember to clear your browser history if you're using someone else's phone, privacy matters."","
technology_online_life,phones,"""I found an old photo of us from when we first met, memories flooding back."","
technology_online_life,phones,"""People who type in all caps in messages come across as really aggressive to me."","
technology_online_life,phones,"""I customized my phone's theme to match my aesthetic and it looks so personal now."","
technology_online_life,phones,"""Can you help me choose between these two phones? I can't decide which is better."","
technology_online_life,phones,"""I love how fast your replies are, it shows you actually care about our conversations."","
technology_online_life,phones,"""My phone's autocorrect keeps changing my words to something completely different, it's frustrating."","
technology_online_life,phones,"""We should start using encrypted messaging for sensitive conversations, better safe than sorry."","
technology_online_life,phones,"""I caught my little brother going through my phone, boundaries need to be set clearly."","
technology_online_life,phones,"""Your voice notes are always so detailed, I appreciate you taking time to explain things."","
technology_online_life,phones,"""I'm thinking of switching to a minimalist phone to reduce distractions in my life."","
