domain,subtopic,sentence
romance_flirting_sexuality,sexual_performance,"""I think communication is key when it comes to sexual performance between partners."","
romance_flirting_sexuality,sexual_performance,"""Honestly, sometimes the pressure to perform can really mess with your head."","
romance_flirting_sexuality,sexual_performance,"""You know what really improves performance? Actually being attracted to the person."","
romance_flirting_sexuality,sexual_performance,"""I heard stress can really affect how someone performs in the bedroom."","
romance_flirting_sexuality,sexual_performance,"""Sometimes it's not about performance but about the emotional connection, you know?"","
romance_flirting_sexuality,sexual_performance,"""Why do people act like sexual performance is some kind of competition?"","
romance_flirting_sexuality,sexual_performance,"""A little wine can help with performance anxiety but too much ruins everything."","
romance_flirting_sexuality,sexual_performance,"""I think we should focus more on pleasure than performance metrics."","
romance_flirting_sexuality,sexual_performance,"""When someone is really into you, they don't care about perfect performance."","
romance_flirting_sexuality,sexual_performance,"""Performance issues can happen to anyone, it's nothing to be ashamed about."","
romance_flirting_sexuality,sexual_performance,"""Maybe we should stop watching so much porn and having unrealistic expectations."","
romance_flirting_sexuality,sexual_performance,"""Good sexual performance comes from paying attention to what your partner enjoys."","
romance_flirting_sexuality,sexual_performance,"""Sometimes the best performances happen when you're not even trying too hard."","
romance_flirting_sexuality,sexual_performance,"""I think we put too much pressure on men to always perform perfectly."","
romance_flirting_sexuality,sexual_performance,"""Foreplay is actually more important than the main performance, if you ask me."","
romance_flirting_sexuality,sexual_performance,"""Why do people get so awkward talking about sexual performance issues?"","
romance_flirting_sexuality,sexual_performance,"""A confident partner makes you feel relaxed and improves your performance naturally."","
romance_flirting_sexuality,sexual_performance,"""Performance anxiety is real and it can affect anyone regardless of gender."","
romance_flirting_sexuality,sexual_performance,"""Maybe we should focus on intimacy rather than judging each other's performance."","
romance_flirting_sexuality,sexual_performance,"""When you truly care about someone, their performance doesn't really matter that much."","
romance_flirting_sexuality,sexual_performance,"""I think good sexual performance is about being present and attentive."","
romance_flirting_sexuality,sexual_performance,"""Sometimes the mood just isn't right and that affects performance, you know?"","
romance_flirting_sexuality,sexual_performance,"""Why can't we just be honest about what we like and don't like?"","
romance_flirting_sexuality,sexual_performance,"""Performance improves when you're with someone you genuinely trust and feel safe with."","
romance_flirting_sexuality,sexual_performance,"""I think we need to stop comparing real life to movie scenes."","
romance_flirting_sexuality,sexual_performance,"""Good communication before sex can really help with performance during sex."","
romance_flirting_sexuality,sexual_performance,"""Sometimes taking the pressure off actually leads to better performance naturally."","
romance_flirting_sexuality,sexual_performance,"""Why do people act like sexual performance defines their entire self-worth?"","
romance_flirting_sexuality,sexual_performance,"""A little laughter during sex can actually improve performance by reducing tension."","
