domain,subtopic,sentence
hobby_leisure_entertainment,music_artists,"""I just discovered this amazing Kenyan artist called Xenia Manasseh, her voice is incredible."","
hobby_leisure_entertainment,music_artists,"""Have you listened to the new Sauti Sol album yet? It's absolutely fire, trust me."","
hobby_leisure_entertainment,music_artists,"""Why do all these new artists sound exactly the same? It's getting really boring honestly."","
hobby_leisure_entertainment,music_artists,"""You know, your taste in music is almost as attractive as your smile, just saying."","
hobby_leisure_entertainment,music_artists,"""I spent my whole weekend just discovering new artists on Spotify, no regrets at all."","
hobby_leisure_entertainment,music_artists,"""That new Bien song has been stuck in my head for three days straight now."","
hobby_leisure_entertainment,music_artists,"""Can you believe some people still think Tanzanian artists are better than Kenyan ones? Crazy."","
hobby_leisure_entertainment,music_artists,"""If you were a song, you'd definitely be my favorite artist's biggest hit, for real."","
hobby_leisure_entertainment,music_artists,"""I'm getting really tired of artists who only care about money, not real music."","
hobby_leisure_entertainment,music_artists,"""Let's go to a Nyashinski concert next month, I heard his live performances are amazing."","
hobby_leisure_entertainment,music_artists,"""Why do artists always break up when they're at the peak of their careers?"","
hobby_leisure_entertainment,music_artists,"""Your music recommendations are always so spot on, you should be a DJ seriously."","
hobby_leisure_entertainment,music_artists,"""I think Khaligraph Jones is the best rapper in Africa, no debate about it."","
hobby_leisure_entertainment,music_artists,"""That new artist you showed me last week? I've been playing their songs nonstop."","
hobby_leisure_entertainment,music_artists,"""It's annoying when people only listen to international artists and ignore local talent."","
hobby_leisure_entertainment,music_artists,"""If we were a music duo, we'd definitely be more successful than Sauti Sol."","
hobby_leisure_entertainment,music_artists,"""I've been watching so many artist documentaries lately, it's become my new obsession."","
hobby_leisure_entertainment,music_artists,"""Do you think artists make better music when they're happy or heartbroken?"","
hobby_leisure_entertainment,music_artists,"""Your voice when you sing along to songs is actually really cute, no lie."","
hobby_leisure_entertainment,music_artists,"""I miss when artists used to release complete albums instead of just singles."","
hobby_leisure_entertainment,music_artists,"""Let's make a playlist together featuring all our favorite East African artists this weekend."","
hobby_leisure_entertainment,music_artists,"""Why do so many artists change their style completely after they become famous?"","
hobby_leisure_entertainment,music_artists,"""That new Nadia Mukami collab with Otile Brown is actually pretty good, you know."","
hobby_leisure_entertainment,music_artists,"""I think we should support upcoming artists more instead of just the big names."","
hobby_leisure_entertainment,music_artists,"""You have that star quality that makes me think you could be an artist."","
hobby_leisure_entertainment,music_artists,"""I spent way too much money on concert tickets this month, but no regrets."","
hobby_leisure_entertainment,music_artists,"""Do you prefer artists who write their own songs or those who don't?"","
hobby_leisure_entertainment,music_artists,"""That artist we saw at the club last night was actually really talented."","
hobby_leisure_entertainment,music_artists,"""It's frustrating when great artists don't get the recognition they truly deserve."","
hobby_leisure_entertainment,music_artists,"""We should totally go for Karaoke night and pretend we're famous artists, haha."","
hobby_leisure_entertainment,music_artists,"""I've been learning guitar because I want to understand how artists create music."","
hobby_leisure_entertainment,music_artists,"""Why do artists always have the most dramatic breakups and makeups in public?"","
hobby_leisure_entertainment,music_artists,"""Your music taste tells me you're someone with really good character, honestly."","
hobby_leisure_entertainment,music_artists,"""I think the music industry treats female artists very differently from male ones."","
hobby_leisure_entertainment,music_artists,"""Let's discover some underground artists this weekend, I'm tired of mainstream music."","
hobby_leisure_entertainment,music_artists,"""That artist cancelled their concert last minute for the third time, I'm so done."","
hobby_leisure_entertainment,music_artists,"""If you were an artist, what kind of music would you make?"","
hobby_leisure_entertainment,music_artists,"""I love how some artists use their platform to talk about important social issues."","
hobby_leisure_entertainment,music_artists,"""Do you think artists should stick to one genre or experiment with different ones?"","
hobby_leisure_entertainment,music_artists,"""Your energy at concerts is so infectious, it makes everything more fun."","
hobby_leisure_entertainment,music_artists,"""I'm getting tired of artists who rely too much on autotune these days."","
hobby_leisure_entertainment,music_artists,"""Let's support that local artist we saw at the open mic night last time."","
hobby_leisure_entertainment,music_artists,"""Why do some artists peak early and then disappear from the music scene?"","
hobby_leisure_entertainment,music_artists,"""That new artist's lyrics are so deep, they actually made me think differently."","
hobby_leisure_entertainment,music_artists,"""I think we should start a podcast where we interview upcoming artists."","
hobby_leisure_entertainment,music_artists,"""Your dance moves remind me of those backup dancers for famous artists, so good."","
hobby_leisure_entertainment,music_artists,"""I spent all night reading about the history of Benga music artists."","
hobby_leisure_entertainment,music_artists,"""Do you think social media has made it easier or harder for artists?"","
hobby_leisure_entertainment,music_artists,"""That artist's concert was so poorly organized, I want my money back."","
hobby_leisure_entertainment,music_artists,"""If we started a band, what kind of artists would we be like?"","
hobby_leisure_entertainment,music_artists,"""I love discovering artists before they become famous and watching them grow."","
hobby_leisure_entertainment,music_artists,"""Why do artists always have the most interesting and sometimes weird stage names?"","
hobby_leisure_entertainment,music_artists,"""Your knowledge about different music artists is actually really impressive, I must say."","
hobby_leisure_entertainment,music_artists,"""I think some artists focus too much on visuals and not enough on music."","
hobby_leisure_entertainment,music_artists,"""Let's make a challenge to listen to one new artist every day this week."","
hobby_leisure_entertainment,music_artists,"""That artist's new song is so bad, I can't believe they released it."","
hobby_leisure_entertainment,music_artists,"""If you could collaborate with any artist, who would you choose and why?"","
hobby_leisure_entertainment,music_artists,"""I've been analyzing how different artists structure their songs, it's fascinating really."","
hobby_leisure_entertainment,music_artists,"""Do you think artists should be political or just stick to entertainment?"","
hobby_leisure_entertainment,music_artists,"""Your enthusiasm when you talk about your favorite artists is really adorable actually."","
hobby_leisure_entertainment,music_artists,"""I'm annoyed by artists who release the same song over and over again."","
hobby_leisure_entertainment,music_artists,"""Let's go to that vinyl shop and look for some classic Kenyan artists."","
hobby_leisure_entertainment,music_artists,"""Why do some artists have such problematic behavior but still make great music?"","
hobby_leisure_entertainment,music_artists,"""That upcoming artist we discovered last month just got signed to a major label."","
hobby_leisure_entertainment,music_artists,"""I think we take for granted how many talented artists we have in Kenya."","
hobby_leisure_entertainment,music_artists,"""Your ability to remember every artist's discography is actually kind of amazing."","
hobby_leisure_entertainment,music_artists,"""I'm tired of artists who lip sync during live performances, it's so fake."","
hobby_leisure_entertainment,music_artists,"""Let's create a YouTube channel where we review different artists and their work."","
hobby_leisure_entertainment,music_artists,"""Why do artists always have the most dramatic feuds with each other online?"","
hobby_leisure_entertainment,music_artists,"""That artist's acoustic version is so much better than the original, don't you think?"","
hobby_leisure_entertainment,music_artists,"""I think streaming has changed how artists make money completely, for better or worse."","
hobby_leisure_entertainment,music_artists,"""Your taste in artists says a lot about your personality, and I like it."","
hobby_leisure_entertainment,music_artists,"""I'm frustrated that some really good artists never get radio play here."","
hobby_leisure_entertainment,music_artists,"""Let's learn more about the producers behind our favorite artists' hits this weekend."","
hobby_leisure_entertainment,music_artists,"""Why do artists always seem to create their best work when they're struggling?"","
