domain,subtopic,sentence
misc_general_chat,funny_stories,"""Remember that time we got lost in Westlands and ended up at a wedding uninvited?"","
misc_general_chat,funny_stories,"""My little brother tried to pay for sweets with leaves thinking they were money."","
misc_general_chat,funny_stories,"""You won't believe what my boss did during the meeting today, it was so embarrassing."","
misc_general_chat,funny_stories,"""I accidentally sent a voice note complaining about my date to the date himself."","
misc_general_chat,funny_stories,"""My phone autocorrected 'meeting' to 'mating' in a work email, I wanted to disappear."","
misc_general_chat,funny_stories,"""That matatu conductor started rapping about the traffic jam like it was a music video."","
misc_general_chat,funny_stories,"""I tried to be cool and wink at someone but ended up blinking both eyes."","
misc_general_chat,funny_stories,"""My aunt's chicken followed her into the house and tried to sit on the sofa."","
misc_general_chat,funny_stories,"""You should have seen me trying to parallel park while everyone was watching."","
misc_general_chat,funny_stories,"""My friend's toddler tried to feed chapati to the TV during cartoon time."","
misc_general_chat,funny_stories,"""I accidentally liked my ex's photo from three years ago while stalking his profile."","
misc_general_chat,funny_stories,"""The power went out right when I was telling the scariest part of my story."","
misc_general_chat,funny_stories,"""My dad tried to use Google Maps but ended up navigating us to a river."","
misc_general_chat,funny_stories,"""I wore my shirt inside out all day and nobody bothered to tell me."","
misc_general_chat,funny_stories,"""My sister put salt instead of sugar in her tea and drank it anyway."","
misc_general_chat,funny_stories,"""I tried to impress a date by ordering in French but the waiter was Kenyan."","
misc_general_chat,funny_stories,"""My phone fell in the toilet right when I was taking a selfie, typical."","
misc_general_chat,funny_stories,"""You know you're tired when you try to unlock your house with the car remote."","
misc_general_chat,funny_stories,"""My nephew asked if babies come from Amazon during our family dinner conversation."","
misc_general_chat,funny_stories,"""I spent ten minutes searching for my glasses while they were on my head."","
misc_general_chat,funny_stories,"""That awkward moment when you call your teacher 'mum' in front of the whole class."","
misc_general_chat,funny_stories,"""My friend tried to microwave metal cutlery because she wanted warm utensils."","
misc_general_chat,funny_stories,"""I sneezed so hard in the library that everyone turned to look at me."","
misc_general_chat,funny_stories,"""My cousin thought 'LOL' meant 'Lots of Love' and used it in a condolence message."","
misc_general_chat,funny_stories,"""I tried to jump over a puddle and ended up sitting right in it."","
misc_general_chat,funny_stories,"""My brother put ketchup on his mandazi thinking it was some kind of sauce."","
