domain,subtopic,sentence
hobby_leisure_entertainment,gaming_streaming,"""I just started streaming my gaming sessions on Twitch last week, it's actually pretty fun."","
hobby_leisure_entertainment,gaming_streaming,"""You should check out my stream tonight, I'm trying to complete the new raid boss."","
hobby_leisure_entertainment,gaming_streaming,"""My internet connection keeps dropping during streams and it's honestly so frustrating."","
hobby_leisure_entertainment,gaming_streaming,"""Watching your gaming streams always makes my evenings better, you're so entertaining."","
hobby_leisure_entertainment,gaming_streaming,"""I spent three hours setting up my streaming setup only for the audio to fail."","
hobby_leisure_entertainment,gaming_streaming,"""That new streamer has such amazing gameplay skills but their commentary needs work."","
hobby_leisure_entertainment,gaming_streaming,"""Can you believe I got my first subscriber today? I'm literally screaming right now."","
hobby_leisure_entertainment,gaming_streaming,"""Your gaming skills are seriously impressive, watching you play is like watching art."","
hobby_leisure_entertainment,gaming_streaming,"""I keep getting distracted by chat messages while trying to focus on the game."","
hobby_leisure_entertainment,gaming_streaming,"""We should do a co-stream sometime, our banter would be absolutely hilarious."","
hobby_leisure_entertainment,gaming_streaming,"""My parents think gaming streaming is a waste of time but it's my passion."","
hobby_leisure_entertainment,gaming_streaming,"""You have the most soothing voice for streaming, I could listen to you all day."","
hobby_leisure_entertainment,gaming_streaming,"""The streaming community can be so toxic sometimes, it really drains my energy."","
hobby_leisure_entertainment,gaming_streaming,"""I just invested in a better microphone because my current audio quality is terrible."","
hobby_leisure_entertainment,gaming_streaming,"""Watching you play that horror game was adorable, you jump at every little sound."","
hobby_leisure_entertainment,gaming_streaming,"""Streaming consistently is harder than I thought, coming up with content daily is tough."","
hobby_leisure_entertainment,gaming_streaming,"""Your reaction to that plot twist in the game was absolutely priceless, loved it."","
hobby_leisure_entertainment,gaming_streaming,"""I can't stand when viewers backseat game during my streams, let me play my way."","
hobby_leisure_entertainment,gaming_streaming,"""We should plan a gaming marathon stream for charity, it would be so meaningful."","
hobby_leisure_entertainment,gaming_streaming,"""Your streaming schedule is so unpredictable, I never know when to catch you live."","
hobby_leisure_entertainment,gaming_streaming,"""The way you interact with your chat makes everyone feel so included and valued."","
hobby_leisure_entertainment,gaming_streaming,"""I just realized streaming requires so much technical knowledge beyond just playing games well."","
hobby_leisure_entertainment,gaming_streaming,"""You look really cute when you're concentrating hard during your gaming streams."","
hobby_leisure_entertainment,gaming_streaming,"""My computer crashed during my most important stream yet, talk about bad timing."","
hobby_leisure_entertainment,gaming_streaming,"""The gaming community on Twitch has been surprisingly supportive of my beginner streams."","
hobby_leisure_entertainment,gaming_streaming,"""I love how you explain your gaming strategies, it actually helps me improve."","
hobby_leisure_entertainment,gaming_streaming,"""Dealing with trolls in the chat is the most exhausting part of streaming for me."","
hobby_leisure_entertainment,gaming_streaming,"""Your gaming reflexes are insane, I could watch you play for hours on end."","
