domain,subtopic,sentence
business_money_hustle,nairobi_hustle,"""I saw you crushing it at that business meeting yesterday, very impressive stuff."","
business_money_hustle,nairobi_hustle,"""You know what they say, in Nairobi you either hustle or you go home broke."","
business_money_hustle,nairobi_hustle,"""Let's grab coffee and discuss that side hustle idea you mentioned last week."","
business_money_hustle,nairobi_hustle,"""I'm so tired of these matatu touts shouting all day while I'm trying to work."","
business_money_hustle,nairobi_hustle,"""Your business sense is actually really attractive, how do you manage to stay so focused?"","
business_money_hustle,nairobi_hustle,"""Another day, another shilling - that's the Nairobi motto we all live by."","
business_money_hustle,nairobi_hustle,"""I just landed a new client in Westlands, time to celebrate this small win."","
business_money_hustle,nairobi_hustle,"""The cost of living in this city is making my hustle even more urgent."","
business_money_hustle,nairobi_hustle,"""You look cute when you're all serious about your business plans, just saying."","
business_money_hustle,nairobi_hustle,"""I spent three hours in traffic today and missed two important calls, so frustrating."","
business_money_hustle,nairobi_hustle,"""We should partner up on that delivery service idea, I think it could work."","
business_money_hustle,nairobi_hustle,"""Nairobi doesn't sleep because the hustlers are always working on their next move."","
business_money_hustle,nairobi_hustle,"""I admire how you balance multiple income streams while still maintaining your energy."","
business_money_hustle,nairobi_hustle,"""These fuel prices are making my delivery business almost impossible to run profitably."","
business_money_hustle,nairobi_hustle,"""Meet me at Java and let's brainstorm some quick money-making ideas together."","
business_money_hustle,nairobi_hustle,"""Sometimes I wonder if all this hustling is actually worth the stress and pressure."","
business_money_hustle,nairobi_hustle,"""Your confidence when talking business is seriously turning me on right now."","
business_money_hustle,nairobi_hustle,"""Just secured a deal that will cover my rent for the next three months."","
business_money_hustle,nairobi_hustle,"""The Nairobi rush hour is the ultimate test of patience for every hustler."","
business_money_hustle,nairobi_hustle,"""I noticed you've been working late again, take care of yourself please."","
business_money_hustle,nairobi_hustle,"""Another power outage during my online meeting, this city tests my patience daily."","
business_money_hustle,nairobi_hustle,"""Let's skip the small talk and get straight to business, time is money."","
business_money_hustle,nairobi_hustle,"""Watching you negotiate deals is like watching an artist create a masterpiece."","
business_money_hustle,nairobi_hustle,"""I lost a potential client because of network issues during our video call."","
business_money_hustle,nairobi_hustle,"""The side hustle culture in Nairobi is both inspiring and completely exhausting sometimes."","
business_money_hustle,nairobi_hustle,"""You make running a business look easy, and honestly it's quite impressive."","
business_money_hustle,nairobi_hustle,"""I need to find a better route to beat this morning traffic madness."","
business_money_hustle,nairobi_hustle,"""Working from coffee shops is great until you calculate how much you spend."","
business_money_hustle,nairobi_hustle,"""Your entrepreneurial spirit is really sexy, just thought you should know that."","
business_money_hustle,nairobi_hustle,"""Another month where my expenses are trying to outrun my income, typical Nairobi."","
business_money_hustle,nairobi_hustle,"""Let's turn that brilliant idea of yours into actual profit starting next week."","
business_money_hustle,nairobi_hustle,"""The constant noise in the CBD makes it hard to concentrate on work."","
business_money_hustle,nairobi_hustle,"""I respect how you never give up even when business gets tough."","
business_money_hustle,nairobi_hustle,"""Just when I thought I had savings, Nairobi life found a way to spend them."","
business_money_hustle,nairobi_hustle,"""We should start that car wash business we've been talking about for months."","
business_money_hustle,nairobi_hustle,"""The pressure to always be making money in this city is overwhelming."","
business_money_hustle,nairobi_hustle,"""Your business acumen is seriously attractive, are you single by any chance?"","
business_money_hustle,nairobi_hustle,"""I spent my entire lunch break running errands instead of actually eating lunch."","
business_money_hustle,nairobi_hustle,"""Nairobi teaches you that if you don't hustle, someone else will take your spot."","
business_money_hustle,nairobi_hustle,"""Let's make a pact to help each other grow our businesses this year."","
business_money_hustle,nairobi_hustle,"""These sudden rain showers always ruin my plans for outdoor business meetings."","
business_money_hustle,nairobi_hustle,"""You handle business challenges with such grace, it's really admirable to watch."","
business_money_hustle,nairobi_hustle,"""I need to find a second income stream before December expenses hit me."","
business_money_hustle,nairobi_hustle,"""The competition in this city makes you either step up or get left behind."","
business_money_hustle,nairobi_hustle,"""Your focus during work hours is actually kind of hot, not gonna lie."","
business_money_hustle,nairobi_hustle,"""Another day of juggling multiple clients while trying to appear calm and collected."","
business_money_hustle,nairobi_hustle,"""We should explore that online business idea while the market is still fresh."","
business_money_hustle,nairobi_hustle,"""The constant construction noise near my office is affecting my productivity badly."","
business_money_hustle,nairobi_hustle,"""I love how ambitious you are about building your empire in this city."","
business_money_hustle,nairobi_hustle,"""Just calculated my transport costs for the month and nearly had a heart attack."","
business_money_hustle,nairobi_hustle,"""Nairobi hustle means your phone is always buzzing with business opportunities and bills."","
business_money_hustle,nairobi_hustle,"""Let's create a support system where we share business contacts and opportunities."","
business_money_hustle,nairobi_hustle,"""The unreliable internet in some parts of town is costing me clients daily."","
business_money_hustle,nairobi_hustle,"""Your business mindset is really impressive and honestly quite attractive to me."","
business_money_hustle,nairobi_hustle,"""I worked through lunch again because there's just too much to handle."","
business_money_hustle,nairobi_hustle,"""In Nairobi, your network truly determines your net worth, that's the reality."","
business_money_hustle,nairobi_hustle,"""We need to be smarter about our investments instead of just working hard."","
business_money_hustle,nairobi_hustle,"""The pollution in the city center is making it hard to think straight."","
business_money_hustle,nairobi_hustle,"""You manage to look good even when you're stressed about business, amazing."","
business_money_hustle,nairobi_hustle,"""Another weekend spent working because the bills won't pay themselves unfortunately."","
business_money_hustle,nairobi_hustle,"""The Nairobi grind requires both mental strength and physical endurance to survive."","
business_money_hustle,nairobi_hustle,"""Let's find a quiet spot to discuss our business expansion plans this weekend."","
