domain,subtopic,sentence
romance_flirting_sexuality,sexual_health_awareness,"""I think we should both get tested before taking things further, safety first always."","
romance_flirting_sexuality,sexual_health_awareness,"""You know what's really sexy? Someone who takes their sexual health seriously."","
romance_flirting_sexuality,sexual_health_awareness,"""I was reading about STI prevention and realized how important regular checkups are."","
romance_flirting_sexuality,sexual_health_awareness,"""Nothing kills the mood faster than worrying about protection, let's be responsible."","
romance_flirting_sexuality,sexual_health_awareness,"""I really appreciate that you brought up getting tested, it shows you care."","
romance_flirting_sexuality,sexual_health_awareness,"""Can we talk about protection without making it awkward? I value our health."","
romance_flirting_sexuality,sexual_health_awareness,"""Getting tested together could actually be kinda romantic, showing we trust each other."","
romance_flirting_sexuality,sexual_health_awareness,"""I'm not playing games when it comes to sexual health, let's be smart."","
romance_flirting_sexuality,sexual_health_awareness,"""You're so hot when you're responsible about these things, seriously attractive."","
romance_flirting_sexuality,sexual_health_awareness,"""I went for my annual checkup yesterday and it felt really empowering."","
romance_flirting_sexuality,sexual_health_awareness,"""Why do people still think talking about protection isn't cool? It's essential."","
romance_flirting_sexuality,sexual_health_awareness,"""Let's make sure we're on the same page about protection before we continue."","
romance_flirting_sexuality,sexual_health_awareness,"""Nothing says 'I respect you' like being open about sexual health."","
romance_flirting_sexuality,sexual_health_awareness,"""I think being informed about contraception options is actually pretty important."","
romance_flirting_sexuality,sexual_health_awareness,"""Can we normalize asking about testing history without making it weird?"","
romance_flirting_sexuality,sexual_health_awareness,"""I find confidence in someone who handles their health responsibly very appealing."","
romance_flirting_sexuality,sexual_health_awareness,"""Let's not ruin a good thing by being careless about protection, okay?"","
romance_flirting_sexuality,sexual_health_awareness,"""I read that many STIs don't show symptoms, regular testing is crucial."","
romance_flirting_sexuality,sexual_health_awareness,"""Being safe doesn't mean we can't have fun, it means we're smart."","
romance_flirting_sexuality,sexual_health_awareness,"""I really don't understand why some people avoid these conversations, it's basic."","
romance_flirting_sexuality,sexual_health_awareness,"""Taking care of our health shows we actually care about each other."","
romance_flirting_sexuality,sexual_health_awareness,"""Let's make a date out of going to the clinic, make it fun."","
romance_flirting_sexuality,sexual_health_awareness,"""I appreciate when partners are mature enough to discuss these things openly."","
romance_flirting_sexuality,sexual_health_awareness,"""Protection isn't just about pregnancy prevention, it's about overall health too."","
romance_flirting_sexuality,sexual_health_awareness,"""Why does talking about condoms still feel awkward in this day and age?"","
romance_flirting_sexuality,sexual_health_awareness,"""Knowing we're both clean would actually make things so much hotter."","
romance_flirting_sexuality,sexual_health_awareness,"""I think being responsible sexually is one of the sexiest traits ever."","
romance_flirting_sexuality,sexual_health_awareness,"""Let's not be those people who pretend these conversations don't matter."","
romance_flirting_sexuality,sexual_health_awareness,"""I value our connection too much to risk anything by being reckless."","
romance_flirting_sexuality,sexual_health_awareness,"""Getting tested regularly is just part of being a responsible adult really."","
romance_flirting_sexuality,sexual_health_awareness,"""Nothing kills romance faster than someone who avoids health conversations."","
romance_flirting_sexuality,sexual_health_awareness,"""I find it really attractive when someone is knowledgeable about sexual health."","
romance_flirting_sexuality,sexual_health_awareness,"""Let's keep the spark alive by keeping each other safe and healthy."","
romance_flirting_sexuality,sexual_health_awareness,"""I don't get why some people treat protection like an optional thing."","
romance_flirting_sexuality,sexual_health_awareness,"""Being open about testing history shows real maturity and self-respect."","
romance_flirting_sexuality,sexual_health_awareness,"""Can we agree that protection is non-negotiable? I need that clarity."","
romance_flirting_sexuality,sexual_health_awareness,"""I think taking care of our health actually enhances intimacy between us."","
romance_flirting_sexuality,sexual_health_awareness,"""Let's make smart choices so we can enjoy each other without worries."","
romance_flirting_sexuality,sexual_health_awareness,"""Nothing says 'I'm into you' like caring about our mutual wellbeing."","
romance_flirting_sexuality,sexual_health_awareness,"""I really respect people who are proactive about their sexual health."","
