domain,subtopic,sentence
technology_online_life,social_media,"""I'm seriously considering taking a social media break because it's affecting my productivity lately."","
technology_online_life,social_media,"""Your Instagram stories from the Maasai Mara are giving me serious wanderlust, they're so beautiful!"","
technology_online_life,social_media,"""Why do people feel the need to post every single meal they eat online?"","
technology_online_life,social_media,"""I just found the funniest meme page that perfectly captures Nairobi life, you'd love it."","
technology_online_life,social_media,"""Social media algorithms are getting too good at knowing what we want to see."","
technology_online_life,social_media,"""That selfie you posted yesterday was really cute, you should post more often."","
technology_online_life,social_media,"""I can't stand how everyone becomes an expert during election season on Twitter."","
technology_online_life,social_media,"""Let's start a Twitter space tomorrow to discuss the new tech trends in Kenya."","
technology_online_life,social_media,"""The amount of misinformation spreading on WhatsApp groups these days is actually dangerous."","
technology_online_life,social_media,"""Your LinkedIn post about career growth got so many thoughtful responses, well done!"","
technology_online_life,social_media,"""I saw you liked my story, were you trying to get my attention or something?"","
technology_online_life,social_media,"""Another day, another influencer trying to sell us something we don't actually need."","
technology_online_life,social_media,"""Facebook memories just showed me our photos from campus, remember those good old days?"","
technology_online_life,social_media,"""The way people curate their lives online makes everything look perfect when it's not."","
technology_online_life,social_media,"""I'm thinking of starting a YouTube channel about coding tutorials for beginners."","
technology_online_life,social_media,"""That comment you left on my post was really sweet, it made my day."","
technology_online_life,social_media,"""Why do people air their dirty laundry on social media instead of talking privately?"","
technology_online_life,social_media,"""I found this amazing community of Kenyan developers on Discord that's really helpful."","
technology_online_life,social_media,"""The constant notifications from all these apps are becoming too overwhelming for me."","
technology_online_life,social_media,"""Your travel content is so inspiring, it makes me want to explore Kenya more."","
technology_online_life,social_media,"""I wish people would fact-check before sharing political content on their timelines."","
technology_online_life,social_media,"""Let's collaborate on an Instagram series about tech startups in Nairobi next month."","
technology_online_life,social_media,"""The way you engage with your followers shows you really care about your community."","
technology_online_life,social_media,"""Another fake news story going viral, when will people learn to verify sources?"","
technology_online_life,social_media,"""I'm loving the behind-the-scenes content you're sharing from your creative process."","
technology_online_life,social_media,"""Social media detox might be necessary because I'm comparing myself to others too much."","
technology_online_life,social_media,"""That witty comeback you had in the comments section was absolutely legendary."","
technology_online_life,social_media,"""The pressure to maintain a certain aesthetic on Instagram is honestly exhausting."","
technology_online_life,social_media,"""I discovered this amazing book club through Twitter that meets virtually every week."","
technology_online_life,social_media,"""Your consistent posting about mental health awareness is making a real difference."","
technology_online_life,social_media,"""Why do people feel the need to document every minor life event online?"","
technology_online_life,social_media,"""The LinkedIn engagement on your professional insights has been really impressive lately."","
technology_online_life,social_media,"""I noticed you've been watching all my stories, anything you want to say?"","
technology_online_life,social_media,"""Another brand trying to use woke marketing without actually supporting the causes."","
technology_online_life,social_media,"""The support from online communities during tough times can be really meaningful."","
technology_online_life,social_media,"""I'm tired of seeing the same recycled content across all platforms daily."","
technology_online_life,social_media,"""Your photography skills have improved so much since you started that online course."","
technology_online_life,social_media,"""The echo chambers on social media are preventing us from hearing diverse opinions."","
technology_online_life,social_media,"""Let's plan a TikTok challenge that showcases Kenyan culture in a fun way."","
technology_online_life,social_media,"""The way you handle negative comments with grace is really admirable to watch."","
technology_online_life,social_media,"""I'm concerned about how much personal data we're giving away to these platforms."","
technology_online_life,social_media,"""Your consistent branding across all social media platforms is really professional."","
technology_online_life,social_media,"""Another day of seeing people flexing lifestyles they can't actually afford online."","
technology_online_life,social_media,"""The opportunities for networking on professional platforms have been game-changing for me."","
technology_online_life,social_media,"""I saw that subtle hint in your caption, very smooth if I say so myself."","
technology_online_life,social_media,"""The comparison culture on social media is really damaging to people's self-esteem."","
technology_online_life,social_media,"""Your content strategy is working well because your engagement rates keep growing."","
technology_online_life,social_media,"""Why do people think their opinions matter more when they're hiding behind screens?"","
technology_online_life,social_media,"""The educational content creators on YouTube are making learning accessible to everyone."","
technology_online_life,social_media,"""I appreciate how authentic you keep your content despite the pressure to be perfect."","
technology_online_life,social_media,"""The targeted ads are getting too specific, it feels like they're reading my mind."","
technology_online_life,social_media,"""Your growth on social media shows that quality content really does pay off."","
technology_online_life,social_media,"""Another influencer promoting questionable financial advice to vulnerable young people online."","
technology_online_life,social_media,"""The sense of community in niche Facebook groups can be surprisingly supportive."","
technology_online_life,social_media,"""I've noticed you commenting on all my posts lately, I'm not complaining though."","
technology_online_life,social_media,"""The performative activism during trending topics without real action is frustrating."","
technology_online_life,social_media,"""Your ability to start meaningful conversations in your comments section is impressive."","
technology_online_life,social_media,"""I'm considering deleting some apps because they're consuming too much of my time."","
technology_online_life,social_media,"""The way you mix humor with important topics makes your content so engaging."","
technology_online_life,social_media,"""Another celebrity pretending to be relatable while living in complete luxury."","
technology_online_life,social_media,"""The opportunities for small businesses through social media marketing are incredible."","
technology_online_life,social_media,"""Your consistency in posting valuable content is why your following keeps growing."","
technology_online_life,social_media,"""I'm tired of seeing filtered versions of reality that nobody can live up to."","
technology_online_life,social_media,"""The networking opportunities through Twitter spaces have been really valuable for my career."","
technology_online_life,social_media,"""That caption was a bit flirty, were you trying to send me a message?"","
technology_online_life,social_media,"""The pressure to constantly create content can lead to serious burnout quickly."","
technology_online_life,social_media,"""Your analytical posts about market trends are becoming my favorite content to read."","
technology_online_life,social_media,"""Another viral challenge that's actually dangerous but people keep doing it anyway."","
technology_online_life,social_media,"""The way social media connects Kenyans across different counties is really beautiful."","
technology_online_life,social_media,"""I've been enjoying our late-night Instagram DM conversations more than I should."","
technology_online_life,social_media,"""The misinformation about health issues spreading online can have serious consequences."","
technology_online_life,social_media,"""Your transition into video content has been really smooth and professional-looking."","
technology_online_life,social_media,"""Why do people think their relationship status needs to be public knowledge?"","
technology_online_life,social_media,"""The support for local artists and creators on social media is heartwarming to see."","
technology_online_life,social_media,"""Your engagement strategy of asking questions really gets people talking in comments."","
technology_online_life,social_media,"""Another brand jumping on trends without understanding the cultural context properly."","
technology_online_life,social_media,"""The way social media amplifies marginalized voices is creating important conversations."","
technology_online_life,social_media,"""I might need to mute some accounts because the negativity is affecting my mood."""
technology_online_life,social_media,"""I'm honestly getting tired of all the fake news spreading on social media these days"","
technology_online_life,social_media,"""Your profile picture is giving me serious main character energy today, love the vibe"","
technology_online_life,social_media,"""Why do people feel the need to overshare every single detail of their lives online"","
technology_online_life,social_media,"""That meme you shared had me laughing so hard I almost dropped my phone"","
technology_online_life,social_media,"""Social media algorithms are getting too good at knowing what I want to see"","
technology_online_life,social_media,"""I think we all need to take a break from scrolling sometimes for real"","
technology_online_life,social_media,"""Your timeline is always so interesting, I feel like I learn something new daily"","
technology_online_life,social_media,"""Another day another influencer trying to sell me something I definitely don't need"","
technology_online_life,social_media,"""That tweet you posted was so relatable it actually made my day better"","
technology_online_life,social_media,"""I'm seriously considering deleting all my social apps for a digital detox month"","
technology_online_life,social_media,"""You've been liking all my posts lately, someone's paying extra attention I see"","
technology_online_life,social_media,"""Why does everyone suddenly become an expert on everything after watching one TikTok"","
technology_online_life,social_media,"""Your photography skills are amazing, every picture you post looks like professional work"","
technology_online_life,social_media,"""Social media makes it so easy to stay connected with friends from different cities"","
technology_online_life,social_media,"""I just spent two hours mindlessly scrolling and I can't even remember what I saw"","
technology_online_life,social_media,"""That comment you left on my post was so sweet it made me smile"","
technology_online_life,social_media,"""The pressure to constantly post perfect content is honestly exhausting sometimes"","
technology_online_life,social_media,"""Your cooking videos always make me hungry even when I just ate dinner"","
technology_online_life,social_media,"""I wish social media platforms would stop changing their interfaces every other week"","
technology_online_life,social_media,"""Just followed your new business page, can't wait to see what you'll be sharing"","
technology_online_life,social_media,"""The amount of targeted ads I'm seeing is starting to feel like surveillance"","
technology_online_life,social_media,"""You always know the perfect song to share that matches my mood exactly"","
technology_online_life,social_media,"""Another fake account tried to follow me today, when will this stop seriously"","
technology_online_life,social_media,"""Your travel stories make me want to pack my bags and just disappear somewhere"","
technology_online_life,social_media,"""Social media can be such a toxic place but also full of beautiful communities"","
technology_online_life,social_media,"""I saw that subtle shade in your post, who were you talking about though"","
technology_online_life,social_media,"""The way social media highlights reels mess with people's mental health is concerning"","
technology_online_life,social_media,"""You have such a unique perspective in your posts, always makes me think differently"","
technology_online_life,social_media,"""Why do people feel the need to argue about everything in the comments section"","
technology_online_life,social_media,"""Your fitness journey updates are actually motivating me to start working out again"","
technology_online_life,social_media,"""I miss when social media was just about connecting with friends not influencing"","
technology_online_life,social_media,"""That throwback picture you posted brought back so many good memories from school"","
technology_online_life,social_media,"""The comparison game on social media is real and it's honestly draining my energy"","
technology_online_life,social_media,"""You always tag me in the funniest memes and I appreciate you for that"","
technology_online_life,social_media,"""Social media privacy settings are so confusing I never know who can see what"","
technology_online_life,social_media,"""Your positive posts always brighten my timeline when I'm having a rough day"","
technology_online_life,social_media,"""I can't believe how quickly misinformation spreads on these platforms it's scary"","
technology_online_life,social_media,"""You've been quiet online lately, everything okay or just taking a social break"","
technology_online_life,social_media,"""The amount of time we spend on social media could probably solve world problems"","
technology_online_life,social_media,"""That playlist you shared on your story is literally my new workout soundtrack"""
technology_online_life,social_media,I can't believe how much time we waste scrolling through social media every single day.
technology_online_life,social_media,"You always post the funniest memes; they totally make my day brighter, no lie!"
technology_online_life,social_media,Your latest photo is stunning; it's been on my mind since I saw it earlier.
technology_online_life,social_media,"Ugh, why do people feel the need to overshare every little detail online? So annoying."
