domain,subtopic,sentence
personal_relationships_life,communication_social,"""Sometimes I wish we could communicate better instead of just arguing all the time."","
personal_relationships_life,communication_social,"""You know what I love about you? You actually remember the little things I say."","
personal_relationships_life,communication_social,"""I'm getting really tired of you not responding to my messages for days on end."","
personal_relationships_life,communication_social,"""Remember that time we stayed up all night just talking about everything and nothing?"","
personal_relationships_life,communication_social,"""I feel like we're not on the same page lately and it's bothering me."","
personal_relationships_life,communication_social,"""Your voice is literally the best sound to wake up to in the morning."","
personal_relationships_life,communication_social,"""Can we please have a proper conversation without you checking your phone every two minutes?"","
personal_relationships_life,communication_social,"""I was just thinking about how much I enjoy our random late-night conversations."","
personal_relationships_life,communication_social,"""I'm seriously considering whether this relationship is worth the constant miscommunication."","
personal_relationships_life,communication_social,"""That text you sent me last night made me smile for like an hour straight."","
personal_relationships_life,communication_social,"""Why do you always assume you know what I'm thinking without actually asking me?"","
personal_relationships_life,communication_social,"""Our conversations flow so naturally, it's like we've known each other for years."","
personal_relationships_life,communication_social,"""I need you to be more direct about what you want instead of dropping hints."","
personal_relationships_life,communication_social,"""Your sense of humor comes through even in your texts and it's adorable."","
personal_relationships_life,communication_social,"""It's frustrating when you say everything is fine but your tone says otherwise."","
personal_relationships_life,communication_social,"""I love how we can just sit in comfortable silence and still feel connected."","
personal_relationships_life,communication_social,"""Could you at least let me know when you're busy instead of just ghosting me?"","
personal_relationships_life,communication_social,"""That story you told me about your childhood was so sweet and personal."","
personal_relationships_life,communication_social,"""I wish you would communicate your feelings instead of bottling everything up inside."","
personal_relationships_life,communication_social,"""Reading your messages is the highlight of my day, no exaggeration."","
personal_relationships_life,communication_social,"""It's really annoying when you interrupt me before I can finish my sentence."","
personal_relationships_life,communication_social,"""We should have more deep conversations like we did last weekend, that was nice."","
personal_relationships_life,communication_social,"""I'm tired of feeling like I'm the only one putting effort into our communication."","
personal_relationships_life,communication_social,"""You have this cute way of texting that's totally unique to you."","
personal_relationships_life,communication_social,"""Can we agree to be more honest with each other moving forward?"","
personal_relationships_life,communication_social,"""I was just remembering that funny conversation we had about pineapple on pizza."","
personal_relationships_life,communication_social,"""It hurts when you share important things with others but keep me in the dark."","
personal_relationships_life,communication_social,"""Your perspective on things always makes me see situations differently, in a good way."","
personal_relationships_life,communication_social,"""I need you to stop making assumptions about what I mean and just ask."","
personal_relationships_life,communication_social,"""That voice note you sent me this morning made my whole day better."","
personal_relationships_life,communication_social,"""Why do you always change the subject when things get a bit serious?"","
personal_relationships_life,communication_social,"""I love how we can talk about absolutely anything without feeling judged."","
personal_relationships_life,communication_social,"""It's becoming a pattern that you only reach out when you need something."","
personal_relationships_life,communication_social,"""You have this way with words that just makes me feel so special."","
personal_relationships_life,communication_social,"""Could you please be more specific instead of being so vague all the time?"","
personal_relationships_life,communication_social,"""Our random philosophical debates are some of my favorite moments with you."","
personal_relationships_life,communication_social,"""I feel like I'm constantly walking on eggshells with what I say to you."","
personal_relationships_life,communication_social,"""The way you remember tiny details from our conversations shows you really listen."","
personal_relationships_life,communication_social,"""It's disappointing when you promise to call but then completely forget about it."","
personal_relationships_life,communication_social,"""You make even the most ordinary conversations feel exciting and meaningful."","
